V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
20170805,EOS,LTC,INNBCL,ADA,XLM,0.142980185062875,0.0681186258331971,0.0626770494358656,0.0562587607503803,0.0442274107074062
20170806,XTZ,LTC,INNBCL,ADA,BTC,0.135940631870003,0.0664545582992044,0.0611045072350885,0.0600259504194566,0.0391848460295958
20170807,XTZ,LTC,ETH,INNBCL,ADA,0.134573624664264,0.0858371768814331,0.079713092157598,0.0757077987671535,0.0594269728768862
20170808,XTZ,INNBCL,BNB,ADA,BSV,0.135408242564711,0.117326889915875,0.0741662475750686,0.0593783080211739,0.0591415992902118
20170809,XTZ,INNBCL,BNB,ETH,ADA,0.114265975753406,0.102442853558549,0.0792028080545427,0.065520875810083,0.0552429119496482
20170810,XTZ,ADA,ETH,INNBCL,BNB,0.0974866689363247,0.0710321609967555,0.0701958122974946,0.0658036189189062,0.0507551487183558
20170811,INNBCL,EOS,XMR,ETH,XTZ,0.0878679258459721,0.084738285844106,0.0797508599197799,0.0739393911416863,0.0696181093025465
20170812,XTZ,ETH,LINK,EOS,XMR,0.0823303275604293,0.0823248207049259,0.076806405788703,0.0765366286407634,0.0686575382783584
20170813,XTZ,BTC,EOS,LINK,LTC,0.119357182982812,0.0867804128355933,0.0714034426550601,0.0680027885945613,0.0610222396814273
20170814,INNBCL,XTZ,EOS,LINK,XMR,0.0801478696361975,0.0797860539285189,0.0718639750233313,0.0621442938288472,0.0614771378408544
20170815,INNBCL,TAGZ5,EOS,LINK,BCH,0.10404561433036,0.0852701190502467,0.0687067533799526,0.0650710244445828,0.0649358858985952
20170816,INNBCL,BNB,TAGZ5,LINK,BCH,0.0831476763157685,0.0824970214544381,0.0775496662409329,0.0768591455974928,0.0596650358174652
20170817,BNB,EOS,XRP,INNBCL,XTZ,0.0809789887450586,0.0714758103871334,0.0636849625590587,0.062046622410546,0.0617288678806679
20170818,EOS,ADA,BNB,INNBCL,BCH,0.129369458361672,0.111664466325485,0.0973763377593305,0.0608184019196373,0.052818262425003
20170819,EOS,LTC,INNBCL,XLM,XTZ,0.111409860535493,0.0902739258735794,0.0826735313545285,0.0644242090326739,0.0604214461294945
20170820,XLM,LTC,INNBCL,EOS,XTZ,0.235245077087368,0.0994178291798188,0.0952661685199437,0.0702428622541958,0.0648736076701131
20170821,XLM,LTC,EOS,BNB,INNBCL,0.169647457871442,0.105329587329425,0.102987023608435,0.061256681226429,0.0564815397940623
20170822,XLM,BNB,LTC,BSV,TAGZ5,0.175891802345516,0.141505735479451,0.0890456529622056,0.0778631204050055,0.074453319081964
20170823,XLM,BNB,TAGZ5,EOS,BSV,0.175716998077495,0.106466379770125,0.0761252122828608,0.0707013905830279,0.0705693083490733
20170824,BSV,EOS,XTZ,LTC,BNB,0.0750255312187399,0.0705088491932458,0.0695200926239337,0.0693246728798087,0.059828220358997
20170825,LTC,XTZ,BSV,BNB,EOS,0.125703331406664,0.0937825884266302,0.0698587040283746,0.0648934819061752,0.0566724655968573
20170826,XTZ,BCH,BTC,EOS,XLM,0.0714923984604596,0.0707253645872745,0.063056708013741,0.0559740879437048,0.0515249615118942
20170827,LTC,XMR,BNB,BCH,XTZ,0.088278272501681,0.072887340873393,0.0709678543892077,0.0567093755037259,0.0499312190481496
20170828,EOS,XRP,TAGZ5,XMR,XTZ,0.0712108243574651,0.0650452263316829,0.0594466235818186,0.0459478563131113,0.0406217084961266
20170829,TAGZ5,XTZ,BCH,BSV,LINK,0.0797403350459013,0.0764190394914514,0.0458976823092079,0.0458714881206428,0.0438564909731008
20170830,XRP,TAGZ5,EOS,XTZ,BCH,0.085961086887983,0.0822384403492374,0.0671056888527123,0.0670476342327773,0.0521259258140791
20170831,XMR,INNBCL,XTZ,BNB,BSV,0.0875436062647464,0.0683227988615253,0.0662267917688948,0.0639039494721323,0.0601773508836962
20170901,XRP,TAGZ5,XMR,EOS,BNB,0.108353701644702,0.0918595886722898,0.0692870357537277,0.069084946627113,0.0684798534570413
20170902,TAGZ5,BNB,XLM,XTZ,EOS,0.0871962011312728,0.0743796199267897,0.0561768753708509,0.0426665380448044,0.0418230553670683
20170903,XRP,EOS,XMR,TAGZ5,LTC,0.120109368128565,0.0957425514846213,0.0957285951066015,0.0796443986548686,0.0783241579154502
20170904,XMR,ADA,EOS,BCH,XLM,0.11311270228292,0.105682549935013,0.101434154738105,0.0909180689574733,0.0840719594376644
20170905,LINK,XMR,EOS,TAGZ5,BSV,0.12145755567348,0.103037402617147,0.101330605559784,0.0855056842021347,0.0624476372696398
20170906,XLM,LTC,LINK,EOS,TAGZ5,0.188262035976232,0.147462586228378,0.116649918054491,0.10075969290271,0.084179970455152
20170907,LINK,XMR,TAGZ5,LTC,XLM,0.123963101917659,0.120046452865944,0.0862921019178477,0.0784334282407998,0.072108288689583
20170908,XRP,XMR,LINK,BSV,XLM,0.118904769883689,0.110723795227204,0.0930207854782611,0.0848695996790124,0.0708964617534688
20170909,XLM,XMR,XRP,BSV,LINK,0.153044190748711,0.121463444367099,0.11776800225698,0.105949625531782,0.100227410552321
20170910,XLM,XMR,BSV,LINK,EOS,0.161547607219598,0.122925447459436,0.106385506002297,0.0991143557161369,0.0875585804537964
20170911,LINK,XMR,XRP,EOS,ADA,0.132056479493317,0.130447293754749,0.111034176758132,0.0946726607689235,0.0773705088082279
20170912,ADA,XMR,XRP,EOS,BSV,0.176614193139766,0.127293686324461,0.109679541437191,0.0872194803357804,0.0867363602572845
20170913,LINK,XMR,XRP,EOS,BSV,0.144985815125367,0.119377089576436,0.11148476891811,0.0886084004625961,0.0820545022843095
20170914,XMR,BSV,LTC,XLM,LINK,0.121691194351796,0.11315096093945,0.101642969035998,0.0890487452249334,0.0765217725751248
20170915,BSV,XMR,ADA,LTC,XRP,0.144874667387979,0.141883013136209,0.136572037796443,0.11013447618535,0.104595729684109
20170916,BSV,XTZ,LTC,BTC,BNB,0.129456034169258,0.117388360838259,0.0956811426020983,0.0926308202597108,0.0857850876186919
20170917,ADA,EOS,XTZ,BTC,LTC,0.144602094622616,0.0845263022518088,0.0743593482126705,0.073212905279187,0.0659019226328553
20170918,LTC,BNB,EOS,BCH,BSV,0.109204777340975,0.0788802753966303,0.0704516409586961,0.0676071071930147,0.0632678320562401
20170919,BSV,XLM,XMR,BNB,EOS,0.223533981258219,0.100025241724363,0.0889317933567654,0.0836296196389599,0.0832364557680241
20170920,ADA,XLM,LTC,BNB,BCH,0.121937585846077,0.0874206517781345,0.0869301324037459,0.0804343208325915,0.0656591086469264
20170921,ADA,XLM,EOS,BNB,BCH,0.0992051531333641,0.0948262932849056,0.0806688074692308,0.0755353182364188,0.0652041885918673
20170922,LINK,BNB,BCH,EOS,INNBCL,0.115497343090709,0.0797207671169582,0.0665491872215496,0.0633999960164028,0.0618688966399308
20170923,BSV,ADA,BNB,BCH,BTC,0.141475964856611,0.110943768251515,0.0795869449247887,0.0562500028456963,0.0510359436784377
20170924,BCH,LINK,XLM,BNB,BSV,0.141166849245101,0.107584964345627,0.0942879170424534,0.0832692512340506,0.0596265824532932
20170925,ADA,BSV,BNB,XLM,INNBCL,0.118949028447743,0.087149409291834,0.0832244851659467,0.0612816137007031,0.0601208964008016
20170926,BCH,BSV,XMR,XLM,XTZ,0.14527794045678,0.10999282762671,0.106064243756734,0.0951562293114618,0.0883831834871195
20170927,BCH,LINK,XLM,XTZ,XMR,0.148443213262861,0.138509913715356,0.105077973977403,0.096582904523386,0.0944718956968652
20170928,ADA,XLM,XTZ,BNB,LINK,0.15715035595446,0.0938611850787629,0.0864436696629166,0.0818790493460324,0.0802789493074378
20170929,ADA,XTZ,XLM,EOS,LINK,0.134063098364895,0.0921106409364059,0.0914265950604496,0.0863819116444939,0.083663965924234
20170930,ADA,LINK,XLM,BNB,EOS,0.135662663200767,0.0883667753703735,0.0882348626890607,0.086702072448195,0.0821812348709597
20171001,ADA,LINK,XLM,EOS,XTZ,0.139679624964466,0.109897064158549,0.09222081759745,0.0916749869457496,0.0895869942018056
