Var1,Freq
BTC,448
ETH,406
LTC,389
EOS,386
INNBCL,368
XTZ,361
TAGZ5,355
XRP,351
BSV,334
BCH,332
XLM,329
BNB,305
ADA,267
XMR,245
LINK,209
