,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,XEM,XMR,NEO,ETC,ZEC,EOS,XLM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00449745346648099,0,0.066885579269112,0.0924834596440981,0.294125491719323,0,0,0,0,-0.200735730466383,0.0768046095769874,0,0.00154065533403983,0,0,0,0,0
ETH,0,0,-0.0194239202471071,-0.0480946223630769,-0.023417769759299,0,0.146712673760221,0.162081445176465,0,0,0.455556303831783,0,0,0.0949183959761009,-0.0301752867389918,0,0,0,0,0.077229970743822
BCH,0,0,0,0,0,0,0,0,0,-0.129517363403134,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0143030816047508,0,0,0.391306423387123,0,0,0,0,0,0,0,0.151865022965231,0.0198641993301523,0,0,0,0,0
DASH,0,0,0.0608235894236771,0,0,0,0.185461771569786,0,-0.0332817654150885,0,0,0.194613157516959,0,0,-0.0658658709216552,0,0,0,0,-0.0513817258481575
LTC,0,-0.311917378250312,0.0494160223842644,0.036938924475704,-0.262117604522636,0,0,0.0867608802943196,0.038737647661862,-0.0224167705216634,0.918164636554226,0.290029653407326,0,0,0.0523584636495786,0,0,0,0,0.0558644063634522
MIOTA,1.51417207718597,0.652320155423427,-0.0238122176450479,-0.227202952645467,0,-0.0537462807992166,0,0,0.0684158649474358,0.0444773152045706,0,0.343595517749601,0,0,0.149524936898945,0,0,0,0,-0.156653978817674
XEM,-0.0659052790745069,0,0.0819533169824561,0,0.182542818828354,0,0,0,-0.117406805643209,0.23035073536556,0,0,0.278523157667597,0.3588023480149,-0.0863866960674761,0,0,0,0,0.148510558028901
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,-0.273852417506845,0,0,0,0,0,-0.0545656012420276,0,0,0,0,-0.745232066869861,0,0,0,0,0,-0.0253069207417113
ETC,0,0.0956668472882401,-0.00620479016132009,0,0.00967167499636306,0.261376793693496,-1.73472347597681e-18,0,0,-0.00839714680959605,0,0,0.134287555753813,0.13084802031768,0,0,0,0,0,0
ZEC,-0.207882799561778,0,0,-0.240349745003349,0.301375627885981,0.268298806475466,0.107865048350868,0.0435320355781039,0.201742345662779,0,0,0,0.0187441630130435,0,-0.0313605176092182,0,-0.491707766507163,0,0,0
EOS,0,0,-0.0216931494260962,0,0,0,0.0405724131578623,0,0,0.117763581587854,0,0.20690622615287,0,0.369576301479205,0.0615621396961568,0,0,0,0,0
XLM,0,0,-0.0402274785039502,0.161444705316709,0,-0.140348587462681,-0.0923470201943881,0,0.23644396774678,-0.239356172511485,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0
BNB,0,0,-0.0282171613511753,0,-0.73323295035049,0.703180966655652,1.32885427385239,-0.467524440648353,0,0.776560696836268,0,0,-0.264230383897484,1.05934443500721,0,0,0,0,0,0.156529250791633
BV010082.Index,0,-0.040802450185144,-0.0145601782753518,-0.0120970642505712,-0.0136917482259291,0.0554811515043044,0.00352095567403758,0.0711388762904167,0.0279102919860104,-0.0171215399665009,0,0,0.0275727958444044,-0.028435023696652,-2.16840434497101e-19,0,-0.215892013219131,0,0,-0.0213445189022682
CVIX.Index,0,0,-0.0096302390909886,0.0943021421540815,0.111912015871562,0,0.00881077815227098,0.0798592620748157,0.0710411354699539,0.0149652416409924,0,-0.108382286995049,0,-0.110571014492176,0.0245606648322433,0,0,0,0,0.0888923128968254
DXY.Curncy,0,-0.0118050856923325,-0.00223092243070988,-0.00349643935543694,-0.0215190546875867,0.0297819240953082,0,0.0249816690291582,0.00651884907693924,-0.00118897250089633,0,0,0,0,0.00379873673628356,0,0,0,0,0
SPX.Index,0,0,-0.00742056451660909,0,-0.00689877948841711,0,0,0,-0.0035331517615565,0,0,0,0.00258104601288998,0,-0.000694586577193254,0,0,0,0,-0.0436083574016891
VIX.Index,0,0.345085120635472,0.0703221366439946,-0.0578928270231654,-0.283386285848529,0,0,0.432902807861119,0.256047647204538,0,0,0.158390340018228,-0.495600124805456,0,0.203881616724807,0,1.11572830377036,0,0,0
