,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.441641871883616,0.046022250504473,0.0422062766564189,0,0,0,0.0182889014903929,0.0351622186041461,0.115688514439394,0,0,0,0,0
ETH,0,0,0,0,0,0.124105156608004,0.229354130113252,0.109994674659624,0,0.133100484209219,0,0,-0.0196880466159885,0,0.249455243287181,0,0,0,0,0
XRP,0.0552263208493652,0.23059333406099,0,0,0.212423989957649,3.46944695195361e-18,0,-0.128125825156272,0.0253515734781359,0.133350370553588,0.0202115819030066,0,0,0.0210981675507623,0.0329300296811885,0,0,0,0,0
BCH,0,0,0,0,0.308457968247421,-0.400563633432999,0.514943911273285,0.280915323450171,1.73472347597681e-18,0.661656381903493,0.0373207768809275,0,0.0503798448840414,-0.263530535222497,-0.39836803018982,0,0,0,0,0.387979558323769
LTC,0,0,0,0,0,0.172406127886223,0.164022578175676,0.0177146403667031,0.125214693152801,0,0.57456395828642,0,-0.0261375860393606,0,0,0,0,0,0,0
DASH,0,0,0,0,0.181742285187453,0,0.264805726499006,0,0,0,0,0,0,0.221228501723812,0,0,0,0,0,0
XEM,0,0,0,0.06976104507877,0,0.221346432409993,0,0,0.0318602117732644,0,0.47754911449561,0.0590778849994169,0,0,0,0,0,0,0,0
MIOTA,0.622174747028689,0.353254204102714,-1.52752492279352,0,0.498677150467853,-0.139608360000861,-0.216170781054192,0,0.0427268982571351,0,0,0,0.204188361508444,0.156751882437104,0.406561652095252,0,0,0,0,-0.361648669725404
NEO,0,0,0,0.115878912262936,0,0.100647236139023,0,-0.203610063837003,0,0.19043329038406,0,0,0,0,0.482262934152942,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.150268163044056,0,0.498570054097548,0.113671808353567,-0.0601799704928516,0,0,0,0,0,0,0
ETC,0,0,0,0.0460646397822461,0.875243679908275,0,0,0,-0.123185236468639,0,0,0,0,-0.0452258800665713,0.313225743449484,0,0,0,0,-0.225761153889125
ZEC,0,0,0,0,0,0,0.396208308689026,0,0,0,-0.00121033631486172,0,0.387304320996851,-0.0226024000934473,-3.46944695195361e-18,0,0,0,0,0.38261600523065
EOS,0,0,0,0,0,0,0,0.242015411397946,-0.0974202190190346,0,0,0.714380072304289,0,0.165135049041091,0,0,0,0,0,0
BAT,0,0,0,-0.479750753763401,0.488862790775267,0,0,0.135861518176839,0.176518476591032,0,0.0605899989174295,0,0.16541543119587,0,0.0680095065112707,0,0,0,0,0
XLM,0,0.491134180684084,0,0,0,-0.157046851665286,0,0.205686785149132,0.139867464984619,0,0.308366676430286,0,-0.0281847131833559,0,0,0,0,0,0,0
BV010082.Index,0,-0.0459946990037692,0,0.0295114268876523,-0.00826532136776467,0,0,0,4.33680868994202e-19,0,4.33680868994202e-19,-0.0212782720460918,0.0357591657954021,0,0,0,0,0,0,-0.116259460963182
CVIX.Index,0,0.0858828257980023,0,0.119548026554824,-0.207329248323742,0,0,0.0419012533398575,-0.0992847017353755,-0.0368813212415321,-0.0778161388601047,0.0269208015118685,-0.1169955225289,0.110812167454571,0.0991601536378057,0,0,0,0,0.159394987477641
DXY.Curncy,0,0,0,0,0,-0.0242422143414005,0,0,0,0,0,0,0.0102560912430421,8.67361737988404e-19,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00736082449874274,0,0.00330620873822105,0.000941672120613895,0,0,0,0,0,0,0,0,0,0,-0.0292157476737339
VIX.Index,0,0,0,0,0,0,0,0,0.0554775793643435,0,0,0,0,0,0.0647546331979186,0,0,0,0,0
