,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.190410731984023,0.436361822532166,0.149198687388008,-0.241603727402279,0.299174555825017,-0.0759980913107048,-0.137769368517714,0,-0.112286993254275,0.182732088454675,0,1.73472347597681e-18,-0.445923350337605,0,0,0,0,-0.460092302578706
ETH,0,0,-0.0102869124438195,0.271442748026743,-0.105430386746381,0.143969084226414,0.00722379768030082,0.00759622214351482,0.0658659594043986,0,0.149017513709716,0.0932358010960904,0,0.175456859054002,-0.030979518678226,0,0,0,0,-0.084895861288418
BCH,-1.64639387807707,-0.787291487410408,0,-0.150951948901043,0,0.893804570120073,1.37388392470298,0.252328551334128,-0.884926766491887,-0.706898697398519,0.676696106293103,0.187823499951426,-2.23779295053334,0,-0.295045528683677,0,-2.90062193306328,0,0,-0.725550039212599
XRP,0,0.067074945305703,-0.0428194370553413,0,0.345155641063857,-0.0117850300742706,0.102614508995819,0.098585409809721,0,0,0.0150071064421872,0,-0.160359461877704,-0.0261418159685646,0,0,0,0,0,0.0114848554439243
LTC,0.0228654727553279,0,-1.73472347597681e-18,0.376163023047656,0,-0.159575250599263,-0.0580145245329923,-0.059123786047511,0,0.18014517430323,0,0.0166294391803541,0.43050833056449,0.02542957946534,0,0,-0.138947681420577,0,0,0.163332985047676
DASH,-0.879190223921258,0,4.33680868994202e-19,0,0,0,-0.075489023162074,0.0151994819282331,0,0,-0.286356831672838,0.0682370696731406,1.30720302476304,-0.0575900492619373,-0.293773797717251,0,0,0,0,0.15662104152675
MIOTA,0,0,0.243770662933922,0,0.0600903956716018,0,0,-0.106670904069273,0.332322672418266,0,0,0,0.270416621601549,0.165448808248808,0.36626830499282,0,0,0,0,0.257651376338975
NEO,0,0,0,0,0,0,0,0,0.168550640221397,0,0,0.102121996193957,0,0.194287404566716,0.0316096070235796,0,0,0,0,0
XMR,0,0.230462168728785,-0.0536249016777663,0,0,0.206407516985176,0.0690539622042562,0.235316144202328,0,0.376099876467815,0,0,0,0.115378814550625,-0.15458574867169,0,0,0,0,-0.0860030328404737
XEM,0,0.669757487220612,-0.0291421229702847,0,0,0,0.0996739300980617,-0.021715642472783,0.0529103501542981,0,-1.73472347597681e-18,-0.107068183921804,0,0.0519811289770324,0.156450328630071,0,0,0,0,-0.284852705482159
ETC,-0.708743512359842,0.855316721167751,0.0943352789754696,0.493800642162807,0.0798575558774851,-0.58249627620595,0.248596634458933,0,0.0990701628958316,-0.485586349991758,0,0,0,0,0,0,0,0,0,0.039625120154083
EOS,1.14496695270611,0.945268432681064,0.320735439225103,0,1.38777878078145e-17,0.347641828936322,-0.208501243820621,0.278943938025059,0,0,0,0,0,0,0.529640048420091,0,0,0,0,0.511216526287476
ZEC,0,0,-0.117834958924081,0,0,0.39388515768237,0,0.0673633859168327,0,0,0,0,0,0,0.148689336375108,0,0,0,0,0
ADA,0,1.90715980023428,-0.0270998052454938,0,0.150924193526262,-0.122856212710637,0.155246508421426,0.139526733646316,-0.175838716383717,0,-0.137776989487434,-0.412196547850724,0,0,0.296769490926415,0,0,0,0,0.271487810900554
XLM,0,0,0,0.200586042666075,0.245250155721891,-0.11883708308637,0.177691564837377,-0.0259307445349852,0,0.780842960095053,-0.0987794594249021,0.249811951223818,0,0,0,0,0,0,0,-0.198165292266882
BV010082.Index,0,0,0.0154907916886912,0,0.0316301675459376,-0.00396635617296887,0,0.0414874531493714,0,-0.0178474446342026,-0.0260665327544328,0.0107923020382631,0,-0.0385732896999619,0.0605071489033941,0,0,0,0,0
CVIX.Index,-0.146701439277281,0,-0.0517621805144312,0,-0.181025977864379,0,0.0838677611290058,-0.0160061607900988,-0.10104742515962,0.0897884463781663,0.0163977351242224,-0.0136737726904435,0,0,0,0,0,0,0,0.0731400884702885
DXY.Curncy,-0.0171485733125087,0,0.0055221491243582,0.0531706427988219,0,0,-0.0165181898600785,0.0020075481762692,0.0159571575789558,0.0313255503882803,-0.00881598526922997,0.00798414922391283,0,-0.012744215119549,-0.000499508988721038,0,0,0,0,0.0138995607228918
SPX.Index,0,0,0.00461145447889749,0,0,0,-0.00396612181414516,0,0.00709081114221443,0,0,0.00308708877361731,0,0,0.0107133168922022,0,0,0,0,-0.0217418624290006
VIX.Index,0,-0.0079619888092734,0,0,0.316584584304622,0,0.104017819750328,-0.188158951619731,0,0,0,0.0232755523680575,0,0,0,0,0,0,0,0
