,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0127803959329357,0.0603035539528715,0.103328548405778,0,0.0451384315054194,0.025783442153957,0.0538881029128138,0,0,0.274502121256543,0.0997892575932109,-0.106699662789662,-0.0546623207555522,0,-0.0235125085685703,0,0,0.00252044940237676
ETH,0,0,0.0493466923420225,0.128026040238201,0.27976485059304,0.0888184961155717,0.0251145240897429,0,0.0515333639756815,0,0,0.209586552107481,0,-0.053700875824607,0,0.0844855630357915,0,0,0,-0.000656296194335508
XRP,0,0.169615587589398,0,0.0233021606126525,0.069939207434224,0,0.023754219825269,0.0869458647037753,0.109239668504545,-0.0190031199983751,0,0,-0.00693895109055286,-0.0254129488326179,0,0.0581388195621001,-0.0789326111983784,0,0,0
LTC,0,0,0,0,0.51740169742568,0.106142019303484,-0.00612859032656903,-0.0927113595715917,0,0,0.549133032922944,0,0,0.20438074777597,0.104676434772146,0,-0.00379664490597656,0,0,0.0177866816138946
EOS,0,0.586732916529588,0,0.0480482272056417,0,0,0.114906803066581,0,-0.153365464183246,0.318033239528014,0,0,0.0674507795567148,0.0659276699947836,0.194677149210018,0,-0.0183343201660753,0,0,0
BCH,0,0.524701688086318,0,0,0,0,0.0900366789002409,0.060173295889423,0.100811342642036,0.167175423996259,0,0,0,-0.113408693565341,0,0,0,0,0,0
BNB,0,0,0,0.37017198450962,0.582623820235627,6.93889390390723e-18,0,0.157554380015297,-0.0342106308658122,0,0,0.224014780680016,-0.176068912869995,0,0.39403984102709,0,0.457841932858933,0,0,0
XLM,0,0,0,0.122876591206688,0,0.197287665405188,0,0,0,0,0,0,0,0.136198377577114,0,0,0,0,0,-0.0200654567120836
ADA,0,0,0,0,0,0.483858467700192,-0.00193652896921567,0,0,0.34521613876654,0,0.0436517852604493,0.299607325278484,0,0,0,0,0,0,0.256689887157579
TRX,0,0,0,-0.111247564516282,0.24239618173146,0.0590456498176693,-0.196849537034378,0,-0.0609745956675781,0,0.612779599634351,0.490873229592969,0,0.0901723035923645,0.0181702528141806,0,0.143499479583319,0,0,0
BSV,0,0,0,0.180440258350711,0.160078238941575,0,0,0,0.0642293450825157,0.104617238934514,0,0,0.177687885502762,0.0447971734786619,0,0,0,0,0,-0.00904587783969734
XMR,0,0.591505251468763,0,0,-0.178040172242242,0,0.112838151418442,0.0902267083001192,0.0101674936139585,0.143762850997717,-0.0132653546726616,0,0.202114308086623,0,-0.103172012267143,0.535483838457154,-0.0418303388355038,0,0,0.0394535370844457
MIOTA,0,0,0,-0.0623272851596375,0.107256291752869,0,0,0.0302756399774273,0.0825776215753164,0,0,0.718777149276428,0,0,0,-0.612450508567238,-0.049166513122294,0,0,-0.0731129469910026
DASH,0,0,0,0.110554459086757,0.0478833189483351,0,0.159392889162824,0.075106143915487,0.190944408917588,0,0,0,0,0,0,0,-0.102242193834616,0,0,0
MKR,0,0,0,0,0.35464573078125,0.135912931909938,0.128239120730683,0,0,0.112717149753505,0.170816399558855,0,0,0,0,0,0.193292728935056,0,0,0
BV010082.Index,0,0.310571270203183,-0.303176192026423,0,0.0252925980300383,-0.206350105969834,-0.0846720836684521,0,0.114856363235291,0,0,0.315188800322777,-0.445834416389845,-0.0842648619097631,0.25356509877631,0,-0.0694154198151096,0,0,-0.165679253344075
CVIX.Index,0,0,-0.137377004901346,0.122950610794628,0.00191169512649852,-0.815765913483717,0.387716386737676,0,0.302671816402131,0.910387619676936,0.146491055451551,-0.696068872430364,0,-0.662838700365791,0.164899026170932,0,0,0,0,-0.263328938841596
DXY.Curncy,0,0,0,0,0,0.00193573594444546,0.00773601411881107,0.00890843269512847,0.00721425863955167,0,0,0.0115443454812057,-0.0898061395769789,0,0.0193416730905815,0,0,0,0,0.0131263805932574
SPX.Index,0,0,0,0,0,0,0.004204802486725,0,0,0,0,0,0,0,0.0223014870360036,0,0,0,0,-0.0999149126916055
VIX.Index,0,0,-0.515637729603687,0.423405206666234,-0.457684235623544,-0.677648270351211,0.391125560363706,-0.105337250624635,0.18850595599995,1.28153924000614,0,-0.276900026266164,-0.393292091793804,-0.858712541721758,0.63892095732535,-0.571408285014824,-0.283543597186101,0,-4.23863214178046,0
