,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0133869686258391,0,0,0,0.310200430804146,0.030020497811984,0,0.132606382719682,0.0632331184683218,0,0,0,0.111788604038394,0,0,0,0,0
ETH,0,0,0,0,0,0.13211692441431,0.272712970368191,0.138542989415402,0.102452294820639,0,0.0631957316935396,0.101076317756595,0,0.0203319120226725,0,0,0,0,0,0.0215501295380983
BCH,0,0,0,0,0,0.480802822666859,0.26698608560813,0,0.149287742770464,0,0.220840574761874,0,-0.175901658235091,-0.0522431232884382,0,0,0,0,0,0
XRP,0,0,3.46944695195361e-18,0,0,0,0.270392982696119,0.0532124952879098,0.249582039096971,0,0.00364228431191847,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.291264527735329,0,0,0.0814970489672024,0,0,0.290731521553922,0,0,0,0,0,0,0
LTC,0,0,0.0677715860953691,0,0,0,0.0931338936625956,0,0.0464100081289412,0.631700496718065,0.0322611800167766,0,0.162725863861744,0,0,0,0,0,0,0
XEM,0,0.285716794224087,0.112933203447984,0,0.156305996146364,0,0,0.00676401687102433,0.116816241283408,0,0,0,0.0529365240712252,0,0,0,0,0,0,0
MIOTA,0,0.773248616956571,0.106169689676581,0,-0.29592952035795,0,0,0,-0.0488730460883289,-0.277577023571199,-0.483597744192803,0,-8.67361737988404e-19,0.714021612515483,0.553957292040046,0,0,0,0,0.36416220367868
XMR,0,0,-3.46944695195361e-18,0,0.353480920262218,0.149227429334128,0.27073382591251,0,0,0,0.00368055291242579,0,0,0.100883903866587,-5.55111512312578e-17,0,0,0,0,0
ETC,0,0,0,0,0,1.25126688800992,0,0,-0.115926957688121,0,-0.0648383352267282,0,-0.101618203350829,-0.00598450596358503,0,0,0,0,0,0
NEO,0,0,0.871648461971467,0,-0.356254753403528,0,-0.0194588601145161,-0.394288683644428,0,-0.405155100078749,0,0,0.994183995586409,0.44478011505489,0,0,0,0,0,-0.245745215582719
ZEC,0,0.643495534056219,0,0,0,0,0,0,0.0469655612645929,0,0,0,0,0.135137861516268,0,0,0,0,0,0.0493795321250635
BAT,0,0,-0.571108302829673,0,0.4199490175377,0.576369818526864,-0.28368407152999,0.2232657031454,0.372983179682246,0,0.0774101747628778,0.239784396257054,0,0,0,0,0,0,0,0.0618339654151684
EOS,0,0,-1.73472347597681e-18,0,0,0,-0.229622819741785,0.426069391841881,0,0,0.324850310504073,1.12537214624863,-0.0653346906660815,0,-0.234847261357837,0,0,0,0,-0.197533018208421
XLM,0,0,0,0,0,0.461192495773781,0,0.266094518832905,0.162302841675362,0,0,0,0.0265964970867777,0,0,0,0,0,0,0.0772895364922076
BV010082.Index,0,0,-0.0056271844799646,0,0,0,0,0,0,-0.0156151104634638,0.0121800559375701,0,0,0,0,0,0,0,0,-0.0996286451659178
CVIX.Index,0,0,0,0,0,0,-0.100246047796046,0,0,0,0.0458556718458387,0.0751765980268203,0.0587966966689205,-0.0849041615178505,0,0,0,0,0,0.0714008858790947
DXY.Curncy,0,0,-0.00780154993437526,0,-0.0156376891355828,0,0,0.0202421131319291,-0.0167768627855334,-0.000157707016085822,0.00902933754146277,0.0353569151439727,-0.0173523426011418,0.007203634825561,-0.0230194660815967,0.0602665445456686,0,0,0,-0.0171032347484332
SPX.Index,0,0,0,0,-0.00350325505781572,0,-0.00432032921859589,0,0,0,0.00112405188831978,0,0,0,0.00505659285982218,0,0,0,0,-0.0400199890868348
VIX.Index,0,0.224651252506859,0,0.127915022867797,-0.0574273909699003,0,-0.10586453385039,0.123811158069656,0,-0.17171204775684,0,0.249372348381279,-0.00923076958380249,-0.256256358347918,0,-0.896077392588866,0.153671153148447,0,0,0
