,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,ETC,XMR,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0192812954893209,-0.0585734507843812,-0.238969576950072,0.29754960689375,0.011212374804894,0.245979031408764,-0.0631060537617101,-0.368119283797106,0,0.0494487503455652,0.173726578843632,-0.0142860820280834,0.18870072642326,0,0,0,0,0
ETH,0,0,0.177639539485841,0.547918061115937,0,0,-0.024323720686608,-0.0776041960967786,-0.169210341539452,0.0285270224466436,0,-0.140351785016894,0.12546492625631,0.0679683921720917,0.143933384568251,0,0,0,0,0.0703755966921575
BCH,0,0,0,0,0.0962701856982928,-0.806832564954573,0.178821146423163,0,0,0,0.423267586493523,0.625652454977816,0,0.0981148184447916,0,0,0,0,0,0
XRP,0,0,0,0,-0.0592908681447377,0,-0.0871291995545175,0,0.0588064613867726,0.264777065254862,0.208115333932764,0,0,-0.0633140995078779,0,0,0,0,0,0
DASH,-1.43117812774097,0,0.146983642255556,-0.317193154719536,0,0.734786147186512,0,0.418400514209165,0.0926218294305853,-1.23639043095186,1.00282784427874,-0.138254638222568,0,0.403909926374007,0,0,0,0,0,0.0475210394003886
LTC,0.23167496051921,0.288728540204199,-0.0982571062293193,0,0,0,-0.0225908303243763,0.0324243973097491,-0.0631746404419787,0.120551699966701,0.183066069684647,0,0.255437425449918,-0.0647119463401689,0,0,0,0,0,0.128194051341977
BTG,1.99991856544496,0,0.975642468812735,-2.10633149050611,0,1.10467291490533,0,0.0432665349010555,0,2.52188539080179,-0.329651720914808,0,-2.90592344165761,-1.25134726865179,-0.46714720105982,0,0,0,0,0.420964249719693
MIOTA,0,0,0,0,0,0,0,0,0.455608628103908,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,-0.067563576701155,0.674658603893879,0,0,0.0510962974693829,0.0484754188726902,0,0,0,0,0,0,0.494394013771596,0,0,0,0,0
ETC,0,0.495981561605902,0.0550670815227772,0,-0.148440257046582,0.216669946202664,0.0919639459830507,0,0.307465299815633,0,0,0.206070194110946,0,0,0.214968021552578,0,0,0,0,-0.0456206807657669
XMR,0,0,0,0.231113487651451,0.260001381053982,0.0802248576509367,0,0.0830510731100367,0.0773992502224091,0.16404984376476,0,0.254138194497444,0,-0.0677645171608117,0,0,0,0,0,0
NEO,0.443186164612206,0,0.202590613497005,0,-8.67361737988404e-19,0.496770289450077,-0.0810200967727359,0,-0.0808655697704042,0,0.278315771714513,0,0,0.178103131239631,0,0,0,0,0,0
XEM,0.00706695275585502,0.190249616319861,0,0,0,0.334181114523667,-0.00977483188007162,0,0.117155184798309,2.16840434497101e-19,0,0.0726115355939507,0,0,0.0208642876320784,0,0,0,0,-0.0184683181127738
EOS,0,0,0.0787093125843151,-0.543478494507927,0,0,0,0.0206424119278538,-0.0916138055231734,0.067983138280089,-0.15269584273902,0.310273333342967,0,0,0.447849723700294,0,0,0,0,0.445318786507527
XLM,0,0,-0.0447218963512363,0,-0.135133755274687,0,0,0,0.396197202031178,0,0,0,0,0.362988975099035,0,0,0,0,0,0
BV010082.Index,0,-0.0160991433993447,-0.0285766616892206,0,0.0183966216598233,0,0.00729216710961667,0.0312329205513975,-0.0131143285777323,0,0,0.0747294143972495,0,0.0172810197682931,0,0,0,0,0,0
CVIX.Index,0,0,0,0.00974501105011666,0.00306982504233455,0,-0.0153699192526977,0,-0.0255261796801218,-0.0217897021914273,0,-0.0149513037196146,0,0.0126120469624814,0.0713372284888114,0,0,0,0,0.160908128205746
DXY.Curncy,0,0,-0.0157619050108962,0,-0.00116492079373069,-0.0411200304046564,0,0,0,0.00921541978309642,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0.0758058050409706,0,0.117551118667453,0.247470729705664,0,0.118360992690793,0.0568337511258725,0.102055392547873,-0.570474307015741,-0.169265575040373,0,0,-0.0163181866058721,0,0,0,0,0
