,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,-0.0363826901935934,0,0,-0.480906075350209,0,0.11327176446805,0.0215027421777898,0.158905542273275,0,0,0,0,0
ETH,0,0,0,0,-0.114108407889994,0,0,0.0929322097113991,-0.00112471098924725,0.0734191810784974,0.153634398072039,0,0.14633574736076,0.0336075094123149,0.0744775182097549,0,0,0,0,0
BCH,0,0,0,1.09360606689848,0,0,0,0,0,0.127193115197656,0,0,-0.195259102751919,0,0.363222051697564,0,0,0,0,-0.371448405913539
XRP,0,0,0.140283039440735,0,0,0,0,0,0,0.0224671572540564,0,0.0821253199761087,0.11596903877116,0.105392951188459,0,0,0,0,0,0
LTC,0.194440307118935,0,0.0889943856384285,0,0,0.0628920353138819,-0.224714773683097,0.089015698017442,0,0.0404694667768199,0.227714606267277,0.119293563932588,0.149545169018662,-0.0130390636472614,0,0,0,0,0,0
DASH,0,0,-0.10049757191059,0,0.114818914423528,0,0.113608730335415,0.139333437017644,0.113482316353392,0.0790240638338824,0.0574247969690991,0.122948322628982,0,-0.0288870916140471,0.123478844057268,0,0,0,0,-0.123870007983185
NEO,-0.830214999660313,0,0,-0.345156887637436,-0.126142462020658,0,0,0,-0.157334439229649,0.348485711454315,0,0.448077374222639,0.235335612538399,0.149392368343695,0.298317240330264,0,0,0,0,0.0547260758020802
XEM,0,0,-0.323868239793106,0.0923687103975631,0.496093546445109,-0.956044460122285,0.118086139824269,0,-0.0852476364261232,0.0583849653820005,0.710444389451295,0.0831099483766744,-0.0417981172187758,-0.0687217512241542,0,0,0.630225843300701,0,0,-0.652939468924906
XMR,0,0,0,0,0,0,0,0,0,0.0962032950420152,0,0,0.0736311670841235,-0.00766283010587846,0,0,0,0,0,0
ETC,0,0,0.151515867087004,0,0,0,0,0.326161375731272,0.320953180956285,0,0,0,0.053271872822665,0.00598161383713158,0.0320570560430527,0,0,0,0,0
MIOTA,-0.498102953905872,1.66629262688531,0.122998262526415,0,0.0474002414963506,0.619513198240192,0,0.0506055136566331,0.291800562870695,-0.222719059536709,0,-0.0561527492703299,-0.137270149501179,0.0849485239252653,0,0,-0.509316420890437,0,0,0.403472841581261
ZEC,0,0,0,0,0,0,0.0657127663296552,0.0714521663236127,0,0,0.34051416044861,0,0,-0.0693006277625769,0,0,0,0,0,0
ADA,0.134135203069065,1.10772171023168,-0.347653715185799,0.584440222323586,0.329040486956964,0,0.345330771990935,0,0,-0.0889391771866593,0,0.370605097663976,0,-0.0751650008607399,-0.294998820406717,0,0,0,0,0
XLM,-0.716256885211573,0,0,2.28842434969838,0,0.572259942433775,0.0478467644882774,-1.12865999068295,0.478033137124947,0,0,0.520239390565405,-0.0870342947463223,0,0,0,0,0,0,-0.0460929551094177
EOS,0.158104100890434,0,0.443521824181034,0,0,0,0,-0.0614421912307051,-0.59231622616137,0,0,0,0,0,0,0,0,0,0,0.535136094105546
BV010082.Index,0.0147743655442201,0,0.0157443370304241,0,0,0,-0.0439992032831889,0,0,0,0,0.0899767168073898,-0.0343125945295602,0,0.00644975450442333,0,-0.0625254990527531,0,0,0
CVIX.Index,0,0,0,0,-0.102670557951902,0,0,0.0819120969016954,0,0.0273715939519224,0,0,0.0527097397215255,0.0144844631024283,0,0,0,0,0,0
DXY.Curncy,-8.67361737988404e-19,0,0.0274523820989602,0,-0.0201641874817895,0,0.00374997669387936,0.0318875802985386,-0.000197370179680472,-0.017997881681814,0,0,0.00351669424012103,0.00905571007449031,-0.00546224777067137,0,0,0,0,-0.00593236399114649
SPX.Index,0,0,0,0,0,0,-0.00256970865261023,0,0,0,0,0,0,0,-0.000435423240379499,0,0,0,0,-0.0342829790443036
VIX.Index,0,0,-0.0510049622491561,0,0,0,0,0,0,-0.17148169003394,0.278822418128125,0,0,0,0,0,0,0,0,0
