,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.042996611362965,0.43703007042303,0.0260464366249063,-0.0291110016603957,0,0.146547969888133,-0.0767484611179402,-0.12131389572085,0,0.208954512515496,0,0,0.145731877523862,0,0,0,0,0.0640128126507919
ETH,0,0,0,0.343527727081999,0,0.253236655894418,0,0.092639039877581,0.183197687818093,0,0.0767495232681704,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.169995431740036,0.10750750681513,0.0768915784430794,0,0.195607385868917,0.195967545941171,0.225676827800581,0.0389729217072773,0,-0.0350857485482601,0,0,0,0,0,0,-0.0573579744023828
BCH,0.239381792053455,0.776208683968846,0.0395990942529858,0,0,0.0423140994635165,0,0,0,0,0,0,0.0317846755903583,0.0723742876171923,0,0,0,0,0,0
EOS,0,0,0,0,0,0.183556156989148,0,-0.735007062968595,0.207035151308127,0,1.16030792636982,0,0.0691505977631184,-0.0480473754546347,0.190692453664861,0,0,0,0,-0.256942268896814
LTC,0,0.346667959604233,0.105732776952116,0.1203299675066,0.0499706601250603,0,-0.434197255142458,0.101955835223066,0.120662231226773,0,0,0.160318398530316,-0.109523890804805,0.354142765812649,0,0,0,0,0,0.125150309844151
ADA,0,0.483207150066161,0,-0.359945463656388,-0.0230410942120276,0,0,0,0.0752812370049034,0,0,0.477675253651551,-0.163065418567669,0.238391288592411,0.285771091214429,0,0,0,0,-0.150127074418936
XLM,1.14851009053817,0,0,0,0,-2.77555756156289e-17,0.344479653963876,0,0,0,0,0,-0.0207983136278939,0,-0.165190052917018,0,0,0,0,-0.0822655933919947
NEO,0,0,0.186620118033359,0.016869308485077,0.214143580875128,0.0486242359789126,0.081064868273877,0,0,0,0.072595883075636,0.316327125677484,-0.0541903175578494,0.0575574476412677,0.078484635226749,0,0,0,0,0.0204453216871234
MIOTA,0,0,0.111960469212725,0.246161932375246,0.0942602270890594,-0.40293579633352,0,-0.0878523907173913,0.104476135808081,0,0,0.366919429209437,0.00955653619815087,0.186323666825902,0.231178015362545,0,0,0,0,0.131758298029567
XMR,0,0,0,0.160443799656554,0.0313714295039066,0.267474155065993,0,0,0,0,0,0,0.0948656461103059,0,0.259173766991956,0,0,0,0,0.0512682112504766
DASH,0,0,0.228175797860678,0,0,0.0681003383087917,0,0.161508353377469,0,0.114740971935829,0,0,0.0307560055700732,0,0,0,0,0,0,0.251603983634459
TRX,0.467916443018866,0,-0.665719006068995,0,0,0,-2.07007661444857,0,0,1.30672678536018,0,0.929354943932808,0,0.717509559084039,0.351137765381221,0,0,0,0,-0.312849084818963
XEM,0,0,0.584887129488524,0,-0.109992710964549,0.0263400129704573,0.480258327169307,0,0.0580894394072976,0,0,0,0.109997193354223,0,0,0,0,0,0,-0.0597290794740105
ETC,0,0,0,0,0.146675467045157,0,0.27014387816368,0,0.0234758101539177,0,0,0.0459691163878073,3.46944695195361e-18,0.294388206204068,0,0,0,0,0,0
BV010082.Index,0,0,0.170956852608222,-0.0602562126808897,0.0171886498226443,-0.0127903020969797,0,-0.00850761489697168,0,-0.100067511715261,-0.0798027404811391,0.189678720920501,-0.0210702635638755,-0.0954951754161898,0,0,0,0,0,-0.0670801928622131
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309656879435233,0,0,0,0,0,0,0.0397017335568151
DXY.Curncy,0,0.0225819532885656,0,-0.0584916468752431,-0.00651411914797373,0.0206077194570502,0,-0.0350973637160255,0.00409575571280209,0,0,0.109797322442386,-0.0177912308288418,0,-0.0502004179427271,0,0,0,0,-0.0259757317423252
SPX.Index,0,0,0,0,0.0249202928104573,0.0184035034451017,-0.0644698879131693,0.00633214250744774,0.0252269552338345,-0.0533269697278735,0,0.0893971615130827,-0.0293543363479957,0,0,0,0,0,0,-0.148993529206267
VIX.Index,0,0,0,0,0.0358197639494763,0,-0.57781223846887,0,0.252969813254356,0,0.199895622531052,0.528631288090264,-0.0765606055856169,-0.0368649803248069,0,0,0,0,-4.96711408689888,0
