,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00192825553942866,-0.112156938015681,0.186765704155826,0.276512348537831,0,0.0232238873915971,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.121109284192939,0,0.0992054819296809,0,0,0,0.093515221987642,0.156662971965038,0,0,0,0,0,0,0.0566361229387044
XRP,0,-0.601775558273129,0,0,-0.184232203372481,0,0.0594410288705429,-0.177558377770046,0,1.11182316148465,-0.114616418412414,0.354016794586883,0,0,0,0,0,0,0.146990668189499
XEM,0.443092190387865,0,0.270991791306773,0,-0.00313139863663601,0.183281327708462,0,0,-0.0734642236689271,0,0.366580526476453,0,0,0,0,0,0,0,0.242190510388993
ETC,0,0.293619312573543,-0.341076488298435,0.193673008352939,0,0,0,0,-0.021820504775531,0.0283965183911631,-0.226864085430622,0,0,0.3492214167452,0,0,0,0,0
LTC,0,0,-0.0706711423063595,0.290494631055976,0,0,0,0.195135108361944,0.0532641641409809,-0.0222983671797395,0,0,0,0.280582172170556,0,0,0,0,0
DASH,0.764550563349762,0,-0.144200971279254,0,0.0666659769321333,-0.400364546238861,0,0.337196302295059,0,0.146407444789575,-0.0309477142236795,0.245352138739663,0.0251435690295653,0.177405170209234,0,-0.965571280912993,0,0,0.394527554123458
XMR,0,-1.73472347597681e-18,0,0.227613616199395,-0.147244894425198,0.141958873799893,0.354456723713946,0,0.00369357483397898,0.179024641699693,0,0.108217115620013,0,-0.166189162834329,0,0,0,0,0
DGB,0,0,0,0,-0.00186628611732507,0,0,0,0,0.704910469368641,0.603361638128893,0,0,-0.0933565915502842,0,0,0,0,-0.495877925140223
XLM,0,0.00397110536442295,0.784814817670818,0.145903086762104,0.584744230673127,-0.167081217059002,0.439813554609925,0.159491720730858,0.0232591633103849,0,0.163959602481251,-0.364804018017451,0.0702933994302102,-0.292174866815442,0,0,0,0,-0.339759186508533
DOGE,0,0,0,0.770618657688218,-0.128996957685414,0.155747517723326,0.291734659632348,-0.18899519064552,0.0777169355454633,-0.162192073330808,0,0.0889879717903226,0.0421066462302071,0.0779036091552213,0,0,0,0,-0.715522639641816
ZEC,0,0.505300850854043,0.122962359715486,0.102583779180742,0,0.183960180921866,0,0.0049258135775557,0,0,0.0526560110521671,0,0.0413805841121223,0,0,0,0,0,-0.16288743469514
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.284238541777226,0.290120043180511,1.07353308314809,1.02229021065182,0.182879130378294,-0.80619512341171,0,0,-0.530220756528641,0.241069750186204,-0.179074784906312,0,0,0,0,0,-0.592642908332098
BV010082.Index,0,0,0,-0.0234206995003167,0,0,0,0,-2.16840434497101e-19,0.00332039558486237,0,0,0,0.0309275276491503,0,0,0,0,-0.0452396996293972
CVIX.Index,0,0.0580841842397659,0,0.0794607085981557,-0.00276352761018751,0.0172448506475238,-0.0374567557506772,0,0.0321561718275421,-0.0577658321349551,-0.0312444273440964,0,0.00100027698847293,0.0242432169021666,0,0,0,0,0.0957598882778935
DXY.Curncy,0,0.00396299207154131,0,-0.00448034782706957,0.0208730972566415,-0.0012235006876044,0,-0.00866795359675944,-0.00327951547985967,0.0118070403605831,-0.0100894012957644,0.00804262230524285,-0.000823283864965666,-0.00714069014168707,0,0,0,0,-0.00353199079679153
SPX.Index,0,0,0,-0.0112537474513407,0,0,0,0,0.00381277783161192,0.00052483874037333,0,0,0,0.00334237614398884,0,0,0,0,-0.0276066811996288
VIX.Index,0,0,0.261699124399764,0.318120051897264,0.162471136575788,0,0.211026069023569,-0.186205317039942,-0.0411539585486421,-0.17217397543643,0,-0.0825729930572603,0.0299375222638776,-0.158986130052375,0,0,0,0,0
