,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,XMR,ETC,ADA,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.144810943705438,0,-0.138404507072704,-0.00752785729437644,0.188014855554153,0.00140302117356989,0,3.46944695195361e-18,0,0.0752229003683879,0,-0.0460173689343369,0,0,0,0,0,0
ETH,0,0,0,0.0717378722390461,0,0.0218329896022794,0,-0.0243691130455572,0.0997379729270625,0.0918726400229211,-0.141681091090677,0,0.354986151034969,0.0699671423048221,0.126312471694551,0,0,0,0,0
BCH,-0.471355005028343,0,0,0,0.480705958289919,0.175196031511658,-1.46457785848687,0.364594209350055,0,0.558693070702381,-0.181550652507964,0.600847247178892,0,0.0176354951408343,0,0,0,0,0,0
XRP,0.0794725413503228,0,0.109140647909609,0,-0.021278063157515,-0.115621619993732,0.267052985509094,0,0.0796790332760671,0.281856464991217,0.088212687565186,0.0464544752541768,0,-0.0837878051550248,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,1.26155640730609,1.05996590122588,-2.23305690085711,-0.321565713919752,0,2.54434394349657,1.08862603959456,0,1.0003562071212,2.77555756156289e-17,0.297903682942852,0,-0.751182901178492,-0.94200808493489,0,0,0,0,0
LTC,0.143096614430413,0.250510305829871,-0.0939895145293394,0,-0.00401138684319035,-0.00123493921926853,0,0,0.19908618079289,0.10205564012936,-0.116546152697623,0.0922778232921436,0.154516973498642,-0.165644433853914,0.180779696773683,0,0,0,0,0.497274205787881
MIOTA,0,-0.342664985367396,0,0,0.166303047342525,0.0287967054448961,-0.304240179450909,0,0.297624563561021,0.225445706495396,0.264001927007008,0,0.469829756515465,0.119749742680261,0,0,0,0,0,0.731834002864853
XMR,0,0,-0.0290909295969419,0.276063017080692,0.153533624449685,4.33680868994202e-19,0,0.0433772587546492,0,0.0558571264769268,0.0930111937824233,0.19844251579916,0.337265631583029,-0.0534406629776065,0,0,0,0,0,-0.156855017345028
ETC,-0.173597282689503,0,0.225225527884383,0,-0.562582454112119,0.0491403811770043,0.870467913488036,0.163022305992109,1.01486629157536,0,0.345327900312229,-0.160048602969424,-0.509819627476091,0.40568726689008,-0.555506677023983,0,0,0,0,-0.14078068387372
ADA,0,0,0,0,0,0.0141874469027913,0,0.0450536158531159,0,0.119347930518234,0,-0.0134430516472518,0.645475026149359,-0.24706136951247,0.580633180270582,0,0,0,0,0
NEO,2.77555756156289e-17,0.0516804224150421,0.327419851639322,-0.445189235732212,-0.30248395108957,-0.1195574448239,1.09111703782353,0,0.426418686291298,-0.271063741599415,0.0535271148366568,0,0,0.169035110900124,0,1.80365921081969,0,0,0,0
XEM,0,0.27513028283254,-0.0543342173147636,0,0.0188850807602683,-0.00523472425437256,0.291238887487864,0.0857228940459051,6.93889390390723e-18,0,0.0993187907902459,0.107567797592587,0,0,0,0,0,0,0,-0.0722088289266268
EOS,0,0,-0.0298348754738559,0,-0.00652473219426039,0,0,0,0,0,-0.069767580393618,0.267431441262952,0.436384750247613,0,0.0356582330595063,0,0,0,0,0
XLM,0,0,0,0,-0.104129595431925,-0.0209086065179186,0.133831003340802,0,0,0,0.380635107398027,0,0.156405955287663,0.429734522783986,0,0,0,0,0,0
BV010082.Index,0,-0.00220784530578252,-0.0022250176412141,0,0,0,0,0.0325386597964697,0,0,-0.0167789445689575,0.0346129706261127,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0525369665110277,-0.00847709146853399,-0.00771872119746105,0.0320760291389324,0.0289936311358034,0,-0.0604048593257486,-0.0207409678078707,-0.0331416675632447,0,0.0345782993643243,0.0364010417340693,0,0,0,0,0.0973054629386883
DXY.Curncy,-0.0165856929624265,-0.00397701866402725,-0.0216826990715824,0,0,0.00251464976377054,-0.0453490148290174,-0.00895032592291411,0.0153757517281701,0.0124694677777982,0,0,0,0.00256243637062357,0,0,0,0,0,0
SPX.Index,0,0,0.00192172430094984,0,0,0,0,-0.00372124090637261,0.0104188208060506,0,0.00109024612843714,0,0,0.00505713038578679,0,0,0,0,0,-0.0242390516901588
VIX.Index,0,0,0.0630833080216409,0,0.108025682458477,0,0.197726361748211,0.119200019234433,-0.548311983038648,0.117150736878518,0.051145911239906,-0.172226904740185,0,0,-0.0144306655956509,0,0,0,0,0
