,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,ETC,XMR,ADA,NEO,XEM,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.108350527603892,0,0.0295371001940622,-0.0460457172861857,0.842725127850755,-0.262152046613735,0.329494450631923,-0.277635326035675,-0.0389053201692101,0,0.0216836499566735,-0.526412583824322,0,0,-0.0405004080415974,0,0,0,-0.334213842700435
ETH,0,0,0,0,0.00477423395815532,0,0,-0.0235659725647116,0,0.109110997489461,-0.0446873006950362,-0.0163530239942475,0.274945208967361,0,0.18566390355841,0,0,0,0,0
BCH,-0.483991328411697,0,0,0,0.153649943914611,-1.16454869686948,0,0,0,0,0,0.303587454890512,0,0,0.00396736338908899,0,0,0,0,0
XRP,0,0,-0.00868858653767966,0,-0.00979569758621951,0.309713551089478,-0.0891974811986684,0.0224607914426805,0,0.00969547825133372,0,0.0739483404905582,0,0,0,0,0,0,0,0
BTG,0,1.16953113172625,1.00919055616716,-2.31499633883145,0,2.46816615655398,-0.300653156091711,1.00730498821832,1.08207088802169,0,0,0.313250440013082,0,-0.891468602157178,-0.787720346719871,0,0,0,0,0
LTC,0,0,-0.138105119530267,0,-0.00736428804131906,0,-6.93889390390723e-18,1.73472347597681e-18,0.169547831949274,0,-0.05476415509346,0,0.358996572615316,0,-0.0443441088044517,0,0,0,0,0.102264102376749
DASH,0,0,0,0,0.0127981449530175,0,0,0.0164738118231869,0,0.36454818849318,-0.0743103753545632,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0539417656256526,0,0,0,0.0412606515224136,0,0.0313099998303978,0.557047961267465,0.337985149052213,0,0,0,0.131619970526885,0,0,0,0,0.684383400776895
ETC,0,0,0.149371945055742,0.616402655754216,0.0824583171802841,0.296928628509457,-0.282222655880118,0.0369784145455973,0,0.285508104074107,0.224434852747644,0,-0.373776941113127,0,0.0595118965363369,0,0,0,0,-0.197246776289623
XMR,0,0.161151574042555,-2.16840434497101e-19,0.296231700807349,0,0,0.303114043596367,0.0949723245390374,0,0,0.113050779307137,0.240130742802091,0.247400112144966,0,-0.0485898542496071,0,0,0,0,-0.00913484947131649
ADA,0,0,-0.0803881516717358,0,0.0571111529318151,0,0,0.0805992697383893,0,0,0,0,0.43038998195093,0.344801067623705,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249954820863621,0,0,0,0,0
XEM,0,0.244012319345954,-0.0521773433910842,0,-0.0126545372951405,0.258083368883828,0,0.0895227369855614,0,0.0503897939338011,0.088577223585543,0.105875785817394,0,0,3.46944695195361e-18,0,0,0,0,-0.0415720452317381
XLM,0,0,-0.0630254550584433,0,0,0,-0.1103146122877,0,0,0,0.388956591123455,0,0.102227929321795,0,0.40691554988299,0,0,0,0,-0.0233189054049231
EOS,0,0,-0.0507284866090091,0,0,0,0,0.0484331389141303,0,0,-0.118829337193817,0.282590333282768,0.436614406771769,0.10744857882159,0,0,0,0,0,0
BV010082.Index,0,-0.0723262104772687,-0.0242911140789505,0,0.00529901385568834,0,0.0196893473543674,0.021330594004008,0.0402187413979906,0,-0.0277411238145468,0.0577034509212618,0,0,0,0,0,0,0,0
CVIX.Index,0,-0.0743422078004268,-0.00302011302742217,0,-0.00134791367152629,0.0402930768167121,0,0,-0.029039241148182,-0.018740104656869,-0.0240226171566848,-0.0348575470867874,0,0.0684423038468944,0,0,0,0,0,0.0979340128169076
DXY.Curncy,0,0,-0.015085438782728,0,0.00126227286263855,-0.0450297359118938,0,0,0.00531046958984252,0.0110103513547154,0,0,0,0,0.00264970448233741,0,0,0,0,0
SPX.Index,0,0,0.0038848676990005,0,-0.00104904621318495,0,0,-0.00264109367423645,0,0.0123242449623455,0,0,0,0.0010301630254973,0.00471241769782095,0,0,0,0,-0.0271945690429641
VIX.Index,0,0,0.102806777739733,0,0.00761131964335141,0.306675965975971,0,0.120818045105508,0.0750566465598242,-0.470778747452635,0.046395638481642,-0.187229707228855,0,0,0.000853646300863056,0,0,0,0,0
