,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00959135312937998,0.0499051965123295,0,0.0633983282999283,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.93105142033848,0.0472038107997539,-0.306562291598042,0,0.191466732631881,0.0602248058943501,0,0,0.461266907717644,0.195421071984409,0.443476635208319,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0338313615495679,0,0,0,0,0,0,0.314130989091199,0.108282442021015,0,-0.0485306409487083,0,0,0,0,0,0
LTC,0.306698983902697,-0.102453749774534,-0.228233845882891,0,0,0,0,-0.0200893987452469,0.894688103290179,0.295502187322516,0,0.032482218253554,1.73472347597681e-18,0,0,0,0,0
ETC,0,-0.0838689693422919,0.474103828888333,0.190455208893902,0.0485028907976434,0,0,0,0,-0.0501317501477301,0,0,0.174346179596453,0,0,0,0,0.0242124705207183
DASH,0,0.072859408009812,0.156008696683143,0,0.15056995015943,0.0660693001708694,0,0.0258567769788004,0.46288480036022,-0.0398828206979896,0.32434314730138,-0.00112184378452464,-0.146497017199684,0,0,0,0,0
XLM,-0.84348612498351,0.622704984587041,0,-0.17152566717529,-0.310469341105662,0,0.0852968362686461,0,1.72356316794655,0,0.0892363780163487,0.0643802822136463,0,0,0,0,0,0
XMR,0,-0.126963832841407,0.0528252941582828,0.0818348899630949,0.00236973033637925,-1.73472347597681e-18,0.332708310598472,0.0506588157057141,0,0.0391031424817267,-0.250557709652954,0,0.146529011875525,0,0.460448464394673,0,0,0
DOGE,0,-0.122596784740475,0,0.0166719667128027,0.0962222589358623,0,0,0.314871041160216,0,0,0,0.00503021196043436,0.256697681887613,0,0,0,0,0.47782685079247
ZEC,0,0,0,0,-0.041470005260569,0,0.453285403113292,-0.0208425193700757,-0.355333607313807,0.237310703467114,0,0.0138559777236935,0.106759417763529,0,0,0,0,0.0725396852983529
DGB,0,0.0882170980268482,0,-0.346884185484354,-0.204059339990386,0,0,0,0,0.615355316801628,0,0,0.150842987320047,0,0,0,0,0
NEO,0,0,0.484474710525632,0,0,0,0,0,0,0.00759474561090822,0.474846470215719,0.0475437321884765,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0426722116047254,0,0,0,0.00891727354920253,0,0,0,-0.000677969888976576,0,0,0,0,0,-0.025469044423497
CVIX.Index,0,0,0,0.0433585508825847,-0.136491590594315,0.0705698613387006,0.0264706329355731,-0.0234232516321281,0.196326407688726,0.0430202559792816,0,0.0375869045347363,-0.0359314828889791,0,0,0,0,0.121645653560021
DXY.Curncy,-0.0230836757824327,0.00299951037485914,0.0129129327900634,0,0,0.0210864491255291,0,0.00288127234307167,-0.00220162487667422,-0.0075702637875773,0.00149456757815798,-0.0018799648679479,-0.0106444616200104,0.0580590059754756,-0.0424655306508617,0,0,-8.67361737988404e-19
SPX.Index,0,0,0,-0.00653816397394484,0,0,0,0.00369929522424015,0,0,0,0.00394327234214089,0,0,0,0,0,-0.0338070121927091
VIX.Index,0,0.051004591715804,-0.258762792457751,0,0,0.155965370448024,0,0,0,0.117448229964236,0,0.0158460006578129,0.103279155728562,0,0,0,0,0
