,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,MIOTA,XEM,DASH,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.137050249971728,0.0641670029455995,0.0237058573912589,0.0246589404530358,0,0,0.0263659549771237,0,0,0.0993296218550248,0.0205346033390556,0.273764588777223,0,0.0527131738606668,0,0,0,0,-0.00943246129436478
ETH,0.28801075388233,0,0.15571986416675,0.081368052089353,0,0,0.507381823171125,0.092060159901409,-0.170017919386895,0.119347588148711,-0.168905387260405,0,0,0.0826038952553874,0,0,0,0,0,0.0819308690400153
XRP,0,-0.0177887337379828,0,0.244377713883743,0.866323293384914,-0.454686446559516,-0.406936443968772,-0.15887392085512,3.46944695195361e-18,0,6.93889390390723e-18,0,-0.118421224111936,0.288388512012866,0.504461886217306,-0.145317349447788,0,0,0,0.0252065091675452
BCH,0,0,0,0,0,0.260940452242008,0,0.162280867779522,0,0.0398817382016753,0,0.567217265611901,0,0,-0.041973638255999,0,0,0,0,-0.0597858863277728
ADA,0,0,0.463112380735892,0,0,0,0.227595007353738,0.0664961607621654,0,0,0.0963746790562809,0.0209042406997339,0,0,0,0,0,0,0,0.0290297527873943
LTC,0,0.275457636077624,-0.0724233796520367,0.140833943410991,0.336658649521427,0,-0.201382879238913,-0.0821660727341294,0,0,0,0,0,0.356581155408925,0,0,0.472513362823381,0,0,0.0525868968760403
XLM,0,0,-0.420991057375079,-0.141347144129086,0.698342520766109,0,0,-0.0676744169052328,0.756987390393851,0,-0.108707262433073,0.146640910800431,0,0,0.0769364602362087,0,0,0,0,-0.0423219839528544
NEO,0.470714116581967,0.0030234846159761,0,0.0086475389967523,0,0,0,0,0,0,0.0741811029067604,0,0.216168937857739,0.277271641224741,-0.102180246441136,0,0,0,0,0.0200063547959644
EOS,0,0,-8.67361737988404e-19,0,0,0,0.392988866968524,0.101338426878156,0,0,0,0,0.273018187327757,0.275333039573414,0,0,0,0,0,0.0206558466826897
MIOTA,0,0,0,0.185160589207797,0,0.417926845458007,-0.00574415607824026,0,0,0,0.129131010014032,0,0,0.139118031086038,0.165928276514471,0,0.187734664540478,0,0,-0.0406176804867394
XEM,0,0,0,0,0.0973447920066229,0.0763310980324699,0.44097001091994,0,0,0.220121714460473,0,0,0,0,0.12700619917621,0,0,0,0,0.122577990217016
DASH,0,0.10656208576258,0.08329048702849,-6.93889390390723e-18,0.0181107640985309,0,0,0.0195403223584829,0,0,0,0,0.74387220095648,0,0,0,0,0,0,0
XMR,0,0,0,0.290296230501594,0,0.0816088934541906,0,0.124890980768623,0,0,0.00672065088493849,0.368187587512312,0,0,0.107579602044242,0,0,0,0,0
ETC,0,0.245152868593238,0,0.300103177211277,0,0,0,0.0597014818294052,0.335507798452983,0.0901296456022788,0,0,0,0,0.0489863590174398,0,0,0,0,0.0200259229111439
TRX,0,0,0,0.0643717834263209,0,0,0.301069635240772,0.0823043563555761,0,0.326663286998747,0.270590417781842,0,0,0,0,0,0,0,0,0.0761921649939659
BV010082.Index,0,0,-0.066916916230021,0,-0.051478377049782,0,-0.0298853891877571,-0.0460344446640047,0,0.0477388872223925,0,0.139123107869739,0,0,0,0,0,0,0,-0.0425479982638065
CVIX.Index,0,0,0,-0.104426647574419,0.0285798689823054,0,0,0.0241639166928489,0,0.0989393637631339,0.0944578729010621,0,0,-0.0900824879456334,0,0,0,0,0,0.0125507130437059
DXY.Curncy,0,0,0,0.024030651213752,-4.33680868994202e-19,0.0204073599256417,0.00424604779008842,4.33680868994202e-19,-0.0481869824575218,0.00155162853116972,-0.0149985837212656,0,0,0.00653448944435422,0.0126701338610502,0,0,0,0,0.00492834703006914
SPX.Index,0,0,-0.00896949297856654,0,0,0,0.0287767073887359,0.0565250931333753,-0.0534701924055916,0,0.0631467079429028,0,0,0,-0.0901854076690184,0,0,0,0,-0.0681020964468574
VIX.Index,0,0,-0.140694123167741,-0.427561885103716,0,1.03433488339814,0,0.349404661199792,0,0,0.0522372144601577,0,0,-0.316802001640976,0,0,0,0,-4.66258714133198,0
