,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0560204957606795,0,0,0,0,0,0,-0.431751778321789,0,0.0529175526468049,0,0,0.167968254609212,0,0,0,0,0
ETH,0,0,0,0.157624508871376,-0.117501798532861,0,0.0661336315101093,0,2.16840434497101e-19,0.0861739571707399,0.0916329741512824,0.123654585886655,0,0.0253888456415876,0.0361128980441493,0,0,0,0,0
BCH,-0.738462660096251,0,0,0,0.478351236257763,-0.705804554946736,-0.169966976274281,0.0281883990802534,-0.147066905265274,0.350308882807051,0.183159907561732,-0.14089978867423,-2.77555756156289e-17,-0.198256305299159,0.488152094956115,1.63058330962851,0,0,0,-0.525363271335702
XRP,0.0542436033285582,0.105358669407238,0,0,0.446799939319883,-0.26162494985459,0.0735059937957075,0,0.146965966000113,0,0.0548986869815051,-0.0609747839466172,0,0.082979671242731,0,0,0,0,0,0.194366951202703
LTC,0,0,0.0411521650734844,0,0,0,0,0,0,0.0549607389364279,0.118327540536336,0.12343906037854,0,0,0,0,0,0,0,0
DASH,0,0,-0.216157050680329,-0.0127866975195673,0.30479320819475,0,0.11481276558628,0,0.0325147729384434,0.231438894332079,0.0572297169624834,0,0.0535229464634802,-0.0411237452382413,0.116722202123316,0,0,0,0,-0.273303790423057
NEO,-1.12563451203782,0,-0.454760553373618,0,0,0.116323494350488,0,0,-0.122546417548383,0.0114758985254503,0.335802262743101,0.0997631796621294,0.408199460577346,-0.256727669495538,0.438869114551244,0,0,0,0,0
XEM,0,0,0.290281739486731,0,0,-0.191784998719176,0,0,0.0637567497705161,0.392227274895974,-0.00448005255256282,0.266328659522627,0.00818616228571929,0.124979090733093,-0.0803218897822635,0,0.600152760713795,0,0,-0.208235912297891
XMR,0,0,0,0,0,0,0,0,0,0,0.103772095966248,0.234932473977554,0,0,0,0,0,0,0,0
MIOTA,-0.285253347006502,0,0.333172787305713,0.255152666829246,0,0.356035129131353,0.638010821334585,6.93889390390723e-18,0.389808089208546,0,-0.112228179986698,0.117046859091474,0,0.14955749772738,0,0,-0.23101015669134,0,0,0.27620241929781
ETC,0,0,0,0,0,0,0,0.195927026819124,0,0,0,0.00565679180395309,0,-0.0351792654764321,0,0,0,0,0,0
ADA,0.215644198095647,1.71685680310566,-0.423730064716765,0,0.508789661284907,0,1.38777878078145e-17,0.368435104366458,0.179805879539556,0,-0.276217437221203,0,0.412119190647601,-0.0215957412797645,-0.112656199948237,0,0,0,0,0
ZEC,-0.155005899720576,0,0,0,0.259886001161253,0,0.0637793568493607,0,0,0.228562606751735,0.0542795863762299,0,0,-0.0440531831891418,0,0,0,0,0,0
XLM,-0.156704616006881,0,-0.647316323869391,0.760834368178343,0,0.192853754325303,0,0,0,0.628524734186834,0,-0.48574780540377,0.110661247303033,0,0,0,0,0,0,-0.257385738648228
EOS,0.722355767703084,0,1.17176210963134,0,0,0.199049946902078,0.395458392781012,0,-0.217772400549208,0,0,0.112117326529722,0,0.163353987318132,0,0,0,0,0,0.379561055569472
BV010082.Index,0.0837961679250707,0,0.0643492024548311,0,0,-0.0348271176848077,0,0,0,0,-0.00263187556581444,-0.0315355679185088,0.0315333246268818,0.0604199498049959,-0.0130394812861235,0,0,0,0,0
CVIX.Index,-0.0195046278863556,0,0,0,-0.092911815884717,0,0,0.0680218514171688,0,0,0.0336961933638202,0.0471572200681441,0,0,-0.00973067061738814,0,0,0,0,0
DXY.Curncy,0.0119575104656054,0,0,0.0375380606081103,-0.00851974033674648,0,0.00988005434641189,0.0152082026372851,0,0.00631651386581688,-0.0131955989229758,-0.0113604106705374,-0.00893501753942924,0,-0.00444915521838127,0,0.0249468440284806,0,0,-0.0277050720138872
SPX.Index,0,0,0,0,0,0,0,0,0,2.06795153138257e-25,-0.000530140030218368,0,0,0,-0.000561343938325203,0,0,0,0,-0.0370414769077253
VIX.Index,0,-0.18155712363072,-0.566957560933488,0,0.188794391045105,-0.653525029460181,-0.338921466654565,-0.37259853832823,-0.0418492107103783,0.651282117997541,0,0,0.495966114735098,0,0.250157589782172,0,0,0,0,0
