,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,XLM,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0818973878496499,0,0.104369638064015,0.00868081334140939,0.0821760705547063,-0.0242060164172588,0,0,0,-0.115402358154293,0,0.0994909794839976,0,0,0,0,0
ETH,0.115657307225694,0,0,0,-0.547840645533456,0.0448726193063735,-0.113472951109842,0.142747684468375,0,-0.0833058815786437,0,0.406812695730204,0,0,-0.192036301194058,0,0,0
XRP,0,0.142658176599148,0,0,0,0,0,0.129408469513755,0.290749109168702,0.42396662888051,0.101224351245603,0,-0.172498051648692,0,0,0,0,0
LTC,0,-0.237282004848863,0,0,0.020987414899037,0,0,0,0,0.252570377454466,0,0.147450707830255,-0.224317071852979,1.99906286242023,0.257342285760889,0,0,0.326440863422792
DASH,1.0279767851443,-0.673671453123265,0,-0.0597170184038742,0,0,-0.0910403756269364,0.275474668615681,0.798179683669918,-0.131747527979145,0.370179862975509,0.198017327949298,0.0102428187930877,0.242986043948699,-0.0416461526041528,0,0,0.120587088621092
ETC,0,0,-0.391861465980149,-0.108613053710873,0.254711110974894,0,0.260572244837275,0,0,-0.100926005352837,0.315712985245404,0.507986454535697,-0.154293550238237,0,-0.25613429301937,0,0,0.175555838513027
XEM,0,0.0687653505288259,-0.163378979159349,0.292505569116,-0.132808584054113,0.292024530561362,0,0,0,0.341856132395828,-0.127294704097684,0.132765400935185,0.0943365895281924,0,-1.24270863999735,0,0,-0.803893821073931
XMR,0,0.240135131878251,0,0,0.239945015581148,-0.0865851313799,-0.0159891736933964,0,0,-0.0293490675000165,0.0571372980150367,0.0101413719118445,0,0,0,0,0,-0.0449821638515323
ZEC,0,0,0.234371514840804,-0.18330262621021,0.665804702582443,0,0.130011611753102,-0.091161341491059,0,-0.0169826126521038,0.111901926923038,0.0389512928501965,-0.103929741920888,0,-0.0387495258482841,0,0,-0.0456353914476612
XLM,0,0,0.486743339498055,0,0,0,0,0,0,0,0.153110519189889,0,0,0,0,0,0,0
DOGE,-0.797356590480928,0,0.146185001766983,0.261089220049238,0,0,0,0.26626056094045,0,0,0,0.146873661161139,0.201831818264576,0,0,0,0,0
NEO,0,0.0354020073215453,0.389689482588725,0,0.687511631087589,0,0,0,0,0,0.312327490653857,0,0.122076833341399,0,0,0,0,0
DGB,0,0,0,0,0,0,0.0167844585673502,0,0,0.256786789567445,0,0,0,0,0,0,0,0.0209829414229457
BV010082.Index,0,0,0,0,0,0,0.0565312304389259,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.044835827823374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0162019527046597,0.00359737597980663,-0.00598380655325526,0,0,-0.0124646332429848,0,0,0,-0.00446217862565486,-0.00427303877468629,0,0,0,0,0,0.0238177300714491
SPX.Index,0,0,0.00312601488928622,0.00753758612985115,0,0.00815905638682129,0.00369179120086939,0.0274901412484485,0,-0.00357134468169279,0.00267488306569788,-0.0125097087095532,0,0.055794992816016,-0.0188151401449667,0,0,-0.039183376919307
VIX.Index,0,0,0,0.13931171428877,0.554807263001106,0.0966809402087045,-0.179075743970947,-0.127097361337872,-0.495724488451423,0.027695860928011,0.00205822371550404,0.101802613574433,0,-1.13813909135438,-0.446458780657541,0,0,0
