,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,XTZ,LEO,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.232383314855572,0,0.0979988561255273,0,0.0095548833344191,-0.239414089895934,0.310705702358463,0,0.00865674955625151,0.0224805561260433,0,0.0904025459391921,0,0,0,0,-0.0407948664872328
ETH,0,0,0,0.189772193372924,0.348196243740378,0,0,0,0,0,0.151864687648032,0.024802646720228,0,0,0.121232129107347,0,0,0,0,0
XRP,0,0.233953879294746,0,0,0,0,0.359080157328859,0,0.171594066943898,0,0.0357936570893759,0,0.130666420421455,0,0,0,0.118677622007883,0,0,0.0588928947853486
BCH,0,0,0,0,0,0,0.314835847133972,0.327224908996624,0,0.0724758135835954,0,0.286302882205661,0,0,0.0199732163326051,0,0,0,0,0
LTC,0.354393823638893,0.206895108357833,0,0.102584801512942,0,0.394442466453482,-6.93889390390723e-18,0,0,0,0.072243476010977,0,0.00370920895645193,0,0,0,0,0,0,0
EOS,0,0,0,-1.73472347597681e-18,0.280961072794641,0,0.654905606540398,0,0.084037499207412,-0.0709519937874219,0,0,0.00697767291294986,0,0.0703260560001132,0,0,0,0,-0.0485000885691289
BNB,0,0.0955334607717534,0.102929224577119,0,0.128019086897207,0.482970588199696,0,0.0792675013836854,0.0396695277924197,0.114821407317915,0,-0.0515926591824718,-0.0229694211440714,0,0.00489037884044185,0,0.0688271324331533,0,0,0.0677496760313478
BSV,-0.0990396450545639,0,0,0.617175609120261,0,0,0,0,0,-0.151186637621522,0.450741852238339,0,0.273891325249792,0.208169828381366,-0.0632198256051778,-0.598753294595705,-0.161989033553078,0,0,0.138260651536315
XLM,0,0.422828983487273,0.512431859695143,0.293970261936017,-0.301823515082046,0,0,0,0,0.1973486810773,0,-0.214349451677921,0,0.0245547883750436,0,0.555245090161066,-0.0939318197498197,0,0,0
TRX,0.199598634087369,0,0.0723533926906795,0,0,0,0.322831207399101,0.0404270035189115,0.155076614223896,0,0.100001896600783,0,0,0.341173776266051,0,0,0,0,0,0
ADA,0,0.51019102232246,0.124406236820827,-0.303548026219676,0.0362677448757028,0,0,0.0226677984534387,0,0,0,0.20916491652564,0,0.510348850427128,0.2387046153625,0,-0.138116919092647,0,0,-0.0167743006074398
XMR,0,0,0,0.161021022611999,0.465253155008521,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0119045934500018
XTZ,1.36660517455229,0,0,0,0,0,-1.57148612221166,1.49268970687687,0,0.235191855328931,0,-0.771795926009457,0,-0.75268346546562,0.158205875663924,0.188430039049072,0.480566377532986,0,0,-0.280785172925529
LEO,0,0.169580409766602,0,0,0,-0.531856701087656,0,0,0.262122010019028,0.293226731519089,0.157821992032355,0,0,0,-0.0584106141507831,-0.130526113214006,0,0,0,0
ATOM,1.68582668561926,-0.992025662421574,0,0,0,0.489257325367855,0,-0.440127349290631,0.646639829431967,-0.635570467621839,1.05060577998164,0.160252253315737,0.103045849281961,-0.818058751329958,0,0,0.0632461632570964,0,0,0
BV010082.Index,0.204508695825204,0.171215199939364,-0.00547398977637258,0,-0.183981084969751,0,0,-0.0951778334493867,0.0718314266684264,0,0,-0.163325355984012,1.73472347597681e-18,-0.172529824631484,0,0,-0.0743591065988481,0,0,-0.177677132738486
CVIX.Index,0,0,0.0361217349123873,0,0,0,0,-0.35537952169923,0,-0.0137605219397843,0,0.243882894106545,0,0,0.218595625686537,0,0,0,0,-0.197296952449505
DXY.Curncy,0.0708922485506575,0,0.00307520800272603,0.0124918216577711,-0.112340502038096,0.0616129098013402,0,-0.0027777584940916,0,0,-0.00323206346650243,0.0194345640402341,0,0,0.00137894812325444,0,-0.0386822557986474,0,0,0
SPX.Index,0,0,0,0.0539767132769341,0,0.0192427816181807,0,-0.0143429415736239,-0.021159347778612,0,0,-0.0409041460589125,-0.00283568463610969,-0.00749690646400904,-0.0108708481291349,0,0,0,0,-0.0613003988497214
VIX.Index,0,0,0.511479893217547,0,0,0,0,0.256403932547908,0,-2.77555756156289e-17,0,-0.866074301568014,-0.286455831106847,-0.964160867036574,-0.0030315866952447,-1.85680130946521,0,0,0,0
