,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0593496383689963,0,0,0,-0.016552885966517,0.304750868655539,0,-0.0686093469363109,0,-0.11058298582531,0,0.0667595311937309,-0.198089738029985,0,0,0,0,0.0629424937856301
ETH,0,0,-0.056671214800321,-0.124018487075837,0,0.074741913826484,0.0434236572748309,0.0448407253780132,0.0631662853910787,-0.168883888870434,0.43166032165709,-0.166425663894075,0,0.018474310488351,0,0,0.480265875556987,0,0,0.00729342079207076
BCH,0,-1.84399046875477,0,0,0.51440379826459,0.924663070203806,0.0334284319579514,0,-0.0296462779064467,-0.39490403756185,0,-0.93897140340178,0,0.0147488767261401,-0.0527408126338326,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.122004457857886,0.251642216822038,0,-0.396571189870717,0,0,-0.125647679698322,0.0429219804375974,1.40209186748016,0.481636097858713,0.0825903146413121,-0.142033533580526,-0.360169343484045,0,0.30050824997032,0,0,0
DASH,0,0,0.0805940051711135,0,-0.153618489236622,0,0,0.0942184792287508,-0.0535022068146849,0,0,0.90948118889533,0,0,0,0,0,0,0,-0.0405353212488778
XEM,0,0,-0.0675815413872431,0,0.0980883453094589,0.377886824897185,0,-0.13191468098818,-0.38066810843424,0.0971521894955716,0,0,0.25993905513375,0,0.664316805494192,0,0,0,0,0.174760869789879
MIOTA,1.63536315022897,0,-0.0368301660320958,-0.436861719813323,-0.0500933564459421,0,-0.463327009310246,0,0.282727938932604,0.171586537677442,0,0.0941104068981033,0.233156475524445,0,0,0,0,0,0,0.00814015234242323
XMR,0,0,0.100875355991325,0.826499448264663,-0.32387869783402,0,0,0.113806738151303,0,0.0838167122098452,0,0.915435496763643,0,-0.0926028934859721,0,0,0,0,0,0
NEO,0,-2.06442682868524,-0.207109930186954,-0.148644910373037,0,0,0.201431560271724,0.138179891270854,0.272516042634118,0,1.3984194603633,-0.328578740964275,0,0,-0.756934654515821,0,0,0,0,0.0540299726100401
ETC,0,0.0683593603741879,0,0,0.327365598085377,0.0249612687459065,0.147800508953962,0,0,0,0,0,0,0.0219658453106606,0.0300807916559681,0,0,0,0,-0.0442010863499148
ZEC,-0.330279503101692,0,-0.0243873029255907,-0.293014071089875,0,0.51848119448032,0,0,0.223199509380753,-0.0380795927549575,0,0,0.214363252843003,-0.0736587868368459,0,0,0,0,0,0.0314313695239628
EOS,0,0,-0.0229842404881976,0,0,-0.224044798445797,0.0797909374944241,0,0.0210991150399448,0.0145364360864014,0,0.256430583176858,0,0.146062283363814,0,0,0,0,0,-0.0875834316892991
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13563406797506
XLM,0,0,-0.0202445604007438,0.192652703344213,-0.211973868269645,-0.124570437239737,0.0845050321992168,-0.0920039035311911,0.255405739271406,-0.167196619106699,0,0,0,0.0308353876608667,0,0,0,0,0,0
BV010082.Index,0,0,-0.0115039816758609,0,0.0381409922095314,0,0.00775509024670953,0,0,-0.0194817907142017,0,0.0414876709278048,0.0825962441446076,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0504302035536937,0,0,0,0.0162552233001886,0,0,0,-0.039502372320174,0,0.0254129382381173,-0.0291693650399041,0,0,0,0,0.0450497199334067
DXY.Curncy,-0.0388836015656481,-0.0220118927852405,-0.00124760427032822,0.000867252905784985,0,-0.021572987695008,0,0.00676330006928083,0,0.00257916854591299,0,0,0.0330860814185556,-0.00880321544266421,0,0,-0.00423241287247711,0,0,0.0047819416424883
SPX.Index,0,0,-0.010505839022071,0.00260606630000448,0,-0.00486393010427025,0,0,-0.00536008702676406,-0.000438800154843663,0,0,0,0,0,0,0,0,0,-0.0388747364027884
VIX.Index,0,0,0.0946167049233475,0.0367811981880085,0,-0.932540851506664,0.908074866737119,0.352150161590008,0.0895615630670444,-0.114387778043613,0,0.580575388963719,-0.794011138574083,0.272067097742928,0,0,1.97314180805668,0,0,0
