,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.435159476235342,0.0485038557919686,0.0231603071491052,0,-3.46944695195361e-18,0,0.0147138365226716,0.0614842635257943,0.132491356851449,0,0,0,0,0
ETH,0,0,0,0,0.0764524918560374,0,0.354995730443684,0.143621730742669,0,0,0,0,0,0,0.202765550547495,0,0,0,0,0
XRP,0,0.128367644958353,0,0,0.247005777438402,0.015005777957801,0.0775206816055587,-0.123022835057994,0.0164373881205734,0.125224210138311,0,0,0,0.0122481340701763,0.0586067337082043,0,0,0,0,0
BCH,0,0.643483944688572,0,0,0,-0.123597318702685,0.266452263886326,0,0.313861581001814,0.287356430274398,0.201997502876571,-0.331151845956927,0.135329392028076,-0.359886408268493,-0.164129686532154,0,0,0,0,0.265904432609836
LTC,0,0,0,0,0,0.145997759494013,0.211856296156587,0,0.109395703777483,0,0.562906639565366,0,-0.0141722963702832,0,4.33680868994202e-19,0,0,0,0,0
DASH,0,0,0,0,0.160973991176002,0,0.282210083142793,0,0,0,0,0,0,0.226530567995046,-1.73472347597681e-18,0,0,0,0,0
XEM,0,0.190542521562963,0,0.110362253589703,0,0.148712285649679,0,0,0.0846273647358095,0,0.420059772900656,0,0,0.0159241897555936,-2.16840434497101e-19,0,0,0,0,0
MIOTA,0,0.481420795462713,-1.49645558103186,0.000845193315127446,0.38285617095729,-0.0908153146755525,0,0,0.0769282556955468,0,0,0,0.233390830726255,0.200393182473344,0.461666353553365,0,0,0,0,-0.366689983139587
NEO,0,0,0,0.78105179305512,0,0,-0.282357739794123,-0.660373236319339,0,-0.298873504641839,0,0.761559423607112,-0.402846656831943,0.667011975692058,0.686424880920846,0,0,0,0,-0.932239201794152
XMR,0,0,0.326711167678684,0,0.216311175411366,0,0,0,0.0786621482673196,0,0.189612267579117,0.086168567427142,0,0,0,0,0,0,0,0
ETC,0,-0.332466438608834,0,0.24886721988593,0.789119757507005,0,-0.0617849788802825,-0.0855795662571287,-0.174750130610882,0,0,0,0.192697364804723,0,0.541762540788508,0,0,0,0,0
ZEC,0,0.233589226542245,0,-0.0577338770507821,-1.73472347597681e-18,0,0,0,0.329309019815906,0.147321477136088,0,0,0.530424803477934,-0.205507734179568,0,0,0,0,0,0.575469165202418
EOS,0,0,0,0,0,0,0,0.185654519620095,0.0892772392523165,0,0,0.463546052834488,0,0,0,0,0,0,0,0
BAT,0,0,0,-0.584350414253045,0.235261449348486,0.374749384201763,0,0.529157814294872,0.188256247558736,0.158411724662567,0,0,0,0,0,0,0,0,0,0.342592143266191
XLM,0,0,1.18145855315699,-0.0295360805184949,0,-0.231867498644877,0,0.368773445025305,0.0556354259329352,0,0.0780514053737504,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0470384659640346,0,-0.0202026346427304,0,0,0.00121464136406717,-0.102483684049466,0,0,0.026624394225286,0.0335222678870014,0,0,0,0,0,-0.0680944070077757
CVIX.Index,0.308773793312397,0,-0.105773207521267,0.115046369484712,-0.188694962601605,-0.0755550994986006,0,0,0,-0.0500138511869773,0,-0.0478176653140815,-0.0797028799528316,0.054060603505051,0,0,0,0,0,0.156578264704298
DXY.Curncy,0.011938121470556,0,0,-0.00647301033774818,0,-0.0188474682426112,0,0,0.00960866616014505,-0.0154258964807063,0,0,0.016865769958943,-0.0190919145412068,0.00764450254669398,0.169922409912862,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00668565201664281,2.16840434497101e-19,0.00271994072773842,0.000572849169078552,0,0,0,0,0,0,0,0,0,0,-0.0287941109893561
VIX.Index,0,1.73472347597681e-18,0,0.0824317599496707,0,-0.0749749977692135,-1.73472347597681e-18,0,-0.057327661524067,-0.144723093603411,0,0.45901596634917,-0.30925614525898,0.0584811391598298,0,-1.06761231388169,0.619924717077192,0,0,0
