,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.133000275778415,0.214347660139397,0.242627737662141,-0.882393234762023,0.641981933060076,0,-0.127421341988041,0.136959195769875,0.239284967498429,0,-0.105316633762638,0.303526930049217,0,0,0,0,0.461649289496605
ETH,0,0,0.72507294305293,0,0,0,0.226262303104112,0,0.119078953535309,0,3.46944695195361e-18,0.0695888813605624,0.0343212723759877,0,0,0,0,0,0,0
XRP,0,0.573327711235218,0,-0.069156805728123,-0.0695874695158466,0.302983876403604,0,0,0,0.131244016661219,0,1.38777878078145e-17,-0.228446626124478,3.46944695195361e-18,0,0,0,0,0,0
BCH,0,0,0,0,-1.29672108334848,0.963424682345067,0,0,-0.625418658275303,0,0,0.56765665133699,1.48663131452299,-1.12346025254935,-0.105751789296039,0,0,0,0,0
LTC,0,0.0157420654158459,0,-0.0703374952275916,0,0,0.344949652368041,0,0,0,0,0,0.125050494481584,0,0.073500455630897,0,0,0,0,0
XEM,0.672507024265574,0,0.0908516715678846,0.204936286267923,-0.0923090823581861,0,0,0,0,0,0.22431236849834,0,-0.264492375194324,0.532303814902111,0,0,0,0,0,0
ETC,0,0.318933281984263,0,-1.73472347597681e-18,0.265154777967545,0.0486639793857384,0,0,0.0022268838739652,0,0.0667342397996752,0.0348046744554678,0,0,0,0,0,0,0,0
DASH,0.141781910034974,0.0988756460476416,0.0316739568370756,0,0,0.0825410854678521,0.298282331831591,0,0.138679072151496,0.110146120187281,0.00972808225199359,0,0,0,0,0,0,0,0,0
MIOTA,0.392730190219118,1.0661191982207,0,0.063939045110324,0,0.183868917893796,0,1.38777878078145e-17,0,0.205455079333576,0,0,0,0,-0.904563074128082,0,0,0,0,0
XMR,-0.0783511177082228,0,0,0,0,0,0.00825509644134595,0.66039844187103,0.00190082064251412,0,-0.0589783506616955,0.165442677912565,0.0452919627553725,0.310518552036414,-1.38777878078145e-17,0,0,0,0,0
NEO,0.310406854294206,-0.138365353591924,0.0523271437754851,0.0150698611242445,0,0.0350269313730724,0,0.427694293154246,-0.199243208833181,-0.47357970606069,0,0.426077960779607,0.87697016380191,0.184731025559483,-0.158954887351865,0,0,0,0,-0.949964137120907
EOS,0.0404570938418728,0,0,-0.0462536979125378,0,0,0.476455512279775,0,0,0.201321042336271,0,0,0,0,0.397467580611966,0,0,0,0,0
ZEC,0,0.164365620529486,0,0,0.122709929073105,0,0,-0.181629849159224,0,0.476777013042211,0.0478658613991393,0,0,0.0220557032388781,0.117089102975658,0,0,0,0,0
XLM,0,0,0.261718509735785,0,0,0.37226942910733,-0.365469102601409,-0.70531999476976,-0.16197979200825,0.70933406642733,0.436383994424559,-0.334804038693777,0.640453630692964,0,0,-0.160651585493221,0,0,0,0
DOGE,0,0.30225091794735,0,-0.0510351331202828,0,0.0991080007442826,0.123065439521143,0,-0.13137535098782,0.161041728971496,0,0.320217617769356,-0.118024714074066,0.166496154127362,0,0,0,0,0,0
BV010082.Index,0,0.016539614926701,0,0.0166642966572864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0250469979077223,0,0,-0.00218612286397594,0,-0.00924045230771208,0.0263477716297725,0,0.0120562782613772,0,-0.0135180624513788,-0.0157537906408539,-0.00541147343892336,-0.00891403764756202,0.00715431387468884,0,-0.0397520158943513,0,0,0
SPX.Index,0,0,0,0.00179227117214448,0,0,0,0,0,0,0.00608848940361114,0,0,-0.0032612878449526,0,0,0,0,0,0
VIX.Index,0,0.235196905419785,-0.157977386884005,-0.0480610115263224,-0.202495984725546,-0.0461671878398592,0.206234137248339,-0.0108558246628038,0.0154556233507219,0,0,0,0,-0.0680123386191268,-0.019077664926796,0,0,0,0,0
