,BTC,ETH,XRP,BCH,EOS,LTC,XLM,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.170966820957425,0,0.0713277088891378,0.0624412305056051,0,0,0,0,0,0,0.085828435225389,0.213959783299491,0.121438476161804,-0.0044455281217335,0,0,0,-0.00368106604177437
ETH,0,0,0.74214141062954,-0.0971947507230401,0,0,0,0.462873917256187,0,0,0,0,0,0.016981677397726,0,-0.327066630833249,0,0,-0.0296393144618199,0
XRP,0,0.163749698093229,0,0,0.0812943049693581,0.170166273932706,0.136469507448377,-0.0902700763683708,-0.024649266577247,0,0,0.0228292181755367,0,0,0.430275564574363,0,0.104899405859319,0,0,0
BCH,0,-0.256781468751686,-0.201493367264098,0,0.119034032215475,0,0,1.07371849137489,0.406966958454252,0,0.166148489810937,0,-0.372139441358343,0.39831283221053,0,0,0.402357732342638,0,0,0.118683803726446
EOS,0,0,0,-0.0821271852301138,0,0.288615511759918,0,0,0,0.375247915654849,0.293406463966689,-1.73472347597681e-18,0.19349118795003,0,0,0,0,0,0,0.0547805324266075
LTC,0,0.134003555435002,0,0,0.466338173881341,0,0,0,0.129122326042181,0,0,0,0,0.141829725479956,0,0,0,0,0,-0.131626549289393
XLM,0,0.146820198008557,0.328267834646797,0,0,0,0,0,0.101604345415235,0,0,0.108911602668481,0.103478245774525,0.125556615469133,0,0,0,0,0,-0.00134132812124833
BSV,0,0,0,0.286417377533022,0.0853421552577085,0,0,0,0,0.249195859769727,0,0,0,0.0406641859413853,0,0,0,0,0,-0.0312545023460638
TRX,0,0.00121104908446608,0.0557372823061383,0.184949725653802,0,0.101675641506566,0,0,0,0,0,0,0,-0.190415320100591,0.67590523112047,0,0,0,0,0.02162857206163
ADA,0,0.114064688781503,0,0,0.122229689997741,0.173826251768606,0,0,0.154247675299583,0,0,0.432186553096691,0.0339472746861361,0,0,0,0,0,0,0
MIOTA,0,0.266700126669866,0,0,0.496321483748535,-0.027699721676815,0,0.301450842543795,0,0,0,0,0,0.112743091068209,-0.109243941406944,0,0.362745719192574,0,0,0.0400969815486381
XMR,0,0,0.190586779472322,0.0498701830727501,0,0,0,0.102187133946591,0,0.329671461999126,0.204981699257241,0,0,0.140768889989234,0,-0.225076230777207,0,0,0,-0.0794298190367153
BNB,0,0,0,-0.0511628596032477,0.0705104405773622,0.176692006699856,0.432376453065632,0,0.0580866300867514,0.0887914949181767,0,0,0,0,0,0,0,0,0,0
DASH,0.508579723221828,0.138221339525628,0,0,0,0.223607751136993,0,0,-0.120404213294834,0,0,0.22673784700344,0,0,0.0879971438376669,0,0,0,0,0
XEM,0,0,0.291769783705892,0,0,0.0572840587301106,0,0,0.330624229733539,0,0,0,0,0.198920537206846,0,0,0,0,0,0
BV010082.Index,0,-0.0909315860430004,0,0,0,0,0,0,-0.188490893781279,0.102323853634803,0,0,0,0.0911551404930788,0,0,0,0,0,-0.108430940954116
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0580859704397635,-0.023031592740957,0,0,0.004401282562606,-0.0293050998476089,0,-0.0226812445060143,-0.0128375460028794,0,0,1.73472347597681e-18,-0.00108441889511377,0.0261024431441383,0,0.0113387988059488,0.0186160994987584,0,0,-0.0152893020836316
SPX.Index,0,0,0,-0.0197567626963628,0.0403821100718933,0,0,0,-0.0283688226651215,0,0,0,0,-0.0171083077265865,0,0.184656261103302,-0.0564145642137509,0,0,-0.101812009278669
VIX.Index,0,0,0,0.298413744305538,0,-0.571638729633147,0,-0.61124402975656,0,0.332632634977122,0,0,0.757337501183334,0,0,-3.46944695195361e-18,-0.440426342354405,0,-2.91109593445738,0
