,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.079469220520293,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.650805753501824,0,-0.205307530414309,0.218219809739265,0,0.0847906760706232,0,0,0.550788518204621,0.210308728329045,0.339048597494342,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0.135058713972922,0,0,0,0,0,0,0,0.139069794108207,0,-0.0828152765528824,0,0,0,0,0,0
LTC,0.368223851988473,-0.168151433772724,-0.0480708438997048,0.132839024131354,0,0.618561297318896,0.126565773698956,0,0.345914069423561,0.251257159461473,0,0.0728224493022887,0,0,0,0,0,-0.202453281194699
DASH,0,0.0554231238706517,0.029737585070402,0,0.172412567444896,0,0.0782442939132379,0.0464991222802648,0.413695488448657,-0.0615124889711455,0.31532354886544,-0.00316365879336223,-0.0770860279297074,0,0,0,0,0
ETC,0,-0.0692415728915298,0,0.0310748990968383,0.0784746103091837,0,0,1.0842021724855e-19,0,-0.0479430572613312,0,6.93889390390723e-18,0.165541538474857,0,0,0,0,0.326148035385264
XLM,0,0.817320314549287,0,0,-0.053640723292543,0,0.328386062674308,0,0.712575013859222,0,0,0.0489208131607862,0,0,0,0,0,0
XMR,0,-0.140637802847211,0,0.130890501873889,0.0483476225047949,0.406205503006902,-0.0631261828065547,0.057631343761772,0,0.0233772743473002,-0.333494030383451,0,0.19029675484724,0,0.776308381046096,0,0,-0.115708080441292
DOGE,0,0,0,0,0.422363118510565,0,0,0.24930476522277,0.0396325547262459,0,0.457818766529327,0.0319699877321038,0.0533486558391832,0,0,0,0,0.441716958763781
ZEC,0,0.0188564131665637,0,0,-0.0411981716428756,0.42978338456738,0,-0.0276300769384139,-0.327803920850603,0.252729616501531,0,0.0113998964556885,0.0632616399418721,0,0,0,0,0.0684835161286589
DGB,0,0.149410277057957,0,-0.27843418397451,-0.333960459332581,-0.31144459858964,0,0,0,0.668108680482175,0,0,0.111192497004953,0,0,0,0,0
NEO,0,0,0.98492563197619,-0.0786301726183841,0,0,0,0,0.250704552167253,0,0.309394710395519,0.0651717059727731,0,0,0,0,0,0
BV010082.Index,0,-0.000676173851940351,-0.0719883596670435,-0.0394207372479163,-0.0123613701970852,0,0.0349127301576034,0.0203573077405459,0,0,0,0,0.0283177231374574,0,0,0,0,-0.0132834845701096
CVIX.Index,0,0.0196642953864175,-0.0323921907995175,0.019990361038588,-0.0782949519111067,0,0,0,0.119756921331036,0.000110635571592804,0,0.0279830212601699,-0.000557000657440181,0,0,0,0,0.229883279641528
DXY.Curncy,-0.0198004835618154,0.00123036074971352,0.0194545749889779,0,0,-7.63516901598547e-05,0.0180473521948114,0.00336801107620497,0,-0.00811683074358339,0.00763762510530995,-0.0012045904095484,-0.0130458952009628,0.0502921834278898,-0.0560359588163047,0,0,0
SPX.Index,0,0,0,-0.00919595987672093,0,-0.0036792039597147,0,0.0038235649608828,-0.0118485180240182,0.00512618367179399,0,0.00304722843052183,0,0,0,0,0,-0.0280004578009278
VIX.Index,0,0.0428892089251464,0,0,-0.0498948570803389,0,0.152504502904985,0,0,0.111775196300113,0,0.0228593468838857,0,0,0,0,0,0
