,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.128803918509004,0,0,0.0102646956823284,0,0.258274561069301,0,0.0867585111883746,0,0,0.0445664396145861,0.0837009464888865,0.0396656748357368,0.0971808579505061,0,0.0762550364600268,0,0,0
ETH,0.18257741127214,0,0,0,0,0,0,0.240205296271718,-0.040646053719133,0.276653581348404,0.180792534344873,0.0746043018673544,0.106478748387163,-8.67361737988404e-19,0,0,0,0,0,0.0916302386833756
XRP,0,0,0,0.108113184948002,0.0761275801756922,0.338274342410044,0,0,0.080844829122022,0.108708293915893,0,0,0,0.0894837687781732,0,0,0,0,0,-0.0052341114716318
BCH,0,0,0,0,0.331386335049568,0,0,0,0.0527309531064527,0.184844321467586,0.249560916199386,0,0,0,0.0319985013392768,0,0,0,0,0
EOS,0.24184652664046,0,0,0,0,0,0.431375770700584,0,0.176107973085907,0.167930980297226,0.388975089680924,0,0,-0.0554818125567547,0.129330897168707,0.543185542059253,0,0,0,-0.476206624472624
LTC,0,0,0,0,0.0473969121208974,0,0.184601754166732,0,-3.46944695195361e-18,0.00427946142837978,0.292516329097149,0.155803934342577,0.120339753952485,0,0.0423211989299743,0,0,0,0,0
XLM,0.129962095501079,0.133922936256077,0,0,0.211873126736736,0,0,0,0,0.194876673958494,0,0.102479379826668,0,0.140809896938162,-0.104932322645316,-0.398380502130193,0,0,0,0
ADA,0,0,0,0.15345734745288,0.0111402685171623,0,0,0,0,0.291825621311698,0.234353062979629,0,0.074349842218765,0.071413167707215,0,0,-0.0956419468332317,0,0,0
MIOTA,0.876665237190651,-1.27474252952691,0.600203171349167,-1.38777878078145e-17,0.246275416790971,-0.191755585362715,0,0,0,0.361250364442495,0.570112269277614,0,0,0.1312728009923,-0.11087536453493,0,0,0,0,0.522476441719481
TRX,0,0.351016193644397,0,0,0.157129000413746,0,0.566163994590615,0,0,0,0,0,0,0,0.0649929003950266,0,0,0,0,0
NEO,0,0,0,0,0,0.997952646574268,0,0,0.106211086052874,0,0,0,0,0,-0.0276357939794932,0,0,0,0,0
DASH,0,0,0,0,0,0,0.232795134283906,-0.204092684056717,0,-0.16696704443325,0.540986314708493,0,0.210162845938651,-0.0417201624306806,0.169441782270032,0,0,0,0,0.0663279347901289
XMR,0,0.233761464855402,0,0,0.0362269631934494,0.709739457917907,0,0,0,0,0,0.2065060661571,0,-0.043070154814188,-0.104993545788103,0.221197889968431,-0.162720372074156,0,0,0
BNB,0,0,0,0,-0.216417499716512,0,0,0.385436083444841,0.361378818239621,0,0,0,0,0,0.263986767440109,0,-0.868013801851212,0,0,-0.350288933736047
ETC,0,0,0,0.173130081890294,0,0,0,0,0.223539831959133,0.472809383954345,0,0,0,0.160720955246903,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.172801792172892,0,0,0,0,-0.00842046136572254,0,0,0,-0.0826448922993371,-0.0399247708504671,0,0,0,0,0
CVIX.Index,0,0,0,0.232465932458599,-0.0172225047909802,0,0,0,0.174767546367553,0,0.0372864295542469,0,-0.328120601852107,-0.245766124499624,0,-0.413365082934291,0,0,0,0.0133430401193918
DXY.Curncy,0,0,0,0,-8.67361737988404e-19,-0.0118262063347839,0,0,0,0,0,-0.0111991135362947,0,0,0.00518557130393923,0,0,0,0,0
SPX.Index,0,0,0,0,0.0266440552807087,0,0,0,-0.0285582754902993,0,-0.0137998316425753,-0.0120776494539858,0,0,0.00426890916935122,0,0,0,0,-0.0476082229821704
VIX.Index,0,0.756281389540524,0,0,-0.494785993956835,0,0,0,0.228320619846856,1.73472347597681e-18,0,-2.16840434497101e-19,-0.396487970613833,-0.165714964313738,0.0959466881202469,0,0,0,-2.71114015560211,0
