,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,TRX,DASH,MIOTA,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.16196108765506,0,0,0.0112732956665022,0.236543277028286,0,0.0461130682172946,-0.044171585320808,0,0.279648619144283,-0.0811534020145241,0,0.448708779047482,0,0.243102650839637,0,0,0.030005772547532
ETH,0,0,0,0,0,0,0.0405996216368589,0,0,0.0809973774716794,0,0.294400042080047,0.104604741213606,0.149754426680581,0,0,0,0,0,0.0687351443157829
XRP,0,0,0,0,0.252234845245295,0.0507361776006167,0,-0.241333509509259,0.265839100648199,-1.0842021724855e-19,0,0.229856317262113,0.101773848457076,0,0.297570096534206,0,-0.286352204753846,0,0,0
BCH,0,0,0,0,0,0,0.0818645944865022,0.354084687905315,0.292958870714886,0.0369223528781638,0,-0.0140851327945461,0.0432716925333798,0,0,0,0,0,0,0.054552146195687
EOS,0,0,0.629287948979296,0,0,0.0112678924991908,0,0,0,0.102604971488058,0.16876429555551,-0.0971615901671111,0,0,0.221702670816577,0,0.429196666867744,0,0,0
XLM,0.162979796171693,-0.309694600914379,0,0,0,0,0,0.274095854465243,0.26305751924904,0,-0.00890749894570117,0,0,0,0.589930042906633,0,0,0,0,0.012950660122794
LTC,0.303577353028273,0.403742526207739,0,0.250442198857267,0,0,0,0,0,-0.0145373230682865,0,0,0.142013044538296,-0.164458225469449,0,0,0,0,0,0.0249456989078225
ADA,-0.05658503751711,0,0,0.886709991258288,0,0.180884600168213,0,0,0,0,0.135719252559239,0,0,0,-0.298662240741504,0,0,0,0,-0.101829197892159
XMR,0.475937916225175,0,0,0.46303455319336,0,0,0,0.034868999705135,0,0.0476575785201083,0,0.0468449452978296,0,0,0.167789433351037,0,0,0,0,0
ETC,0,0,0,0,0.567956775369742,0,0,0,-0.143306674023512,0,0,0,0.203172646500803,0,0,0,0,0,0,1.73472347597681e-18
TRX,0,0,0,0,0,0.0773655888474753,0,0.505407392002721,-0.151274840416475,0,0,0,-1.73472347597681e-18,0.682941641854917,0,0,0,0,0,0.131224647816862
DASH,0,0.533718001954038,0,0,-0.178765083542664,-0.163952827967349,0,0,0.397152245883636,0,0.189205710343771,0,0.0598817283355705,0.232627213904676,-0.183486168592909,0,0,0,0,-0.0920746438201219
MIOTA,0,0,0.583582326472111,0,-0.879502983846579,0.44889387319901,0.408721512382529,-0.337761705972199,0,0.0487704290973117,0.401086874719849,0.0548938630517777,0,0.660983702683805,0,0,0,0,0,-0.00871187569353273
NEO,0,0.620763412941651,0,0,0,0,0,0.0510773384099465,0.128554818705194,0,0.22467837584952,0,0.216120167537275,0,0.0222288307565869,0,-0.237084819464953,0,0,0.133570631517163
XEM,0,0,0,0,0.190074163686168,0.123283284000316,0,0,0,0.015831483998171,0.0555223943945126,0,0,0.449854570494584,0,0,0,0,0,0
BV010082.Index,0,0,-0.103028387519034,-0.0610996905207117,0,-0.0775177092783804,-0.0293175470422443,0,-0.0073501646997984,-0.0131402541423706,-2.16840434497101e-19,0.0923116599383718,0,0,0.188480987053567,0,-0.151763767674308,0,0,-0.0360956046620245
CVIX.Index,0,0,0,0,0,0,0,0,0,0.068120937564013,0,0,0,0,0,0,0,0,0,0.096024071768289
DXY.Curncy,0,0,0,0,0,0.0610680676065454,0,-0.0581020784268297,0.0425715977973405,0.00830978121401506,0.00992987117005033,0,-0.0190667850069169,0.0218151530665121,-0.0761879040361629,0,0.0206775438564661,0,0,0
SPX.Index,0,0,-0.00938967147239947,0,-2.14554882162583e-05,0,0,0,-0.00878790582220377,0,0,0.0039397192350632,-1.6940658945086e-21,0,0,0,0.0339283979030969,0,0,-0.0633813218278966
VIX.Index,0.126529314255626,0,-0.218030133725902,0,0,0,0,0,-0.523770108151314,0,0.203878829593932,0,-0.105809631172016,0,0.531517870599806,0,0,0,-6.8376926021836,0
