,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0820126442726577,0,0.10473655185018,0.0822613224733911,0.00875281124853538,-0.024135252127283,0,0,-0.115534340500228,0,0,0.100069180367299,0,0,0,0,0
ETH,0,0,0,-0.513161966974223,0.102329633586972,-0.506859434050543,0,1.65471075040347,-0.100632067488081,0.103471080180359,0.285698176814966,0.120275495195873,-0.225832170910232,0.977953014014808,-0.0558348501495338,0.471604557202672,0,0.176876424918033
XRP,0,0.263732127016017,0,0.0760554912688062,0,-1.38777878078145e-17,0,0,0.254620792001836,0.16623038930697,0.453350306683896,0,-0.142592151103828,0,0,0,0,-0.0945716324070254
LTC,-0.0320359753323068,-0.179308589345532,0.0859966139592228,0,0,0,0,0,0,0.00398585763105648,0.0943310771119497,0.0933136441826146,-0.135966381625987,2.6327641478144,0.32972407097888,0,0,0.427538341498572
ETC,0,6.93889390390723e-18,0,-0.232734577124131,0,0.661174230659951,0.245647408159688,-0.500118125294106,-0.768331821973055,0.359718137009313,-0.311924256531246,0.552448261767848,-0.388918802736023,0,-0.256838297893935,0,0,0.270867687228516
DASH,0,0,0.158964334444331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.213308543531449,0.268319971520776,0.323762556436643,-0.20635331815847,0,0,0,-0.214006473469663,0.569287584495356,0.167286950721835,0,0,-1.23522806685451,0,0,-0.80643520766834
XMR,0,0.310674146229712,0.0596604710142977,0,-0.0883549339564383,0.254029737292595,0,0,0,0.0586253802187459,-0.135424734440374,-0.0173939856383863,0.0279976025771654,0,0.0438322385790634,0,0,-0.0190002795977706
ZEC,0,0,0.251649485857483,-0.210350081179398,0,0.564060641425482,0.11510141248022,0,0,0.0880425618994412,0.0434370468318986,0.0151411486688395,-0.0986948501904622,0,-0.0478293151015312,0,0,-0.0508081632515658
DOGE,-1.05043721962888,0,0.140984873304708,0.279256840396544,0,0,-0.0832008367764394,0,0.0504755733609959,0,0,0.186477381905925,0.205359195977866,0,0,0,0,0
XLM,0,0.47734423104995,0.43677178330202,0.414426192791339,0.337074103390949,-0.164549505913847,0.263289667523494,-0.395274190433485,0.657556978327913,0,0,-0.297862323282507,0.0230491866727918,0,0.532278671243628,0,0,0.102020284760639
NEO,0,0,0,0,0,0.514009811155048,0,0,0.643452547001315,0.319946810378388,0,0,0.00649419910344961,0,-0.0734304506346426,0,0,0
DGB,0,0,0,0,0,0,0.0326866080749819,0,0,0,0.152613513598819,0.0704454968888538,0,0,0,0,0,0.039801584819053
BV010082.Index,0,0,0.0311491286929676,0.0621078801035577,0.0880055103087638,0.0391065479539671,0,0,0,-0.0397056149300583,0,-0.0007212023388147,-0.0760096809572527,0,-0.085001584130473,0,0,-0.183628253175171
CVIX.Index,0,0,-0.0448540270074985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0319960004615472,0.0016338817605908,0,0,0.000109472390883626,-0.0127428379264193,-0.0197611361212701,-0.00690161976943291,0,0.00738333228226274,-0.00687631330516547,0,0,0,0,0,0.0198822824251183
SPX.Index,0,0.0241359828185442,0.00257472562071855,0.0103414535973913,0.000892505278008858,0,0.0124711079251279,0.0221925201998171,-0.0298811637978848,0,0,-0.0161842569158516,-1.0842021724855e-19,0,-0.00746478390830688,0,0,-0.0442410809020326
VIX.Index,0,-0.20282291395316,-0.212268035810723,0.197416905350014,0.309502172954743,0.204953550729018,-0.522554505835754,0,-0.196029595993582,0,0.442553745794243,0.206634172468291,-0.0248703161394513,-3.14370043593471,-1.00922378851517,0,0,0
