,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00362787142645503,-0.197942462062336,0.31710448763518,0.232532386049386,0,0,0,0.0592573817273067,0.036788269885634,0,-0.0345622801080984,0,0,0,0,0
ETH,0,0,-0.0799924707684228,3.46944695195361e-18,0.101493209082616,0,0.209142354529343,0.00232718733932366,0,0.122584238493993,0.0719075869040357,0.0130029736863868,0,0,0,0,0,0,0.12308914510118
XRP,0,-0.574420123922533,0,-0.281425212544272,-0.370582505162775,0,0.240301332310409,-0.141365351405874,0.968292985103847,0.250146912283425,0,0.0330680700116417,0.676306643515673,0.157072615282414,0,0,0,0,0.485028164955221
XEM,0.335924057794052,-0.189077656029984,0,0,-0.174862463796444,0,0.102830511899112,0.0896226089408668,0.115624160831473,0,0.412885871897526,-0.0472237884237257,0,0.133994414447648,0,0,0,0,0.387639270443278
ETC,0,0.273798587665355,-0.412439696134258,0,0,0,0,0,0.169156977139528,0,-0.00903024670673766,-0.0484612299379287,0,0.300299612908917,0,0,0,0,0.186958012285248
LTC,0,0,-0.0179331769930547,0,0,0,0,0.574020586130393,-0.228433327325137,-0.123529642996872,0.11249451261177,0.0493727833229592,0,0.348775810960196,0,0,0,0,0.232651221514775
DASH,0.477474430185053,0.144493615897706,0.154764552344614,0,0.227462328870355,-0.328795495438046,0,0.327324264423088,0,0.241938130421841,-0.0693913557057891,-0.0508723165751908,-1.47494463939948,0.0799061458477819,0,0,0,0,0.173942927887088
XMR,0,0,0,0.237225222567242,-0.189522398771655,0,0.547696850278269,0,0.0524445315603515,0,0.05365902888344,0.0228938742956423,0,-0.142460585654074,0,0,0,0,0
XLM,0,0,0.764219128694395,0.145206788744341,0.177937925809608,0,0,0.230793915748072,0,-0.218208330099873,0,0,0,0,0,0,0,0,-0.188502514628626
ZEC,0,0.34692618252458,0.0239789516713681,0,0,0.151944785278197,0,0.0873381788706056,0,0,0.111898144334663,0.0215486147616307,0,0.0234721573515633,0,0,0,0,-0.0319012157352235
DOGE,0,0,0,0.770618657688218,-0.128996957685414,0.155747517723325,0.291734659632348,-0.188995190645519,-0.162192073330808,0.0889879717903222,0,0.0777169355454633,0,0.0779036091552221,0,0,0,0,-0.715522639641817
DGB,0,0,0,0,-0.0816887745714196,0,0,0.167699908251072,0.655297391524695,-0.196986898081697,0.605475292216274,0,0,0,0,0,0,0,-0.521240427838726
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.828610267044616,1.2225801150633,1.41482865446204,0.349380340761877,0.363592861440182,-0.69947525899757,-0.215659071240586,0.13032800302636,-0.651584770158817,0.00321722988894522,0,0,0,0,0,0,-1.68301396314268
BV010082.Index,0,0,0,-0.0211299331693498,0,0,0,0,0.00240071725544801,0,0,0,0,0.0305570306937846,0,0,0,0,-0.0436469708670184
CVIX.Index,0,0.0450328551043913,-0.00635574894729446,0.103256095216095,0.00336894095837639,0,-0.0257465463119489,0,-0.0493713514699366,0,-0.0364262424789076,0.0343421561413534,0.300374649957294,0.0240923391847795,0,0,0,0,0.0777333687558848
DXY.Curncy,-0.00276340078357926,0,-0.00686747023677476,-0.00756770075799506,0.017479341122855,0.000103892355149268,0.00560701970945535,-0.0104230453182191,0.0176955368419577,0.00870210234331232,-0.00965210123168619,-0.00277440340317735,-0.074696693365786,-0.00610340087262791,0,0,0,0,0.000699869260084663
SPX.Index,0,0,0,-0.0112514393523267,0,0,0,0,0.000534370808168443,0,0,0.00380987035469618,0,0.00334052675875619,0,0,0,0,-0.0276160621122448
VIX.Index,-0.1212744566166,0.217039288317661,0.656465448248368,0.742961545646263,0.673071827075391,0.0790977718664598,0,-0.207213004462941,-0.414038430791746,0,-0.361157261420006,-0.00712799179317825,0,-0.409453312097263,0,0,0,0,0
