,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.376609515303422,0,0.0270768613973507,0,0.0670707919259894,0,0,0,0,0,0,-0.102566037987447
ETH,0,0,0,-0.113134463605232,0,0,0.200042117587528,0,0,-0.202756837950843,0.524797704212504,0,0,0,0,0.593384686854786
XRP,0,-0.0794748190211599,0,-0.0235076356720099,0,0.113609867977052,-0.0829685059812058,0.228305266394406,0,0,0.0855519928928902,0,0,0,0,-0.0505922963776802
ETC,0,-1.48702937771724,0,0,0,0,0,0,-2.21213568377765,-0.0404546042922382,0.841303499671288,0,0,0,0,-2.77555756156289e-17
LTC,0.659265004127809,0,0,-0.00292190112311768,0,0,0,0,0,0.0241608125001983,0.0211966884072212,0,0,0,0,-0.0199063843249131
DASH,0,0,0,-0.0128024369828033,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.0121806270674793,0,0,0,0.918276602538696,0,0,-0.0420053034227604,0,0,0,0,0
DOGE,0,0.0265061015705706,0.26189108185856,0.00469988299295012,0,-0.263768242112061,0,0,0.152652107539783,0.0687211275409694,0,0,0,0,0,-0.0190766112744599
XMR,0.521376594680972,0,0,-0.0391190921044944,0.719325995759241,0,-0.100229476759368,0,0,-0.0780065733049558,0,0,0,0,0,0.972225794119015
XLM,0,-0.450704483325103,0,-0.0978673428901516,0.815458706805854,0.267405223325551,-1.38777878078145e-17,0,-0.156606826084579,0,-3.46944695195361e-18,0,-0.249786390131868,0,0,0.27431845308663
DGB,0,0.385789396987664,0,0.0394955409153354,0,0,0.0880591386064564,0,0,0,0,0,0,0,0,-0.0654768478258369
BV010082.Index,0.119884601193285,-0.038734434300772,-0.0591188413715844,0.0251475265189446,0,0.168329290691322,0.0724606001688919,-0.216313334746558,0.213534976278175,0,-0.0608767715228937,0,0.14296115403247,1.8226717076146,0.612611605483225,-0.11975039259659
CVIX.Index,0,0,0,0.00240681651381863,0,0,-0.0353952493992377,0,-0.104877313633842,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0.00864692050061285,0,-0.00134406667164898,0.0186278755376694,0.0271674009874289,-0.00453988183618787,0.0237666967466021,-0.0229679812982813,0.0151936932918686,0.000679850800284967,0.194119439027591,-0.00193419005501748,-0.520203385843127,0,-0.0244948095905768
VIX.Index,0.0952588566782716,0.0781739225255338,0,0.0492147469542317,0,-2.16840434497101e-19,0.0686433252386815,-0.881955861147422,0,1.38777878078145e-17,-0.119478868572522,1.2567322266788,-0.3200628477058,0,0,0
