,BTC,ETH,XRP,BCH,MIOTA,NEO,LTC,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.304448554862269,0,0.0472784884503667,0.279943078654063,-0.055681751934071,0.753992263605795,0.0161636413857854,0.488443457022305,0,-0.234421535814947,0,-0.336563852508482,0,-0.251620673477645,0,0,0,0,0
ETH,0,0,0.814513021561711,0.0181836354614154,0,0,0,0,0.265592868201301,0,0,0,0.155392291130604,0.0742538596562256,0,0,0,0,0,0
XRP,0,0.352439797412606,0,-0.0147949352578946,0,0.0193633682971063,0.23123914433756,0.0305268469551762,0,0,0,0,0,0.0309028273892643,0.0753090519525527,0,0,0,0,0
BCH,0.861450578424105,0,0.598398938592101,0,0,-0.266258952196281,-2.04390132629436,0.590090592840281,0.687363744661156,0,-0.244730885577146,0.390118944583429,2.15298163262434,-0.077959512119457,-2.0637512211386,0,0,0,0,0
MIOTA,-0.114786952064521,0,0,0.0395527059695335,0,0,0,0,0,0,0.488893450940874,0,0,0.276616710349207,0,0,0,0,0,0.218700852521242
NEO,0.477366067092308,1.2739904108224,-1.00740841907956,-0.0875075151224204,0.463010434016549,0,0,0.248133757854355,-0.260335319898982,0,-0.852045265259371,0.692323668910758,0,0.833297904863107,-0.578720975587405,0,2.18880299902716,0,0,-0.86017949594847
LTC,0.199986528189369,0.1830141770079,0.00488829486870412,-0.0625220064890503,0.0220977630965399,0.0193199945846277,0,0,0,0.318952580575849,0,0.057007072867272,0.225492461726899,-0.0888832616557513,0,0,0,0,0,0.0697247826967154
XEM,-0.265864227413275,0,0,0.192337444362332,-0.217252969332309,0.18252912276283,0,0,0.455593560259744,0,0,0.571018028893288,-0.435620219443778,-0.153014793765821,0.615299316039278,0,0.333469341719382,0,0,0.184174696326824
DASH,0.0833696770658036,0.127396803914548,0,0,0.147955070631539,0,0,0.117515202875286,0,0.148743936368631,0.02928523594527,0.110835671108646,0.0963153396893098,0,0.0161398741960642,0,0,0,0,0.045861017634389
ETC,0,0.141571599772052,0.153011944096146,0.0101686516828664,0,-0.00282791616006156,0,0,0,0,0,0.109751114985154,0.125284246709822,0.0485810862845154,-8.67361737988404e-19,0,0,0,0,0
XMR,0,0,0,0.0565774117127478,0.225815484596171,0,0,0.0439690807596214,0.250029292825484,-0.439195834507986,0,0.0945200693321346,0.215652010010279,0,0.243272615543021,0,0,0,0,0
EOS,0,0,0,0.0295243810466358,0,0.0547118194892005,0,0,0,0,0,0,0,0.0395586899468771,0.257113519764142,0,0,0,0,0
ZEC,0,0.534544869528122,-0.318280677088854,0.0100149390699483,-0.0681868293579129,-0.0501332814359715,-0.0288202769453744,0,0,0.130832092638488,0.373422624029476,0,0,0.0668221227098476,0.145195619774878,0,-0.51100740583169,0,0,0
BAT,0,0,0,3.46944695195361e-18,-0.0215115611466663,0.403157035531985,0,0,0,0,0,0,0.267048165922003,0,0.391609466251488,0,0,0,0,0
XLM,-0.0979403578100414,0,0,-0.0661006880000943,-0.00189880615554036,-0.0139057086985589,0,0.118876213596456,0,0.824004852845531,0.188828089406064,0.022991058020731,0.336114158300344,0.00944488961245653,0,0,0,0,0,0
BV010082.Index,0,-0.00507388882398993,0,0.00588218939705171,-0.0447315247103413,-0.00933162290591045,0,2.16840434497101e-19,0,0,0.147308634167206,-0.054693555785764,0,0.0223277625431857,-0.0105808025260195,0,-0.210398655272719,0,0,4.33680868994202e-19
CVIX.Index,-0.0487316924513847,0,0.239084996020047,0,0.0519708074623748,0,0,0.0349812263030594,0,0,0,0,-0.276818312822284,0.0411126553906876,0.00314967886101177,0,0,0,0,0.0492768360325894
DXY.Curncy,0,-0.0360680185637581,0,-0.00373347540745233,-0.0108928379256168,0,0,0,0,0,0.0211486215559002,-0.0198731190517937,0,0.00741660894732033,0,0,-0.0709598752540459,0,0,0.00527683293952278
SPX.Index,7.68372591022815e-05,0,0,0,-0.00194635595521706,0,0,0,0.00686950212956973,0,0,0,0,0.00050517580259349,-0.00642286878557837,0,0,0,0,-0.0394642179717106
VIX.Index,0,0,0,0.052939750085074,0.209621206135164,-0.0647034758859668,0.944819111916009,0.129757582815618,-1.02944122304405,0,0,0,0,0.0749387225210998,-0.0814895143356872,0,2.02248680206336,0,0,0
