,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0733872239151928,-0.0477801796538683,0.0585561656120824,0.0685743152912707,0,0,0,0.021607886128187,0.0812238864566211,0,0.510220830965315,0,0.00903581899373292,-0.0555110098270956,0.191737613886773,0,0,0
ETH,0,0,0.0706394721355347,0.0374179965396626,0,0.167515992719695,0.0176359933811217,0.0765047394200489,0,0.179405327519061,0,0.132792495248603,0,0,0,0,0,0,0,2.16840434497101e-19
XRP,0,0,0,0,0.176184719490793,0.166123660189519,0,0,0,0.330597643695328,0,0,0,0,0.222205270105248,0,0,0,0,0.0933967152742659
BCH,0,2.64308246258794,-0.00560392963231305,0,-0.199710185131781,0,0.684642435178338,0,0.284609346896584,-1.22557839680044,0,0.92099740714385,0,-0.18020572029168,-0.25853320108425,0.0156159711417581,-0.134972155062238,0,1.18194469273761,0.202389746125646
XLM,0,0,0.412758724260887,0.0494176394493995,0,0,0,0.353647951787462,0,0.0287414569549942,0,0,0,0,-0.100036442820298,0,-0.240425757628557,0,0,-4.33680868994202e-19
EOS,0.473762005099396,0.130100563709434,0.100553655895599,-0.0281702644858625,0.0713050228571981,0,0,0.303675907533721,-0.0470905008132734,0,0,0,0,0.208320896481715,0.0211704194275901,0,0,0,0,-0.0299771155417025
LTC,0,0,-0.0319412188542605,0.228599414816505,0,0,0,0.192565477632439,-0.246428152745393,0.322279189447637,0.187155710405295,0.0343572864415741,0,0.0701071499726316,0,0,0,0,0,0.0244554689386449
ADA,0,0,0.0072758480563136,0.0977415590999203,0.0022438459507442,0.230421055704904,0.255934687963644,0,0,0,0.160230321016979,0.22044768999624,0,0,0,-0.184023303113208,0,0,0,-0.0658075908614484
XMR,0,0,0,0.137316166299652,0,0,0,0,0,0,0.28293035450016,0,0,0,-0.0359460361465988,0,0,0,0,0
TRX,0,0,0.06990109766938,0,0.0965906819310359,0,0.395264841223394,0,0.0701907776633338,0,0.105189914412074,0,0.0777446106532981,0,-0.0183369930002735,-5.42101086242752e-20,0,0,0,-0.0243179318767036
MIOTA,0,0,-0.0847448788178756,-0.0794824645384527,0,0,0,0,0.219293683910082,0.555804899576634,0,0,0,0.384970251331016,0.253832304255676,0,0,0,0,0.0399423829446335
DASH,0,0,0,0.106151797036113,-0.134445725354009,0,0,0.654439481011158,0,0.22981318271919,0,0,0,-0.382894930921657,0.157380607872037,0,0.168576458851616,0,-0.0222384379470372,0.00819786928073715
BNB,0,0,0,0.0417580889963971,0,0.0714256252395624,0,0,0,0.287150998993075,0,0,0,0,-0.00194920091634752,0,0,0,0,0.0102550978096717
NEO,0,0,-0.217015268939237,0.165860802685069,0.133366513516966,0.629635251124167,0,0.0909802794064029,0.184292483304686,0,0.0119680071316336,-0.261870321584606,0,0,0.0990377396497322,0,0.188402458572589,0,0,-0.0135536176496908
XEM,0,0,0.0444052186201558,0,0,0,0,0,0,0,0.362755499413377,0,0,0.358209529712788,0,0.08996182165759,0,0,0,0
BV010082.Index,0,0,0.0920944532946109,-0.0483524649515239,-0.10919382131421,0,0,0,0.345661367060322,0,-0.141269018258118,0,0,0,0.0142407022395463,0,-0.0751310404517237,1.21246771078549,0.791648608725602,-0.0474476892923518
CVIX.Index,0,0.516756905820172,0.253034942199815,-0.138910660368372,-0.224506837023666,0,0,0.119858559640402,0,-0.429228538890104,-0.152703701557049,0,0,0.38672270404221,-0.0570327272409857,-0.49355321220757,0,0,0.712432400388501,0.0632165747949344
DXY.Curncy,-0.0191143911484176,0,0,-0.0499170529957253,-0.0138852701133193,0,0.0670835879306778,0,0,1.73472347597681e-18,0.0236470195665284,0,0,0,-0.00935907209846958,0.169922003074786,0,0,0,0.0413300864788939
SPX.Index,0,0,0.0424170863440373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141943696718206
VIX.Index,0,0,0.486978122737634,0.887822983914886,0,0,-2.49106208064221,0,0,0,0.488493723577659,0,-0.286245955986824,0,0.0509738673460045,0,1.69189512264654,5.18468360905874,-3.35189442512209,0
