,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.22221735454832,0,0,0.105920414827753,0,0,-0.106605817591203,0.0794813172280616,0.0846558691102968,-0.0998062956642884,0.254416758079357,0,0,0.176174429175807,0,0,0,0,0.0769511092673774
ETH,0,0,0,0.0579094015251363,0,0,0.0230882157589826,0.170211319220233,0.0635494110963163,0.409607094018758,0,0.212765484503572,0.00951834214429306,-0.0660611547169554,0,0.269570453628765,0,0,0,0.127501791760696
XRP,0.0381962589910593,0,0,0.56446595283796,-0.115029690557541,0,0,0,0.0604053014408925,0.0476687284229726,0,0,-0.00695907418206722,0.241740087492345,0.0196294426104997,-0.0825424067404568,0,0,0,0
BCH,0,0,0.352048592791272,0,0.196751610507342,0,0,0.0759867148222464,0.0610936955355406,0.116397719460185,0,0,0,0.151952752240324,0,0,0,0,0,0
EOS,1.31648644604253,0,-0.339450427840364,0,0,0,0,0,0.184845491293509,0.169258553292932,0,-0.688317053192472,0.713205020464146,0.176857881109188,0,0,0,0,0,0
LTC,0,0,0,0.0701762534768387,2.16840434497101e-19,0,0,0,0,0.194974835526884,0.276765478907504,0.171658767466014,0.0245749190184172,0.0696081573939149,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.500338115875597,0.157283715798007,0.354327614824526,-0.0993420957898163,0,-0.0723861701587525,0,0,-0.347312706144434,0,0,0,-0.188853703714961
ADA,0,0.0240798555743361,0,0.142156415554201,0.0588561514729272,0,0.631392688979,0,0.125968773638133,-1.38777878078145e-17,0,0,-6.93889390390723e-18,0,0.0462577585831196,0,0,0,0,0.0283669382372523
MIOTA,0,0,0,0,0,0,0.437365586485549,0.609848913873341,0,0,0,0,0,0,0.0652708863705839,0,0,0,0,0
TRX,0,1.03016223235866,0,0,0.206134959734886,0,0,0,-0.127233334673753,0,0,0,0,0,0,0,0,0,0,-0.0270325172167689
NEO,0,0,0,0,0.0463656217381339,0.436136959427959,0,0.0667825424939827,0.166364655710767,0,0,0,0.0420620201167528,0.283388246093072,0,0,0,0,0,0
DASH,0,0,0,0.287309616389289,-0.145591146718791,0,0,0,0,0,0.075628229628743,0,0,0.403718388614167,0,0,0,0,0,-0.113004546608517
XMR,0,0.00527536849239271,0,0,0.0936808588059846,0,0,0,-0.108207368329197,0.174775221925577,0.751486675477733,0,0,0,0,0,0,0,0,0.0307902867805751
XEM,0,0,0,0,0,0,0,0,-0.170814210304393,0.261733955400148,0.728344115470945,0.0979667546703702,0,0,0.10914258458376,0,0,0,0,0
BNB,0.225789516179225,0,0.215048859138238,0,0,0,0,0.123492838499935,0.129315767071584,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.168093182636739,-0.0356533069424664,0,0,0,0,-0.301429591418107,0.215399455929083,0,0,0,0.131512684713001,-0.0825487178335202,-0.0784767777902293,0,-0.403581475211185,0,0,-0.261301868163974
CVIX.Index,0,0,0.0360129729510632,0,-0.0646500228566178,-0.0187057394801406,0,-0.0158831452473036,0.160548793185943,0,0,-0.194348017315902,0,0.114599582809646,-0.126162044137263,0,0,0,0,-0.0189980537848578
DXY.Curncy,0,0,0,0.0182579697020367,0.00928230234787459,0,0,0,-0.02775166872801,0.0211310512438447,0,-0.0393899440870923,0,-0.0170496634624397,0.00239702990998403,0,0,0,0,0.0212120009572152
SPX.Index,0,0,0,0,0.00362343577759368,0,0,0.05482413463104,-0.0232812520483612,0,-0.005676467842392,-0.0411655581572023,0,0,-0.0013163721480763,0,-0.010869159667333,0,0,-0.0605597212558526
VIX.Index,0.00311813014770011,2.67976118059178,0,-1.09744917448091,0.160194385249481,0,-0.684994660978728,0,0.158255163386743,-0.410272854552132,0,-0.563797783682866,0.103632010714166,0,-0.312347793443134,-2.3585015575803,-1.45818766312068,0,-2.4281500730117,0
