,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0962851968287438,0.227312494819911,0.0982150896621764,0.0702859149080664,0.2792999329905,0,0.169628453171648,-0.298590053171109,0.635238106562664,0,-0.127261367730665,-0.0596865766833353,0,0,0,0,0
ETH,0,0,0.105936474267129,1.04660498919037,-0.0934739482879499,0.869719551592888,0,0,0.107387226412433,-0.760970178791632,0,-0.919833050784695,0,0,0,0,0,0.272344717550556
DASH,0,0.230449621094278,0,0.0575950308269684,0.203106979660806,-0.216275518942974,0,-0.0658390546015187,0.129111680100851,0,0,1.21154840766487,0,1.55025880009001,0,0,0,0
XMR,0,0.502028653809056,4.33680868994202e-19,0,0,-0.0432522962405285,0,0,0.0478683761314935,0,0,0,-0.0912896298402776,0,0,0,0,-0.329833021875273
XRP,0.0329289416372091,-0.102271658985865,0,0,0,0.101367821216731,0,-0.00147171128379904,0.142498400451724,0.0864358602055044,0,-0.215099483172443,0,0,0,0,0,0
ETC,0.516832073735834,0.552229868507235,0,-0.399410069110502,0,0,0,-0.063216551563931,0.155680089043174,0.363312789999378,0,0.00949157080586968,-0.211742749043645,-1.41122196800636,0,0,0,-0.102529623783761
LTC,0.106056915612806,0.0596160130176495,0,0,0,0.0732362359079503,0,-0.128005155657085,0.109926706592366,0.102784301047506,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,-1.90131505697026,1.73472347597681e-18,0.502919893757793,0.0545602734562538,0.457579008077862,0.336809305383242,0.700849327983193,0.226387062333034,0,1.51415142610677,0,0.232176885091513,-0.209495650414582,-0.0627748710570065,-0.329334398192754,0,0,0
DOGE,0.300734259329526,-0.0615599859735521,0,0.160653096494822,0,0,0,0,0.0685336624822598,0,0.0814327626964172,-0.0252513593560091,0.0476720602792211,0,0.349386412020786,0,0,0
XLM,-0.0895191799155765,0.00206566047779134,-0.0697301235341964,0,0,0,0.603666450222746,-0.0196340162156228,-0.0868510075036558,-0.214965584422438,0,0,0.452465740794889,-0.164475534261928,0.560741236430283,0,0,-0.367568246772466
NEO,0,-0.41557271994746,0.137491676564919,0.201834080889281,-0.628707316070972,0.390064240827557,-0.251630881076549,0.158012222304782,0.248030592706875,-0.455099120745452,0,0,0.0758640770788856,-0.386511826437011,0.691283875934737,0,0,6.93889390390723e-18
DGB,0.660376966135832,0.140674620449881,0.062499840192173,-0.443912451195832,-2.77555756156289e-17,0.0180832723686506,-0.62565925714265,0.0323934042184554,0,0.187574251905872,0.642561347453406,0,0,-0.596817010492038,0,0,0,0
BV010082.Index,0.262831908347969,0.0881279618892201,0.0353443357674559,-0.219057283568617,0,-0.172252771977868,0,0.0166329368202597,-0.0421212893234407,0.120654674604697,-0.203644729757485,-0.0204511340479154,0,0,0,0,0,0.0771973268951781
CVIX.Index,0,0.0385601489653081,-0.0736463245325717,0,0.50569833810089,-0.118033230193054,-0.318492816381296,-0.0212872725033197,-0.0196155612372922,0.379318514199659,0.453981205790324,0.21579593134642,-0.150399110733125,0,0,0,0,0.503546549042818
DXY.Curncy,0.0171386090607197,-0.0124330066220616,-0.0106667325005143,0.0173159515215519,0.0329578196859783,0,0.0153770428948194,0,0,0.00109300992522457,0,0,-0.00243593458088688,0.0974216762482308,0,0,0,0.0349404602671806
SPX.Index,0,0,-0.00298013168663734,0.00890567324167233,0,0,0,0.00219726606458311,0,0,0,0,0,0,0,0,0,0
VIX.Index,0.256901586967374,0.448863994105645,0,-0.565491388704067,-0.607653284418788,-0.227409621657408,0.311907784496848,-0.000182843900210368,-0.0716937544268037,-0.0564024004874829,-0.320747594168575,0.045482559058556,0,-0.809378534638262,0.532872009148344,6.55248662574501,0,0
