,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0396848822103336,0.133015276426196,0.0552047122438947,0.00340018572349317,0,0.0640549119787212,0,0,0,0,0,0,0
XRP,0,0,0,0.0738555429465617,0.380539700136736,0,0.136593775769705,0,0,0,0.403716247605889,0,0,0
LTC,0,-0.0566628690665177,0,0.0503709254319166,0.0723383735275252,0,0,0,0,0,0,0,0,0.0818623374076104
DOGE,0,0.12547892124494,0,0,0.110126768303363,0.319080322868164,-0.0171274852903803,0.535331859754607,0,0,0,0,0,0
XLM,2.32407119833028,0.656460638214294,0.145085299319568,-0.272132383757245,0,0,0,0.475526812315818,0,-0.814298993396653,-0.480507618791625,0,0,0.100515766816432
DASH,0,0.208757902559356,0.145619554264864,0,0,0,0,0,0,0,0,0,0,-0.0446090057249294
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.390994989160078
XEM,0,0,0,0.368055650575859,0,0,0,0,0,0,0,0,0,0.087802237097353
DGB,0,0,0.115581739528588,0,0,0,0.152888049685633,0.21996264877183,0,1.22628367189226,-0.0524471468650063,0,0,0
BV010082.Index,0,0,0,0,0.056749133025815,-0.075152555671201,-0.0423359475501857,0,0,0,0,0,0,0.0609320175213626
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150878784775063
DXY.Curncy,0,0.0432821175135095,0.00764794207234005,-0.0147752744500935,0,-0.0321489847051362,0,0.0490863904899787,0,0,0.0896637589889466,0,0,0.0241187050861888
SPX.Index,0,0.0169041832544229,-0.0131172565251698,0.00233179467624336,0,-0.000757880395626113,0,0.0159109682805211,0,0,0,0,0,-0.0782509275288639
VIX.Index,0,0.155377336028108,-0.2002493356102,0.046163423182057,-0.105695031585835,0.0483616697032627,-0.076478230496706,0.364290818495816,0.179003371310869,0,0.06784951972358,0,-6.82982291067963,0
