,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.359150177876971,-0.110827968990627,-0.0467452614827592,0.0226792166326181,0.0743414640316581,0,-0.0464910732227984,0,0.321882982881627,0.205335614223513,-0.0302167023298745,0,0,0,0,0,0.038020741579827
ETH,0,0,0,0.170212635397797,0.406939259074,0,0,0,0.0934690719358856,0.12144942893062,0,0.237177280585362,0,0,0,0,0,0,0,-0.0690236602822799
XRP,0,0,0,0.311466164180444,0,0.0576599434302852,0.162767051009758,0.169007996721797,0.0079839124932032,0.189405625653335,0,0,0.0603579034416635,-0.0340859766322449,0,0,0,0,0,0
BCH,0.0741736259049496,0.817192473302368,0.0167832078055952,0,0,0,0.02057086139727,0.0431041317379979,-0.205303252259715,0,0.296706222315308,0,0,0.0464528914965592,0,0,0,0,0,0
LTC,0,0.434334833659411,0,0,0,0.139907432566108,0,0.0471568366154193,0,0,0.186362072347978,0,0,0,0,0,0,0,0,0
ADA,0,0,0.404571003181959,-0.373662707606731,0.0780628304232758,0,0,0.27359106599909,0.218357427026162,0.0282047457289249,0,0,0,-0.113983677082252,0.347771104167647,-1.44415818921107,0,0,0,0.0457666451094053
EOS,0,0,0.386756845576712,0,0,-0.0573507772916132,0,-0.356369693743072,0,0,0,0,0,0.412673655486725,0,0,0,0,0,0.141425271210246
XLM,0.275480733008561,0,0.224498704494613,0,0,0.162889678995181,0,0,0,0,0.36388710523581,0,0,-0.00906694660569048,0,0,0,0,0,-0.107325808663956
MIOTA,0,0.161023627783882,0.193766858757151,0,0,0.175492652838464,6.93889390390723e-18,-0.124810302413281,0,0.116514540543613,0.429554316169955,0,0,0.0461807489505555,0.108932348928026,0,0,0,0,-0.166876543821857
NEO,0,0,0,0,0,0,0.0690419505559156,0,0.331152525259821,0,0.0377152929640439,0,0.0970458706982849,0,0.483000306082349,0,0,0,0,0.0810307574980578
XEM,-0.33536919596534,0.34243661742427,0,0.104325741870837,0,0,-0.108822310886324,0.559884661833339,0.0229330747921795,0.0645839711836526,0,-0.565624903033466,0,0.091716955579991,0.782187892068761,0,0,0,0,0
XMR,0.558793038679202,0,0.0383220517570917,0.0342476308741468,0.181339022398219,0.0380439488302066,0,0,0.137004320364191,0,0,0,0,0,0,0,0,0,0,0.0177863456802786
DASH,0.286101879295983,0,0,0,0,0,0.0116037631269328,0.0187916896262514,0.219627776511279,-1.73472347597681e-18,0.231577982501591,0,0,0,0,0,0,0,0,0.226650790640851
TRX,0,0,0,0,0,0,0,0,0.583868040703364,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0699170205322759,0.0394665226674922,0.148295739581941,0,0.212278670590996,0.0601452816399796,0,0.217351866900929,0.0805393618009339,0.0132261013806495,0,0,0,0,0,0.000994389322517079
BV010082.Index,0,-0.0281621669166043,0.141376845155088,0,-0.105044708658316,0.0149286638231949,0.0179092745928144,0,0.00453193949112047,-0.00190929225374607,0,-0.147975407306623,0.107671811852625,-0.0408767299313487,0,0,0,0,0,-0.0501371770395797
CVIX.Index,0,-0.0633024312033364,0,-0.09143960028427,-0.0603941948709824,0.0572466874557691,-0.0160017559937655,-0.00393028881235072,0,0.00176599567924663,0.0385186771881645,0,0.134701972508959,-0.024141799668117,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.0747889438442603,0,0.0144358708142305,-0.00418162790633904,-0.0149561754020461,0,0,0.0246611874873385,0,0.0294734134138566,0.00418897700446937,0,0,0,0,0,0
SPX.Index,0,0,0.0247554608544147,0,0,0.0233693965101618,0.026084939369308,0,-0.0633505718601651,0.0211595313271471,0,-0.0332607506359928,0.0199416834883854,-0.0115162844155871,0,0,0,0,0,-0.134060772702668
VIX.Index,0,-0.0486182703539191,-0.0787819559430019,0,0,0.274088088160676,0.0310447080846631,0,-0.788829606293338,0.376052287398147,0,0.135293297550214,0.356068444570014,0.0542133113984523,0,0,0,0,-3.91792595023804,0
