,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.00528252129622185,0.415202949661511,0.0274384907766899,0.11418371382308,0,0,0,0,0.0454475913169204,0.116523309309486,0,0,0,0,0
ETH,0,0,0,0,0,0.124105156608005,0.229354130113251,0,0.109994674659624,0.133100484209221,6.93889390390723e-18,0,-0.0196880466159883,0,0.24945524328718,0,0,0,0,0
XRP,0,0.157836843224695,0,0,0.244034033301662,0,0.0520746130194544,0.016453275483764,-0.112942014485117,0.147742983640449,0,0,-0.00440113742927855,0.0185845798549428,0.0487922346731479,0,0,0,0,0
BCH,0,0,-0.325234156482444,0,0,-0.288931207018236,0.490481864331327,0.120774050106104,0.396845809014738,0.620018878659613,0.366843086107455,0.0983301188492631,0,-0.28763971266474,-0.498441029484804,0,0,0,0,0.438059575985662
LTC,0,0,0,0,0,0.111115918112618,0.232627193993081,0.110194474076315,0,0,0.563994786114308,0,-0.00926371516249897,0,0,0,0,0,0,0
DASH,0,0,0,0,0.182357366791307,0,0.257407754046776,0,0,0,2.77555756156289e-17,0,0,0.228651111728516,0,0,0,0,0,0
XEM,0,0,0,0.129221870800563,0,0.189435712764807,0,0.0292499577750323,0,0,0.461212287950742,0.085377049691594,0,0.0492615443913746,0,0,0,0,0,0
NEO,0,0,0.150275086910631,1.73472347597681e-18,0,0,0.189971546160422,0,-0.23670386168873,0.217668154106485,0,0,0,0,0.369633414725935,0,0,0,0,0
MIOTA,0,0,-0.420065239433719,0.259124218748602,0,0,0,0.0388321500050149,0,0,0,-0.329812219957985,0.414464675441844,0.0491989585676821,0.633332861402378,0,0,0,0,-0.197969515553719
XMR,0,0.100270941787731,0.13856474137175,0,0.215654227633414,0,1.73472347597681e-18,0.0930321925256552,0,0,0.267452969448776,0.119541254332657,0,-0.129854100295862,0,0,0,0,0,0
ETC,0,0,0,0.138938988802023,0.794166042165835,0,0,-0.133507589646355,0,0,0,0,0,-0.103900225101203,0.262971769367647,0,0,0,0,0
ZEC,0,0,0,0.111710411532988,0,0,0,0,-0.0785168512264646,0.444995530295219,6.93889390390723e-18,0,0.306737809024209,0,0,0,0,0,0,0.195494373609807
EOS,0,0.210941077999079,0,0.0228563059429255,-0.367471505401036,0,0,-0.229644149066988,0.681465941581873,-0.0927058340638183,0,1.20022359690249,0,0.312239358155081,-0.550247241462948,0,0,0,0,0
BAT,0,-0.0103638729967159,0.304515824612726,-0.764763686465459,0,0.303000942019833,0.212197537966215,0.273827491801465,0,0.800551690822296,0,-0.213233363856179,0.275208098625337,0,0,0,1.45972715057455,0,0,0
XLM,0,0.603284935265813,0,-0.221332228672159,0,-0.234010481056925,0,0.148491642877938,0.249307693843707,0,0.370880596831814,0,-0.0752458931211517,0.114090290433633,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.00523725564447025,0,0,0,-0.0106031767622818,0,0,0,0,-0.0822094917175738
CVIX.Index,0,0.0566955615288566,0,0.0808251894302573,-0.193437878232401,-0.0485590990582193,0.0215964636619453,-0.102141467425229,0.0184316834094492,0,-0.0665151128247409,0.00751112103633725,-0.113459562518153,0.155124740921692,0.100916684569371,0,0,0,0,0.139382901529265
DXY.Curncy,0,0,0,0,0,-0.0288745095123013,-0.00095255351858328,-0.00164223326304421,0,0,-0.000893167789173696,0,0.0163813881082243,0,0,0.0741138774430457,0.0173826280814922,0,0,0.0265816974843153
SPX.Index,0,0,-0.00614083342495349,0.00894233605984118,-0.019036614871055,-0.00308139986409199,-0.00577305631631396,0.00654752284791223,0,0,0.0171023524610884,-0.0125350758854124,0.0115012976931141,0,0,0,0,0,0,-0.0449403009525239
VIX.Index,0,0,0,0.0650383088909424,0.212559112508315,-0.196769513714969,0,0,-0.352980756335158,0,0,0.0591113399772411,0.0901138951757976,0.0727210079694064,0,-1.21952177486149,0.443545970522676,0,0,0
