,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,XEM,NEO,XMR,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.322566963557744,0,-0.0078140149333873,0.000936733032894831,0,-0.148399077879981,0,-0.0456545914626249,-0.00902253042187406,0,0,0,0,0.0295862296969901
ETH,0,0,-0.0330472607406289,0,0.166000251213166,0,0.0916131206776023,0.232990143516622,-0.0664276525692542,0.00458724653765605,0,0,0,0,0.0970903754725175,0,0,0,0,0.0412411724091297
BCH,0,0,0,0,0,0,0,0,-0.129655108984954,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0799269046045353,0,0.255469729485558,0,0.211780239354916,-0.286611254049322,0.128551120234384,-0.0938571451125448,0,0,0,0.710824818218694,0,0,0,0,0,0
LTC,0,0,0.0496939990213303,0,0,-0.314886008789927,0.0451787374801367,0,0,0,0.571601108402218,0.224340207603137,0,0,-0.0483582077963935,0,0,0,0,0.0157718886014554
DASH,0,0,0.0796348561529387,0,-0.368807799178586,0,0.0337668971323834,0.128579058997669,0,0,0,0.346905433197856,0,0,0,0,0,0,0,-0.056171562452112
MIOTA,1.05319937529099,0,-0.119967779406796,0,0,0,0,0,0,0,0,0.326117225481256,0,0,0.255778560441231,0,0,0,0,0.0222704273671828
XEM,0,0,0.0114225964640983,-0.318782175535209,0,0.743463059140989,-0.0597200446002226,0,0.162586544620757,-0.213813828843668,0,-0.624118450671878,0.857840626305492,1.02532329094236,-0.179936137593644,0,0,0,0,0.235618365257126
NEO,0,0,-0.227679355639191,0,0,0,0,0,0,-0.0463390729051029,0,0,0,-0.723500013089923,-0.117685594403462,0,0,0,0,-0.0293332729026451
XMR,0,0,0,0.240362912467614,0,0,0,0,0,0,0,0.137683949218807,0,0,-0.0119723364415353,0,0,0,0,0
ETC,0,0.167885148763583,-0.0253226754092947,0,0.26274015770185,0,-0.0135996795029378,0.0819245036112774,-0.0132191351848925,0,0,0,0,0.086267624056147,0.034144381785702,0,0,0,0,-0.007588891427133
ZEC,-0.403160563541312,0,0.0177456937758205,-0.253078665888535,0.115249942941536,0.489638455234684,0.114292827059895,0,0,0.258082833766581,0,0,0.0629321492620304,0,-0.0652052003889426,0,0,0,0,0.00929841043282443
EOS,0,0,0.0225390578878641,0.11405327888244,-0.0412716255116556,-0.437722631764534,0.0814502015279533,0.382253407605193,-8.67361737988404e-19,0.0674310797351206,0,0.450496747437476,0,-0.234118309814101,0.155473869374179,0,-0.212228412722446,0,0,-0.117298571707037
XLM,0,0.361269403485795,0,0.412983867202574,-0.260782646427049,-0.0394472913737102,-0.109015009439666,0.123347633645062,-0.126432722727741,0.104129490889121,0,0,-0.00364657306659135,0,0,0,0,0,0,-0.0194986302729703
BAT,0,0,0,0,0,0,0,0.114690543537351,0,0,0,0.10111196031801,0.519604160900709,0,0,0,0,0,0,-0.113665619468822
BV010082.Index,0,0,-0.00617848492203793,-0.0498579817294906,0.0460911084531293,0,0,0,-0.0123530226181807,0.038796208144314,0,0.0131663727187181,0.0916361311046316,0,0,0,0,0,0,0.00676537198540743
CVIX.Index,0,0,2.16840434497101e-19,0,0,0.0322231955524804,0,0,0.0146797001334247,0.00931245311952759,0,-0.117152726822024,0,0,0.0436444703043229,0,0,0,0,0.0562138573257596
DXY.Curncy,-0.0337505581724566,-0.0176510864295844,0,0,0.000568766119084121,-0.0211219780498878,0.00565902072052957,0,0.00334608506567284,0.00145198318858493,0,0,0.0349376447594854,0,-0.0092409295266275,0,0,0,0,0.00478445203283419
SPX.Index,0,0,-0.00868611106555786,0.0040649824865611,0,-0.00540621161290545,0,0,0,-0.00528342959830941,0,0,0,0,0,0,0,0,0,-0.0416123001429382
VIX.Index,0,0,0,0,0,-0.24308754592379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
