,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.147308469883656,0.141429009775623,0,0.130340034106865,0,0.03693748143254,0.102736191484975,0,0,-0.0148737274096937,0,0,0.155045550611839,0,0,0,0,0
ETH,0.073877637144595,0,0,-0.0299451240886894,0,0.114883306169362,0.286900971487349,0.0224220538125695,0,0,0.268793193696806,-8.67361737988404e-19,0.26165301037752,0,0.056679278391912,0,0,0,0,0.0973806814688641
XRP,0,-1.03193646452307,0,-0.28300168011449,0,0.255731553616047,0.556983061992236,0.065385301764148,0,0.0531523229445495,1.07706533879244,-0.0227792885966775,0.705333851657021,0.247837458820135,-0.137621625683016,0.853257505143815,-0.252725345895851,0,0,0
LTC,0,6.93889390390723e-18,0,0,0,0.453840340428798,-0.0913323834532739,-0.0675508955070729,0,0.0535071290626986,0,0.0822008388399132,0,0.302455234589339,0,0,0,0,0,0
XEM,0,0,0,0.143587850151315,0,0.170611346366599,0.28250355232279,0,0,0.108196068166511,0,0,0,0,0.00759835209992764,0,0,0,0,0
ETC,0,0.168005595024334,0,0.187168704434967,0,0,0,0,0.0625847567775247,0,0,0,0,0,0.142618732465329,0,0,0,0,0
DASH,-0.165186025456505,0.412176473887576,-0.0261994319293779,0,0,0.27148148624238,0,0,0.296508564256808,-0.0182166810149184,0,0.0317030492569864,-0.34174702813881,0,0.333974363234687,0,0,0,0,-0.239985117043217
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0.0431648473980316,0,0,0.256421612869563,0,0,0,0,0
XMR,0.21289566452285,0.237469366827104,-0.13125711264581,0.0710180089268105,0,0.116015976689256,0,0,0,0,0,-0.0310821852915512,0,0.240413077775728,0.125649478926775,0,0,0,0,0.0789705072953749
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.219198016816486,0.14786303072955,0,0,-0.0557226600620805,0,0,0,-0.0271281665952269,0,0,0,0.375080644736645,0,0,0,0,0,0
NEO,0,0,0,0.793693952253568,-1.9800856768571,0,3.17449684143339,-0.150841577478507,0,0.0740136665478396,0,0,0,0,0.0270798376114696,0,0,0,0,-1.18933250954106
DOGE,0,0,0.285976699088526,0.253251785635101,-0.0996606194569339,0,-0.289760637612803,0,-0.0753214318241231,-0.0578433604446962,-0.15999109819056,-0.0439767091024013,0,0,0.465390474019698,0,0,0,0,0.00870529648509893
XLM,0,0,0.286852117649009,0.284605053259224,0.102666924880622,0,0,0,0,0.0557677209444334,0.156944527620652,0,0,0,0.0874750239813871,0,0,0,0,0
DGB,0.779870758480693,0,0,-0.205816665188925,0,-0.290910189147065,0.604549119162556,0,0.268876416012782,0.0785303302619142,0,0.0303389661941704,0.598811459336163,0,0,0,0,0,0,0
BV010082.Index,0.0356463002000221,0.0508130364072235,0.110994087377749,0.0607849909746683,0.0631193880318701,-0.132154331042929,0,0.0172823912921315,0.0420170081091852,0.00207965352808847,0,-0.0128094597628232,0.0565892717858383,-0.126195217224751,-0.0871813832181855,0,0,0,0,0.121282561133317
CVIX.Index,0,0,0,-0.0220031125196703,0,-1.05879118406788e-22,-0.0250654098439342,0,0,0.00494286509477103,0,0.00671760878755385,0,0,0,0,0,0,0,0
DXY.Curncy,0.0437673904856997,-0.0184370192270931,0.044788363887152,0.0126343673420567,-0.0340040456674549,0,-0.00692930011357999,-0.00631994344532532,0,5.42101086242752e-20,0.000569916949971945,-0.00237196059126846,-0.046149130218487,-0.0301036672708916,0.042385433543641,0,-0.0442174435281195,0,0,-0.0185189563013223
SPX.Index,0,0,0,0,0,-0.00442180104017822,0,0,0,0.00146723957509389,0,0,0,-0.001742318401517,0,0,0,0,0,-0.0559981249564445
VIX.Index,0,0.721476714255938,0,0,-0.084426834847618,-0.174805510186558,0,-0.158047376919924,0.033614221597777,-0.0188567651420468,-0.611230300494815,0.0123196040247105,0,0.379518968275391,0.0439415077366107,2.19378845206613,0,0,0,0
