,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DOGE,DGB,XLM,ZEC,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0241024237195718,-0.189959482399797,0.170219294887981,0.215989871328595,0.0615802867866477,0.0368626226042448,0.0237978142329872,0.0505374576835066,0,0.0269718593919736,0,0,0,0,0,0
ETH,0,0,-0.104638422491286,0,0.103782680066373,-0.00986694686570642,0.227414013976576,-2.16840434497101e-19,0.0832525771588359,0.0329674059138469,0,0.121109496518278,0.183738149634735,0,0,0,0,0,0.126742997046121
XRP,0,-0.491231195136924,0,0,0,0,0,-0.200143128781611,-0.275495210043338,0.050738201401452,1.16097873081358,0.28237998449566,0.0326927693593621,-0.00793518991343584,0,0,0,0,0.19266180503284
XEM,0,0,0.243229476007008,0,-0.062880805713604,0.296062042154768,0,0,0.339193607475387,-0.0850028404992856,0.0652473444087599,0,0,0.0420940118998171,0,0,0,0,0.395503121635619
ETC,0,0.199932109528137,-0.421330948862781,0.163253826643825,0,0.00946563902016896,0,0.185838405136289,-0.322873112505532,-0.0278939989704241,0.0526127732085706,0,0.0825679244321473,0.406461787814988,0,0,0,0,0
LTC,0,-0.0485162553720156,0,0.0778092681839009,0,0,0,0.320573301747569,0,-0.0475965431230329,0,-0.128825638505129,0,0.20139493741643,0,0,0,0,0.0761484891953564
DASH,0.2004776278971,0.290534130563344,0,0,0,-0.0511060716784878,0,0.284974693047562,-0.0714931638417927,0,0.0769230639901884,0.274602009625596,0,0.0895035323342718,0,0,0,0,0.194307530595618
XMR,0,0,0,0.235727307255501,-0.162404391794434,0.088873009185536,0.374357753639209,0,0,-0.0023902228343131,0.188937180509258,0.0933209166074516,0,-0.156025012647962,0,0,0,0,0
DOGE,0,0,0,0.2623945795763,0,0,0,0.0640876435397849,0,0,0,0.125841396767953,0,0.105655903480325,0,0,0,0,0
DGB,0,0,0,-0.266230744635992,0,0,0,0,0,0,0.595599690878557,0,0,-0.125493358492695,0,0,0,0,0
XLM,0,0.285077706847504,0.827017861181538,0.413644963896284,0.551643731339601,-0.102918458487067,0.0569488548689409,0.13080818735887,0,0.0371674343643515,0,-0.276860247748651,0.0114708369046243,-0.24348000711548,0,-1.14892650567717,0,0,-0.424523509850845
ZEC,0,0.332110477526558,0,0,0.00529687867895401,0.274985728144964,0,0.132259034560425,0.0614816637699074,0,0,0,0.0446191506530362,0,0,0,0,0,-0.103071880026346
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.138793272979105,0.686706898581446,0,0,0,0.105357586262128,0,0.258067549331792,0,0,0,0,0,0,0
BV010082.Index,0,0,0.00559031805079369,-0.0235804053462207,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0309317532768208,0,0,0,0,-0.0432134902976526
CVIX.Index,0,0.056034141697974,0,0.0858235435865246,0,0.0136909194341536,-0.0355543124089796,0,-0.0330488524040742,0.0325726450588426,-0.0568970856346037,0,0.00144944448692153,0.023448392366803,0,0,0,0,0.0914594049148374
DXY.Curncy,0,0.00328954537459159,0,-0.00354837484043088,0.0226261442068918,0,0.00415497062352441,-0.0106368179817241,-0.0109239644397233,-0.0030351250308973,0.012092382711904,0.00752995068117515,-0.000824823444408075,-0.00909955909228961,0,0,0,0,-0.00530565919504311
SPX.Index,0,0,0,-0.00515913665781621,0,0,0,0,0,0.000714254095690407,0,0,0,0.00195767817934476,0,0,0,0,-0.0337542233777731
VIX.Index,0,0.405701138190094,0.871817048554531,0.647294590736011,0.589229386173561,0.0641583468276746,0,-0.11819854025117,-0.183064447973764,-0.0219941142920754,-0.727036385913429,-0.178680548946696,-0.0657469814511982,-0.376699616768065,0,0,0,0,0
