,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.099861096065265,0,0,0.222783546693077,0.237292764386422,0,0.0875283801708257,0.110279388593796,0,0,0,-0.231279268769455,0,0,0,0,0,0,0
ETH,0,0,0.144937345490423,0,0,0,0.276723361056806,0.140463820856977,0,0.0362615256592046,0,0,0,0.268924555561084,0.129900229514006,0,0,0,0,0
XRP,0,0.374372994890115,0,-0.227291455358916,0.263165940767728,0.185186005507843,0.204962250170099,0.0407449180321563,0,-0.163088130065305,-0.122755075990688,0,0.106199349292104,0.14151079451902,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.242762670778288,0.137036960175982,0,0,0.0376093781032693,0,0,0,0,0,0,0,0,0
XEM,0.401913418116944,0,0.74451968088735,0.514242251898425,0,-0.0774118690251784,0,0,0.275615302317293,0,0.126836496999857,-0.252692624426825,0.255145721037673,-0.341106495602298,0,0,0,0,0,0.400477903421873
DASH,0.622105144277924,0,0,0,8.67361737988404e-19,0,0.155468492861537,0.057461777328147,0.191575830905589,0,0,0,0,0,0.0388031808793169,0,0,0,0,0
ETC,0,0.273709471139969,0,0.241142692031918,0,0.131220219325783,0,0,0,0.106076841076566,0,0,0,0,0,0,0,0,0,0
MIOTA,0.278490372706409,0,0,0.590027947226393,0,0.168157222669571,0,0,0,-0.294961141189655,0.144149211986229,1.11653287662989,-6.93889390390723e-18,-0.250804912782133,0.221510684743515,0,0,0,0,0
XMR,0,0,0,0,0.290647287862706,0.119455555856083,0,0,0,0,0.153850008231093,0,0,0.234293532913845,0,0,0,0,0,0
EOS,0,0.770374266988564,0,-0.53378333053048,0.115930876829018,0,0.358940295808254,0,0,0,0.0806900532348583,0,0.212448297458124,0,0.117710257448314,0,0,0,0,0
NEO,0,0,0,0,0,0.505215389430412,0,0.136520552728391,-0.251485639188224,0.110528872873319,0,0.469890583515592,0,0.0236224519143825,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0.0160893389919563,0,0.0772787879739111,0.373231123946328,0,0,0.302236303014463,0.0853836822519489,0,0,0,0,0
XLM,-0.545781839397078,-0.198469103124134,0,0.115543263356037,0.413201603544727,0.357328840676346,0,0,0,0.204524893697615,0,0,0,0.308822501346105,0.21615764872956,0,0,0,0,-0.528354613900245
DOGE,0,0,0.359095228814058,0.0860221204632947,0.0675413515368498,0.416697057957157,0,0,0.0396291119020669,-0.0325537838167888,0,0,0.152426582964816,0,0,0,0,0,0,0
DGB,0,0,0,0,0.0763665609590844,0,0,0.083524239593222,0,0.352133386171501,0,0,0.220829379759222,0.0915527705226241,0,0,0,0,0,0
BV010082.Index,0,0,-0.0617503674435792,0.0454412090606206,0.0536139149671157,0.0276359918860514,-0.0143758197656113,-0.00600704718548082,0,-0.0455564484584759,-0.0830837377029787,0.117670135108647,0,0.0332745265061524,0,0,0.0179645454728042,0,0,0
CVIX.Index,0,0,0,-0.036801034240585,-0.0361814277686385,0.0852217556920039,0,0,0,0.0361409706628801,0,0.0717212886656347,0,0.0189688472857225,-0.084562250585933,0,0,0,0,0.0626047760312733
DXY.Curncy,0.0130095794458907,0.0082279676170837,0,0.0115166955431142,-0.0139213395064986,0.00945147382325275,0.00226495370651032,0.0110975991929317,0.0179911453119514,-0.0160955249400815,-0.0274487305745473,0.0101352795078621,-0.00919005124452361,0,0.00841765496801867,0,0,0,0,-0.0192891448918774
SPX.Index,0.0188526366805713,0,0,0,-0.00942841644480683,0.000554903354538934,-0.0026765323697476,0.0019428372358359,0.00461768246690633,0,-0.0122081429841749,0.00495644320465133,0.00284101296144309,0,0,0,0,0,0,-0.0627185734063038
VIX.Index,0,0,0,0,0,0,0,0.034210005304055,0,0.0331573355321046,0,0,-0.116635645938721,0,0.0491883809091781,0,0,0,0,0
