,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.248350999346317,0,0,0,0,0.337899686363851,0,0,0,0.0396224795559729,0,0.0654163061234068,0,0.0305411239980372,0,0,0,0,0
ETH,0,0,0,0,0.0819456012169417,0,0,0.0362961487997955,0.149562534831105,0.142409106228473,0,0.13809280581792,0.0795704638448092,0.0370027651232048,0.194894941933263,0,0,0,0,0.0182784338287195
BCH,0,0,0,0,0,0.22039097413628,0.426856209360685,0,0,0,0.193170322332618,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.109660739353435,0.195045077927299,0.0679860991307931,3.46944695195361e-18,0.142261463306712,0,0.00512500972749756,0,0,0.0369955443306765,0.0501976884579009,0,0,0,0,0
DASH,0,0,0.388412360733204,0,0,0,0.272305734627217,-0.146049359127584,0,0,-0.202469804529016,0,0.457826845754319,0.157978116756841,-0.126620649164364,0,0,0,0,0
LTC,0,0,0.065249003980568,0,0,0,0.0862471940651657,0,0,0.66975092289415,0.0258401699455811,0,0.166542751338825,0,0,0,0,0,0,0
XEM,0.298387762311814,0,0.120547351047605,0,0.391417855634908,0,0,0,0.332017788194471,0.0848818913548265,0,0,0.000223531181390728,0,0,0,0,0,0,0
MIOTA,0,0,0.145835623261352,0,-0.0250927904690305,0,-0.229577095203515,0,0,0.354794418876172,-0.473289869756506,0,0.150336847347518,0.547580689378092,0.775106932366307,0,0,0,0,0
XMR,0,0,0,0,0,0.0848161489841739,0.574550105882154,0,0,0,0.0499614026251352,0,0,0.148421779060881,0,0,0,0,0,0
ETC,0,0,0,0,0,1.2224316934454,0,0,-0.0842883332883194,0,-0.0270145620440991,0,-0.11472894541433,-0.0397658070275623,0,0,0,0,0,0
NEO,0,0,0.249146034920031,0,0,0,-0.325192849905935,-0.871055869126526,0.0965109517482667,-0.0322410538735829,0,0.508063328690506,0.482167295613385,0.405767454183904,1.03097397211399,0,0.122804870533194,0,0,-0.328625676684861
ZEC,0,-1.38777878078145e-17,0,0,0,0,0.351274531516627,0,0.154748533682163,0.00674795109174719,0.0518340739870521,0,-0.105231318536547,0.280130586154445,0,0,0,0,0,0.289479535004424
BAT,0,0,-0.448307088665834,0,0.565853178719423,0.310979754851816,0,0.59786855611105,0,0,0.541287239406896,-0.821006062852891,0,0,0,0,0,0,0,0.22976153724358
EOS,0,0,0,0,0,0,0,0.439233638481536,0,-0.21929391781031,0.296953026964955,0.770716156870061,0,0,-0.0236305199313452,0,0,0,0,0
XLM,0,0,0,0,0,0.528687556263736,0,0.22063062593984,0.13886754575576,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0706316863319313
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122034883675069
CVIX.Index,0,0.0684525678514154,0.0441257955758422,0,0,0,0,0,0.03660146795735,-0.065734419108859,0.0664385440026271,-0.237036685391843,0,0,0,0,0,0,0,0.165748800686254
DXY.Curncy,0,0.0128109868334822,0.00277086257013778,0,-0.0154265916533699,0,0,0.000741670030431107,-0.0247514077753685,0,0,0,-0.0181107808689618,0.0210434240116072,0,0.148836974410358,0,0,0,0
SPX.Index,0,0,0.008585060396642,0,-0.0113644732057191,0,0,0,0,0,0.00264293940983465,-0.00663912141799455,0,0,0.000753277000630256,0,0,0,0,-0.0398846520212209
VIX.Index,0,0,0,0,0,0,0,0.0231959240599091,0,0,-0.0932524362216967,0,0,0,0.0749139125414732,0,0,0,0,0
