,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,BTG,XMR,EOS,NEO,XLM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,-0.0325500286051353,0,0,0,0,0.258958513992234,0,0,0,0,0,0
ETH,0,0,0,0.00624712333322233,0.308831909870563,-0.0152188907037022,0,0.0823318548447033,-0.0367930220528568,0,0,0.158600013803826,0.175181838007671,-0.0836305717930563,0.18905996735298,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,1.10396012982009,0.213587823120195,0.0101975674167978,0,-0.10480192430448,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.139149845663266,0,0,0,0,0,0,0,0,0,0,0
LTC,0.122076809575702,0.965574240060772,0,-0.134378771845514,0,-0.0301156463796874,-0.149721359512328,0,0.234580848246071,0,-0.37715791000109,-0.106568395218473,0.101588584360798,0.407116183341114,0,0,0,0,0,0
MIOTA,0,0,0.543777265437391,-0.0361553591464805,0,0,-0.303682083718613,0,0.196570032361223,-0.826926227298013,0,-0.171662679909789,0,0.690898185845601,0.193565664065813,0,0,0,0,-0.166346282605656
ADA,0,0,0,0.135745451151325,0.106444166304384,0,0,0,0.105590184063596,0,0,0.142214167449876,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.212718762458456,0,0.129712291074592,0,0,0.194411956206961,0.210734304272737,-0.0303089760773787,0.0203175295249444,-0.0645138964545281,0.0654761441666982,0,0,0,0,0
XEM,0,0,0.200472261754235,0.0106152032382088,0,0.160507169392593,0.254924531069099,0,0,0,0,0.178901506982945,0,0,0,0,0,0,0,0
BTG,-0.0211435530754493,0,0.503070932851336,0.0386925277963857,0,0,0.0564406604686189,0.188847420897169,0.0215931612767553,0,-0.115209296792344,0.0224649918169717,0.00137531398185992,0.0613030349340599,0,0,0,0,0,0.271991577987644
XMR,0.322452349722461,0,0.140031361410954,-0.014770268373702,0.0439847745888711,0,0,0.168081562068847,-0.00973421629898886,0,0,0.104923469140694,0.238610027816694,0.0822857899252079,0,0,0,0,0,0
EOS,0.173081360167338,0,0.4803174589378,0,0.233295514219677,0,0.0781037969716267,-0.190537744360607,0.0394942928436114,0,0,0,-0.260804361901299,0.467851060773434,0,0,0,0,0,0
NEO,0,0,0,0.0334644716739799,0.160934044109388,-0.0778682548214126,0.0376653324518293,0.440176169485956,0.0332290071115657,0,0,0,0,0,0,0,0,0,0,0
XLM,-0.0755533117473349,-0.420830327683341,-0.0498742389149926,0.0128235984594313,0.448132448644508,0.151837568669926,0.470100682019822,-0.526189530590119,-0.0162166848023857,0,0.955181700285705,0,0.0562206128200412,0,0,0,0,0,0,0.516797361160705
ETC,-0.0075559226562169,-3.46944695195361e-18,0.148106396913474,0.0631857206549704,0,0,0,0.121817535337996,0.118309727145538,0,0.140912910819225,0.000833897329314785,0,0,0,0,0,0,0,0
BV010082.Index,-0.0524826716572883,0,0,0,0,0.0094248513687406,-0.0595997707123112,0,0,0,0,0.00178738468547354,0,0.0460480460938754,0,0,0,0,0,0
CVIX.Index,0.023110963688321,0,0,0,-0.0273146543690604,0.00445597100499785,0,0,0.0175891543328977,0,0,-0.0123651211432931,0,0.0180368885368762,0,0,0,0,0,0
DXY.Curncy,0.00494989624029625,0,0,-0.00490070008088599,0.00285396560477379,0.000658983436344829,-0.00412009397803499,0,0.000863283817955395,-0.00435714897824937,0,-0.00221683270918047,0.00332315691939932,0,0,0,0,0,0,-0.0238464559375283
SPX.Index,-0.00621234709693515,0.0145316229498178,0.00097994578465359,-0.00260982024031787,0,0.00202574725342846,0.0111823065112124,0,-0.00245969358545143,0,0,0.00248539679433344,-0.00305402952117731,-0.0125163462526967,0,0,0,0,0,-0.0491699826401976
VIX.Index,0,0,0,0.056658371989583,-0.132742538165293,0,-0.143795845511646,0,-0.0402368281817081,0.165705771245599,0,0.0866464864200652,0.0923183522934987,0,0,0,0,0,0,0
