,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.170284348950694,0,0.295877090935707,-0.267937783337827,0,0.12499278110938,0,0,-0.113856906131553,0.189553807722695,0,0,-0.368783278972931,0,0,0,0,-0.186119812395722
ETH,0,0,-0.0121148040127579,0,0,0.102741047087003,0.0536870093504676,0.00732277575876528,0.0854769909604105,0,0.13007468059389,0.0763372759478358,0.0290420312227996,0.141256912037223,-4.33680868994202e-19,0,0,0,0,0
BCH,-1.6220190129882,0,0,-0.914227690922888,0,3.46944695195361e-18,0.2275253172493,1.00563318508693,0,-2.77555756156289e-17,0.260302860594749,0.470911643250441,-1.29842102080017,-0.131644646445996,-1.12525726734874,0,0,0,0,-0.874079592697006
XRP,0,0,-0.022028684723122,0,0.18353637795101,-0.0573496464877349,0.0891556724157003,0.0584914796182661,0,0,0.0208482296130593,0,0,0,0.0660145792836966,0,0,0,0,0.063328442883968
LTC,0.185454560032855,0,-4.33680868994202e-19,0.502289575744828,0,0,-0.0963885062807143,-0.0469670242479071,0.028783760844226,0.0999350168526797,0.0738778050380749,0.0108036017835154,0.191877063774441,0.0686631302442854,0,0,0,0,0,-0.0017865266125856
DASH,-0.684617388871083,0,0.00736280463161652,0,0,0,0,0,0,0,-0.168249671968106,0.0620237512961517,0.853668137693992,0,-0.242477715062968,0,0,0,0,0.0306509831111467
NEO,0,0,0,0,0,0,0,0,0.168550640221397,0,0,0.102121996193957,0,0.194287404566716,0.0316096070235795,0,0,0,0,0
MIOTA,0,0,0.24543666636611,0,0.0593749443666803,0,-0.103733018512236,0,0.334629803553986,0,0,0,0.274074988633232,0.165022786465997,0.367105803741748,0,0,0,0,0.268171147444287
XMR,0,0.230462168728785,-0.0536249016777663,0,0,0.206407516985176,0.235316144202328,0.0690539622042562,0,0.376099876467815,0,-8.67361737988404e-19,0,0.115378814550625,-0.15458574867169,0,0,0,0,-0.0860030328404738
XEM,0,0.67616089821434,-0.047242672145308,0,0,0,0,0.0997858592533024,0.0488667291116288,0,0.0135034388290511,-0.115203646598505,0,0.0202678673464909,0.150313334760194,0,0,0,0,-0.246001374157081
ETC,-0.713199440406042,0.866276604932753,0.0888167630166421,0.500613038681326,0.0741100404131143,-0.582012666979576,0.000771182481474786,0.248123984459968,0.0806443466600575,-0.491050130248559,0,0,0,0,0,0,0,0,0,0.0279963961068877
EOS,1.14496695270611,0.945268432681065,0.320735439225103,0,0,0.347641828936322,0.278943938025059,-0.208501243820621,0,0,0,0,0,0,0.529640048420092,0,0,0,0,0.511216526287475
ZEC,0,0,-0.136774862346619,0,0,0.366842790565768,0,0.146210305951908,0,-0.0232662258710396,0,0.0161555555134201,0,0,0.0810082341313448,0,0,0,0,-0.161900041474005
ADA,0,2.00275885784234,0.0221543731863013,-0.049429815557433,0,-0.127100472794479,0.144810489597785,0.196806756745765,-0.306979228256779,0.135624821705894,-0.240727095133193,-0.45879717629826,0,0,0.471457461673315,0,-0.832466836048924,0,0,0.544052074216534
XLM,0,0,0,0,0.354192288156211,-0.13454319139445,-0.00616772156882556,0.182500716390692,0,0.791513045811968,-0.108636196203002,0.253375243286208,0,0,0,0,0,0,0,-0.190505210813424
BV010082.Index,0,0,0,0,0,0,0,0.0204492817101771,0,0,0,0,0,0,0.00681046508889989,0,0,0,0,0
CVIX.Index,-0.156347202221282,0,-0.0771240099414917,0,-0.169728213470686,0,-0.00720395518699359,0.0841823254540115,-0.101641753707814,0.0662730379974217,0.0401278401931191,0,0,0,0,0,0,0,0,0.0468578570143401
DXY.Curncy,0,0,0,0,0,0,0,-0.0182745010367069,0.0133047499058408,0.0080605265599522,0,0.00326862003887134,0,-5.42101086242752e-20,0.00517783766136986,0,0,0,0,0
SPX.Index,0,0,0.00464882721962807,0,0,0,0,-0.00399496242154579,0.00720416765378817,0,0,0.00319690396610679,0,0,0.0104787547959706,0,0,0,0,-0.0224672569752021
VIX.Index,-0.74458237939267,-0.958159718514725,-0.190075899067697,0,0.727043796824341,0,-0.0462497218745583,0.137982172835786,0,-0.156302677041365,0.130257149249148,0.226193142899319,-0.174463508716252,0.114587867515149,-0.33331420647357,0,1.38103643321286,0,0,0
