,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.240548416056428,-0.0305292024452887,0,0,0.512499583506251,0.111767745914273,-0.114883256949993,0.0314238572389557,-0.138820590670759,0,0.0285416856477909,0.0248862347466514,0.108240170042299,0,0,0,0,0.0152301150186353
ETH,0,0,0,0,0,0.138778584571947,0.212792049741882,0.134539118701857,0.150249950162503,-0.0107189671674259,0,0,-0.022569679005233,0,0.233466140125274,0,0,0,0,0
XRP,0,0.145756764095211,0,-0.0047860997345019,0.264466319245729,0,0.07356180158525,-0.131132497657019,0.122488516839211,0.0141732847911542,0,0,0,0.0169412212002645,0.0513198498446928,0,0,0,0,0
BCH,0,0.758021983512211,0,0,0,-0.223676632120468,0.228307415208707,0,0.340314536167297,0.329917459172476,0.269090162953118,-0.335078094597173,0.129909690211419,-0.383288201794917,-0.26426799871381,0,0,0,0,0.255459756272055
LTC,0,0,0,0,0,0.15061257002258,0.194569546228711,0.027768491221465,0,0.119712894182776,0.566781582927601,0,-0.0363379832411373,0,-8.67361737988404e-19,0,0,0,0,0
DASH,0,0,0,0,0.160973991176002,0,0.282210083142793,0,0,0,0,0,0,0.226530567995046,0,0,0,0,0,0
XEM,0,0.222364059385152,0,0.113630738380529,0,0.126908866956317,0,0,0,0.0863637463236023,0.409717456594995,0,0,0.0187170626162013,0,0,0,0,0,0
MIOTA,0,0.137643748262301,-1.28657084214241,0.113995322419877,0.378368785177401,-0.035089019814639,0,0,0,0,0,0,0.231286573894982,0.192540843280505,0.659903289685213,0,0,0,0,-0.420175426225308
XMR,0,0,0.326711167678683,0,0.216311175411366,0,0,0,0,0.0786621482673196,0.189612267579117,0.0861685674271418,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0767331452838297,0,0.12250911146679,0,-0.32225015434275,0.527113008527739,0,0,0.176240539559838,0,0,0.403744147723541,0,0,0,0,0
ETC,0,0,0,0.0425649407938412,1.17527679823502,-0.188073497969765,0,-0.0960690402750083,0,-0.193223091759605,0,0,0,0,0.223597110794605,0,0,0,0,-0.170449315722905
ZEC,0,0.327405045842885,0,0,0,0,0,0,0.163706264145992,0.269849911513067,0,0,0.368650495503657,-0.228045813163592,0,0,0,0,0,0.344795957769166
EOS,0,0,0,0,0,0,0,0.0346776986683292,0,0,0,0.756150592685238,0,0.0852809572215232,0,0,0,0,0,0
BAT,0,0,0,-0.493959967281528,0.397625127686748,0.182842216423727,0,0.374535668478396,0,0.274279857690743,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0
XLM,0,0,1.00626939874374,-0.12205129918805,0,-0.174947199461042,-2.77555756156289e-17,0.387637085342051,0,0.0749531601160635,0.129869084867796,0,-0.0311021539308228,0.0846307925732769,0,0,0,0,0,0
BV010082.Index,0,-0.0237270353293647,0,0,-0.0169891131053139,0,0,0,0,0.00233625629740536,0,0,0.0364041341745189,0,0,0,0,0,0,-0.0916306155746951
CVIX.Index,0,0,0,0.148960430088043,0,-0.145561761440186,0.104934945772255,0,-0.173238604390175,0.04384923455438,-0.056371558119831,-0.0662026833979737,-0.017879561192829,0.0246664151294144,0,0,0,0,0,0.130834005236202
DXY.Curncy,0,0,0,0,0,-0.0115495714840602,-0.00725885193509205,-4.33680868994202e-19,0,0.00533985055634457,0,0,0.0220827953877707,-0.0173773547430904,0,0.104463636790754,0.0543576443795057,0,0,-0.000177213387926611
SPX.Index,0,0,0,0,-1.32348898008484e-23,-0.00604913740699495,0,0.00261775705333395,0,0,0,0,0,0,0,0,0,0,0,-0.0285083827165647
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116860156485056,0,0,0,0,0
