,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.330265226342088,-0.0304927785345473,-0.0797331370919649,0.30337366683747,0.0860149646545186,0.308839987282917,0,0.0555716046223117,0,-0.0312466122154201,0,0,0,0,0.0483769446831894
ETH,0.0683258972830673,0,0.0770967363103425,0.147738579193795,-0.0566230655870191,0.00970735852936154,-5.42101086242752e-20,0.187103958134625,0,0,0,0.260325277773163,-0.0197446114233653,0.0234550909819605,0,0,0,0,0,-0.00922124570166727
XRP,0.239402832678506,0,0,0,0.168957637916688,0,0.195403850615574,0,0,0,0,0.0918187981652095,0,0.0487330037763539,0.0176501951379213,0,0,0,0,0
BCH,0.0832232591884439,0,0,0,0.171552096227811,0.136782135719532,0.319060865849831,0,0.146464785460246,-0.218664019758768,0,0,-0.0692694936677444,0.46018347908826,-0.0386953521996855,0,0.521517661849408,0,0,0
LTC,0,0,0.147219181005676,0.264957776324765,0,0,0,0,0,0,0,0.195222074315894,0,0,0.205472975368237,0,0,0,0,0
NEO,0.75690081493699,0,0.0828821255297965,0,-0.39074391218259,0,0.0488516315147017,0,-0.26360277766775,-0.034066525666875,0,0.27432672809463,-0.160178144483454,0.281253464591175,0.183192386707784,0.721618833606999,-1.39137785220245,0,0,-0.168070036292187
XLM,0,0,0.462490687793179,0.2820362407024,-0.269663175483746,2.77555756156289e-17,0,0,0,0.115598588843346,0.190386638157167,0,0.0979019180614367,0,0,0,0,0,0,-0.195724041621309
ADA,0,0.625109952995064,0,0,0,0,0.137905749576836,0,0,0.0839600863318152,0.319536329797703,2.71050543121376e-20,-0.0689869999217185,0,-4.33680868994202e-19,0,0,0,0,0
EOS,0.516348455751752,0.436376335300959,0,0.156185585358768,0,-0.0885345744564698,-0.035961192328367,-0.207635876790746,0,-0.198588810359101,0,0.499741795339582,0,-0.090829819022751,0.0318292778118298,1.2567505725521,-0.475715788789589,0,-0.962420504258494,0
XMR,0.607775471715137,0,0,0,0,0,0.149246886931265,0.209477077361508,0,0,0.0054246744351851,0.530800690796316,-0.414145941890171,0.0481417843228766,-0.242543972242707,0,0,0,0,0.0853178839103396
DASH,0.256464086823266,0,0,0,-0.111710298679853,-0.062391589085833,0.0318460716265129,0.24087120330576,0,0.260770868875608,0,0,0.358509363861899,-1.38777878078145e-17,0.0361214612777831,0,0.42584113828064,0,0,-0.0513923050149259
MIOTA,0,0.640888801507629,0.112002412141249,0,0,0,0,0,0.338048805888676,0.127097484437687,0,0,0.101715211223752,0.0373245405677484,0.0573223827924363,-0.504898644344252,0,0,0,0
XEM,0,0,-0.237481316420353,-0.121697019838046,0,0,0,0,0.44771461013913,-0.202562822246919,0.49841398435794,0.00369309366516149,0,0.430023649637171,-0.115507834833729,0.73868731426959,0,0,0,0
TRX,0.0844873809532969,0,0,0.34110655724166,0,0.116164160321188,0,0,0,0,0,0.397477945229193,0.208248075321806,0,0,0,0,0,0,0.360870418778494
ETC,0,0,0.529847369104917,0,0,0.124164146266407,0,0,0.309848444991109,-0.100662092522902,0,0,0.158898726295789,0,0,0,0,0,0,-0.0135306573098253
BV010082.Index,0,0,0,0,-0.064210830556803,0,0.0711745619562355,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0.160104966963744,0.0632589870224946,-0.0502865755205899,0,0,-0.0968507027608315,-0.0880783155512036,0.325911775616093,-0.0779899001931219,-0.0465472397450445,-0.08762665487827,-0.0713526627042769,0,0,0,0,0.031746496468895
DXY.Curncy,-0.0421310618122341,0.0633947033281576,0.00330491218816304,-0.0351301890068537,-0.035954709426028,-0.00255753076192042,-0.0534321975204834,0.0253615241468966,0.0124300104749331,0,0.0494316726614823,0,0,-0.00945553613077795,0.00629696391145873,0.0861603480256849,0,0,0,0.0108187579974751
SPX.Index,0,0,0,0,0,0.0355566943367613,0,0,0,-0.00411842880294675,0,0,0,-0.0372523642471937,0.0107954696673893,0,0,0,0,-0.042367022501913
VIX.Index,0,0,0.443374198649847,0,-0.463223431663799,0,-0.791048388836266,0,0.430852559834623,0.426484382839756,0,-0.868758670193955,0.107591701347606,0.640673009336516,0,0,-0.123536182254645,0,-2.91528890259071,0
