,BTC,ETH,BCH,LTC,XRP,MIOTA,DASH,XEM,XMR,BTG,ADA,ETC,EOS,XLM,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,-0.0655906369753242,0,0,0,0,0,0.067942093433698,0,0,0,0,0,0
ETH,-0.120061765637905,0,0,0.276221032566118,0,0,0.170064721701882,-0.0510947569110662,0.132550740060104,0.415086198912507,-0.0374572830871535,0.131836576797335,0.038098190074232,0,-0.0315335842336456,0,0,0,0,0
BCH,0,0,0,0.219804307422364,0.215428466456437,0,0,0.0688688101482991,0,0.0391873225290329,-0.0644755443819084,0,0,0.0234731883827756,0,0,0,0,0,0
LTC,0,0.224819717709504,0,0,0.297595998414716,-0.00438288117253356,0,0.0947670344524002,0,0,0,0,0,0,0.12349921329434,0,0,0,0,0
XRP,0,0,0.215481032911682,0.136747767115555,0,0,0,0.0304298560393777,0.115298315137501,0,0.108644753283623,0.214280624863882,-0.0835794483474785,0,0,0,0,0,0,0
MIOTA,0,0,-0.125616386325048,0,0,0,0,0.0870094133078464,0,0,0.116944713128702,0,0,0.52658126686847,0,0,0,0,0,0
DASH,0,0.511600242334052,0,0.0241056008310832,0.148524894568284,-0.0139707123100044,0,0.0259186845735682,0.0937981813393462,-0.153406609373261,0,-0.0704058872293915,-0.0335245439596193,0,0.214589523185906,0,0,0,0,0
XEM,0,0,0,0,0,0.195402497978491,0.226478372481895,0,0,0.294152604006959,0.118084955870001,0,0,0,0,0,0,0,0,0
XMR,0.261658859530496,0,0,0,0.192763852078456,0.0430061739347466,0.225215571707148,-0.0202334260786577,0,0,-0.0378288909645816,0.198602155157779,-0.259478919343507,0.344904646679779,0.0341853835265631,0,0,0,0,0
BTG,-0.0195069137116529,0.484878391653126,0.327634635493698,0,0,0.15330399251114,-0.153952041158745,0.0229350729885067,-0.306707378005963,0,-0.0317294731275528,0,0.138264416587549,0,0,0,0,0,0,0.360785972276001
ADA,-0.251017709550933,-0.283886851821066,0.00764953416545671,0,0.22498240395057,0,0,-0.0765642230919623,-0.448475492980562,-0.242621082358003,0,0.974890266586577,0,0.275413385752625,0.3094323074587,0,0,0,0,0
ETC,0,0,0.0747645798081408,0,0.147560017860832,0,0,0.091845408686515,0.0921962116978496,0,0.316019566633081,0,0,0,0.0930049166944391,0,0,0,0,0
EOS,0,0,0,0.117768830397933,0,-0.16019369191343,0,0.11116630699486,-0.175074546611404,0.0634282831761101,-0.171858598176862,0,0,0.659843342588387,0,0,0,0,0,0.268827541340734
XLM,0,0,0.0232290823279855,0.191774827508665,-0.390439702660861,0.0987662556035849,0,0,0.643391100416674,0.0386420377637229,0.333798356649715,0.00321015810704461,0.44422815940858,0,0,0,0,0,0,0
NEO,0.208792360613408,0,0.297858674644378,0.291020625533127,-0.283181942054551,0,0.299065695299549,-0.0544689486074242,-0.0558274300687886,-0.346926259445017,-0.169745073106635,0.910639171570862,0.288417016831667,-0.202941970528398,0,0,0,0,0,0
BV010082.Index,-0.0707438087077931,-0.0370294275925707,-0.0819619766394985,-0.00325036103142972,0.094901617832152,0.00248453124655981,0.0650973060366333,0,-0.01111684875474,0,-0.0795985349819693,0.0301189091105989,-0.057058752962523,0.106420427477836,-0.01558691320074,0,0,0,0,0.0640699992678543
CVIX.Index,0.0375317071177236,0,0.0171712487865836,0,-0.00499729060373693,-0.00498533987858577,-0.0419354074817061,0.0239426484260777,0.00126470446592104,-0.0509232496047681,-0.0095837345731151,0,0,0,0.0227099367525172,0,0,0,0,0.112415469265047
DXY.Curncy,0,0,-0.0192782279890909,0.0101724497223817,0,0.00752992109824252,0,0.00210618252013191,0,-0.00012793495649433,-0.0032510634816915,0,-0.0077189674101047,0,-0.00792316131294855,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0.0193709946484532,0,-0.104260861239726,0.0109205984250568,0,0.0711229989710189,-0.0380840646932047,-0.045834013252148,0.299916405140362,0.370276441814279,0.252838667976378,-0.441781180171519,0.157495349373791,-0.281164865438701,-0.151072826869572,0,1.54096549398232,0,0,0
