,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.329993811567502,0,0.0833526023840384,0.00624042554998961,0,0,0.0352205639692142,2.16840434497101e-19,0,0.126252090532958,0.0160663631280522,0,0,0,0,0,0,0,0
ETH,0,0,0.354014183450139,0,0.127256476221005,0,0,0.0346137711093285,0.0340018339096106,0.221848904224418,0,0,0,0,0,0,0,0,0,-0.0449014689285357
XRP,0,0.279087214329183,0,-0.00493031174814133,0.0650394710505778,0,0.0778655138435988,0.0895708403369836,0.0819373765505944,0,0,0.225982044419017,0,0,0,0,0.00474575971988998,0,0,0.030673035853255
BCH,1.07415650706467,0,-0.253244066042282,0,0.0532479324104068,0.887916971468227,0.135994007469183,0,0.344437702070514,0,0,-0.102667338950742,0.353932612431247,-0.549544052478131,-0.279415772655565,0,0,0,0,0
EOS,0,0.254449157626653,0.260622682490605,0.166603704903017,0,0.178210452775954,0,0,0,0,0,0.120121543712098,0,0,0.0264790637617291,0,0,0,0,-0.000510119517236857
LTC,0,0,0,0.402735637866638,0.0979155120963773,0,0.00446452879435168,0,0,0,0.254749398280392,0,0,0,0.140074268215183,0,0,0,0,0
BNB,0,0,0,-0.0375626591783341,0,0,0,-0.702999085684902,0.0179509732260471,-0.111448158180303,0,0,0,1.17946851354758,0,0,-0.432553579929942,0,0,0
XLM,0,0,0.169631523291802,0.0407313686874713,0,0,0,0,0.0820628751887283,0.236915209800488,0.0887239895171819,0.152906147976443,0.101068927989626,0,0,-0.326141005943149,0,0,0,-0.176811190550807
ADA,0,0,0,0.373018427790754,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.188804625628679,0.0234378217592893,0,0,0,0,0
TRX,0,0.221109798640585,0,-0.0906855544923915,0,0,-0.164659375479,0,0,0,0.264419381706916,0,0.266363618355783,0.629599788214059,0,0,0,0,0,0.163899232093609
BSV,0,0,-0.208662867800829,0.0612222110207716,-0.0157820010979357,0.553853426551944,0.0598163133848609,0,0.0510949542477446,0,0,0.265477877299882,0,0.281777005972044,0,0,0.217343044966408,0,0,0.0320458185969544
XMR,0,0.167234477924988,0.695388692694072,-0.0531888578106726,0.0263013488777067,0,0.154157355000739,0.193171506233758,0,0.0663180201820229,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0323334934189059,0,0,0.08058429573773,0.326988364549835,0,-2.77555756156289e-17,0,0,0,0.360715712416073,0,0,0.210272772652565,0,0,0
MIOTA,0,0,0.120709671955878,0,0,0,0.131663453900393,0,0.090028678807108,0.253666911914133,0,0.193154783033956,0,0,0.0138044616973789,0,0,0,0,-0.0538126941987854
NEO,0,0,0.413281249901302,0,0.255881491553216,1.38777878078145e-17,0,0,0.080494989226839,0,0.182518227832598,0,0.347867857157368,-0.184637438815038,0,0,0,0,0,0.0942594745951037
BV010082.Index,0,0,0,0,0,0,0.0349865285016128,0,-0.163856186719497,0,0.181738450649684,0.00912836786003185,0,0,0,0,-0.137586081905142,0,0,-0.0991657813587286
CVIX.Index,0,0,-0.739570206414345,0,0,0,-0.137677030055059,0,0,0,0.123510632463155,0.359191342122728,0,0,0,-0.353763345196358,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0.0349528349698556,0,0,0,0,0.0019434596662243,0,0,-0.00833704032256408,-0.00864442076501621,0,0.00760196313340385,0,0,0,0.0783296707490803,0.0192047096554574,0,0,-0.0756459821818574
VIX.Index,0,-0.153048807742695,0,0.23293863652732,-0.738257191489598,0,0.192279112123639,0,-0.559344124083805,0.654879602412415,0,0.340954865646017,-0.384887478724674,0,0.69614835658265,-1.90674434144221,0,0,0,0
