,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-1.38777878078145e-17,0.430641921674595,-0.0225321012988005,-0.168037129313643,0,0.119867857215841,0.0257707444338769,-0.0527064082689329,0.0188376792492201,0,0.433579767288032,2.05892945599408,0,-0.387871608689809
XRP,0,0,0,0,0,-0.0714542551699026,0,0.0388324838090127,0,0.0395176980492332,0,0,0,0,0,0
LTC,0.698242776657418,0,0,0,0.0948048077009827,0,0.0204843627433558,-0.0170762980423582,0.0403963052160891,0,-0.030757394024423,0,0.252157866049996,0,0,0
ETC,0,0,0,0,0,0.574433246347194,0,0,-0.954340699320495,0,0,0,0,0,0,0
DASH,0,-0.396591242296075,-1.50900092519647,0.56986775370392,0,0,0.1205510031113,0.537270172314194,0,0.30574299241622,-0.139517351378794,0,0.561720287504681,0,0,-0.353417622863378
XMR,0,0,0,0,0.077027015249107,0,0,-0.552563759244663,0,0,0,0,0,0,0,0
XEM,0,0,0.338373339893035,-0.972431075254036,-0.003890477370559,0,-0.172620447645637,0,-0.225394513290795,0,-0.0715848945836363,0,0,0,0,0
DOGE,1.84204777695434,0,2.35690836225199,0,0,0.316587794949854,-0.0537144918624259,-0.327495642659769,0,0.394098730464758,-0.0145727514903835,1.01338042289356,-0.142442269522782,0,0,0.14399431569057
XLM,0,-0.0350709262533299,0.504382538568311,-0.158363682129607,0.022494389920613,0,0,0,-0.0358425361159291,0,0,-0.0328101466650272,0,0,0,0
DGB,0,0,0,0,-0.00530652463876656,0,-0.0586862355465334,0,0,0,0,0,0,0,0,0.765049832789528
BV010082.Index,0,0.107134794325502,0,0,-0.0249132293236078,0,0.00996402376734375,0,0,-0.103102320080886,0.0278590778786011,0,0,0,0,0
CVIX.Index,0,0.476029115973175,0.0665101156015638,0,0,0.143373137757324,-0.00962792667069374,-0.0103982622051677,0.0725068385773419,0.0527659164361557,0.0588733496866744,-0.224872734617308,0,0,0,0.187677219274887
DXY.Curncy,0,0.0860050621951893,0,0,0,0.0250949390973597,0,-0.0378569837244336,0.00413183636560728,0.0182202826021026,-0.00373283816349039,0.0546576789951808,0,0,0,0
SPX.Index,0,0,0,0,-0.0024838861684145,0.00863005682927256,0,0,0,0,-0.0120643118303463,0,0,0,0,-0.0356084562952585
VIX.Index,-0.998531151509796,-0.559109802232864,0,0.822228608111333,-0.112429440309443,-0.125050904982963,0.0181244048455773,-0.11062791174431,-0.12122593514166,0.0626243441312172,0,0.680531404088592,1.30652813020913,0,0,0
