,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.116526550286429,0.0466041311601431,0,0,-0.0798437505339949,0,0.0122618953485277,0.0450169487869708,0.373409737429225,0,0.0571945851689299,-0.00107643304566275,0.0702743707024821,0,-0.028867424375009,0,0,-0.0457575791275997
ETH,0,0,0,0,0,0,0,0,0,0.197835372808633,0.373370296067767,0.211842377303432,0.0403421806837547,0.0219510534709304,0.105195835550825,0,-0.0279891461064944,0,0,-0.0764739069424751
XRP,0,0.0581933415877745,0,0,0,0,0,0.417898552060043,0,0,0.0485027776556736,0,0,0.0867163073821202,0,0,0,0,0,0
BCH,0,0,0,0,0.723199007400003,0,-0.204123231957268,0.103803669173743,0.323852390797825,0.0255914340668974,0,0,0,0,0,0,-0.208046060469478,0,0,0
LTC,0,0,0,0.142044179928744,0,0.376197219019606,0.2367405636876,0,0.0207949466900811,0.0653505998325634,0,0,0.139697832854129,0.0957405438299348,0,0,0.129508200805694,0,0,0
EOS,0,0,0,0.111908110552156,0.310346969162494,0,-0.0530556709633622,0.410252544643619,0,0.0521126881503168,0,0,0,0.10565071423764,0,0,0,0,0,0
BNB,-0.804957522616777,0,-0.704947059478574,0,0.486345298405733,0,0,-0.476773707181366,0,0,0.0702549584511666,0.354106330153382,-0.210046036302577,0.297025432102622,1.01220151569946,0,0,0,0,0
XLM,0,0.09993677917114,0,0.159174379622209,0,0,-0.0634002159810075,0,0,0.0607067425312559,0,0,0,0.0950227176127136,0.484361340780066,0,0.121202313460363,0,0,-0.069378812903663
ADA,0,0,0,0.164791247480773,0.186170234879769,0,0,0,0,0.0346145417217995,0,0,0,0.0817922516860972,0,0,0,0,0,0
TRX,0,0,0.532118437841017,0.259266269627892,0,0.177599407868667,0.0722139563209878,0.226199962744587,0,0,0,0.112893313265464,0.029503365862607,-6.93889390390723e-18,0,0,0,0,0,0
XMR,1.04787461905208,0.379555989109836,0,0,0,0,0.0945070730858999,0,0,-0.0171001513804447,0,0,-0.0776962356473186,0,0,0,0,0,0,0
DASH,0,0.420152208156463,0,-0.085445529970404,0,0,0,0,0,0.0814869907561669,-3.46944695195361e-18,0,4.33680868994202e-19,0,0.360504077841578,0,0.127439966415726,0,0,-0.123304787919754
BSV,0,0,0,-0.830156031775756,1.23094797147617,0,0,0.0749075031245713,0.019806430109432,0,0,0,0,-0.0318304273576861,0.793739735420907,0,0,0,0,0
XTZ,0,0,2.53618275819777,-0.19018647811955,0,0.297103108968067,0.163043315390963,0.861830749113113,-0.0799679901821777,-0.961397448764654,-0.243511345113982,0,0,0,0,0,-0.625064269379482,0,0,0.464071598321939
MIOTA,0.157509719382703,0,0.240979543474193,0,-0.0493978107219531,0,0.0967502581158063,0.246328940667843,0.102021561120804,-0.0100274764865177,0.115782667270913,0,0.0886761435189594,-0.0771870107169694,0,0,-0.101405673419112,0,0,0
BV010082.Index,0,0,0.167694454067385,0,0,0,-0.00230837694561164,0,0,0,0,0,0,0.00613728710005983,0,0,-0.131685647736674,0,0,-0.089277427698175
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.00124317558169398,0.0304903373574828,-0.0323106122320574,-0.0062832641899406,0,0.00628546516830443,0.0162249039013521,0,0,0.00013513849689498,-0.00836164388092168,-0.00927941536200881,-0.09148274703883,0.0114083608828131,0,0,0
SPX.Index,0,0,0,0,0,-9.115590943252e-05,-0.00161382861253002,0,0,0,0,0,0,-0.00325213571395305,0,0,0.00475127430081848,0,0,-0.0472051795150124
VIX.Index,0,0,0.622867777793067,0.147795002009595,-0.279072679163274,0,-0.147743516039018,-0.837893746251068,0.330434292323268,0.431352459716572,0.68389561156727,-0.484293104238918,0,0.116273305757343,0,-2.07094819340553,0,0,0,0
