,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.310146952732103,-0.106208369304606,-0.182171373946901,0.0598052831683381,0,0,0.0305596354860632,0.306040625376347,-0.140932569803433,0,0.461819597065555,-0.0213175336302546,-0.12345168096173,0,0,0.0581436574555789,0,0,0.127610401098525
ETH,0,0,0.374148897828285,0.00708732759737724,0,0,-0.0837120134881346,0,0.157733213172438,0.114277945754602,0,0,0.0619067033812159,0,0,0,0,0,0,0.145468757773012
XRP,0,0.289791244154258,0,0,0.127835697788347,0.18752755610024,0.164281023457167,0.165992852348819,0,0.233971026905711,0.00425618880677398,0,0,0,0,0,0,0,0,0
BCH,-0.155339116209462,0,0.314026900201351,0,0,-0.33981026236456,-0.0843893430494339,0,0,0,0.747148393292973,0.151920284675132,-0.0315847271935656,0.0983017641096628,0,0,0,0,0,0.126688835737529
EOS,0,0,0.307800501000288,0.139533990469944,0,0,0,-0.227741498565,-0.339777089399226,0,0,0,0.402462545423198,0,0.452385936372512,0,0,0,0,0
LTC,0,0,0.219637753469002,-0.0414854019180925,0.0179634560287521,0,0.0605524305129931,0.121505977263631,0,0,0,0,0.102959451426136,-1.0842021724855e-19,0.28251645324216,0,0,0,0,0.0917528022380064
ADA,0,0,0.396756389350169,0,0,0,0,0,0.367888677723792,0.217599345736328,0,0,-0.0225929837013486,0,0,0,0,0,0,0.126625831950949
XLM,0,0,0,0.418608063993447,-0.070780440046595,0,0.160304530342401,0,0,0,0,0.542641219669798,-0.0235689403622566,0.30179882335337,-0.350599855456039,0,0,0,0,-0.256817806185858
MIOTA,0.265035244762606,0.329055480734687,0,0.232869511014542,0.0683771847568821,-0.237290045889577,0.14571613726207,0,0,0.111638354995787,0,0,0.0235036839330429,0.249289172069862,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.256560171497203,0,0,0.203008796824133,0,0,0.535307763435919,0,0,0,0,0
XMR,0,0,0.327979709504537,0,0,0,0.065075949527619,0,0.189899108974094,0,0,0,0.167305737042799,0,0,0,0,0,0,0
DASH,0.333849427068501,0,0,0.0180520932324302,0.00381322580487329,6.93889390390723e-18,0,0.186058100383413,0,0.103496005230117,0.0363959596796376,0,0.0926769572345832,0.0514978016657119,0.247147900464779,0,0,0,0,0.051704954963716
TRX,0,1.05090796574936,-0.742422840000096,0.786327865909221,0,0,0,0.686748800138834,0,-0.0574460509250606,0,-0.468215897867141,0,0,0,0,0.171005884288691,0,0,-0.17734969900482
XEM,0,0,0,0,0,0,0,0.231817146114009,0.110519091338686,0.251539261763299,0,0.266879956266564,0.0510285628724495,0,0,0,0,0,0,0
ETC,0,0,0,0,0.121392816393448,0.135381215931697,0.0941961025312692,0,0,0.098930731546127,0,0.457641657655064,0.0296963662206176,0.0207207859357962,0,0,0,0,0,0
BV010082.Index,0,0,0.0429562771625905,0.00477900408252711,0.0224376663481015,0,8.470329472543e-22,0,0,-0.00957453692844535,0,0,-0.0306847458136797,0,0,0,0,0,0,-0.0847460643997377
CVIX.Index,0,0,0,0,-0.0182838782523565,0,0.026247296116038,0,0,0,0,0,-0.0298017340481692,0,0,0,0,0,0,0
DXY.Curncy,0,-0.0281760749724024,0.0428792231244588,0.0125504920553146,-0.0150948699351056,0,0,-0.0312294137192186,-0.0101181305405999,0,0,0,0.00182660099335539,0.0235773590089061,0,0,0,0,0,-0.0180501887329651
SPX.Index,0,0,0,0,0.00774900737671871,0,0.0176590476590081,0.0049234681660751,-0.0716883921083981,0.0253817768327871,0,0,0.0229316486789261,0,0,0,0,0,0,-0.135283680219511
VIX.Index,0,0.379856604018375,0,0.717349457891276,0,1.0170846985423,0.16334837651037,-0.417099131179276,-0.465706687781055,-0.00747087342255172,-0.795471038384004,0,-0.0538614620459278,0.13327233333798,0,-1.72554801186207,0,0,-1.94681761073567,0
