,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.239640877483825,0.0745215289723756,0.143423270829343,0,0.255114152655815,0,0,0.0330149140729246,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.123278599366624,0,0.0723820843731219,0,0.239398986477666,0,0,0,0.117031759346354,0.077598466109748,0,0.0622157532875239,0.0846696362957761,0,0,0,0,0
XRP,0,0,0,0,0.160201584612752,0,0,0,0.405359009706755,0,0.140414709703615,0,0,-6.93889390390723e-18,0.0836573178331512,0,0,0,0,0.0120329839063543
BCH,0,0,0,0,0.20583671206582,0,0.641534822606196,0,0,0,0,0,0,-3.46944695195361e-18,0.101112350894751,0,0,0,0,-0.104618491678085
LTC,0,0,0,0.0493766834982971,0,0,0,0,0,0,0.306590512538645,0,0,0.248013516165855,0.0839855200844235,0,0,0,0,0.0723961291649269
ADA,0,0,0.290723058949703,-0.0640514499393966,-0.00118324691366168,0,0,0.14319417276503,0,0.140040878225282,0,0,0.218598313953486,0,0.0872249528053722,0,-0.156797888929583,0,0,0
NEO,0.279531978748671,0.507543367910652,-0.114012113010088,0.130591367901619,0,-0.383480877604269,0,0,0,0,0,0,0.553741214433648,0.145349536658135,-0.0580531709709808,0,0,0,0,-0.0377260365655576
XLM,0,0,0.0862339950383818,0,0,0.25675140499004,0,0,0,0,0,0.0786554712813108,0.111465917633172,0.0434215638859416,0.2066016552662,0,0,0,0,0
EOS,0,0,0.0273119688110497,0,0,0,0.223666715343759,0,0,0,0,0.088282421169541,0.21682647276276,0.335559516668979,0,0,-0.261476412724647,0,0,0
DASH,0.242804153645772,0,0,0.160464790359601,0.0206407335780317,0.10518761714277,2.77555756156289e-17,0.260652071902398,0,0,0.00919060611613107,0.380718021951235,0,0,-0.0708120447119741,0,0,0,0,0.0395827509812503
MIOTA,0,0,0.0535496085467529,0,0.304749109426167,0,-1.38777878078145e-17,0,0,0.312583423123192,0,0,0,0.183915235145575,0.0904042663238343,0,0,0,0,0
XMR,0.449872256487135,0,0,0,0.0249374895689334,0,0.00903777319654687,0,0.0888541356291773,0.468699753774759,0.095219879060402,0,0,0,-0.0691723416529308,0,0,0,0,0.0508403716321877
XEM,0,0,0,-0.112383111125043,0,0.225790077432212,0.615733730795371,0.17310999115408,0,0,6.93889390390723e-18,0,0,-0.160373515662354,0.165499929226775,0,0,0,0,0.103045053090516
ETC,0,0,0.593625388007243,0.230721270564961,-0.163954259754524,0.685993115446243,1.04279192493417,0.131569461449322,0.947843617961186,-1.02679743555043,0,0.0906823043413037,-1.49796804552481,0,0,0,0,0,0,0.160326467111171
TRX,0,0,0.303150586616969,0.159244148546966,-0.172900203510736,0.542505137310106,0,0.0432527521778183,0.114089335568747,0,0.24610582200138,0,0,0,0,0,0,0,0,0.0748723006894036
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031942786477679
CVIX.Index,0,0,0,0,0.0686739387259495,0,0,0,0,0,-0.0742389087669532,-0.0722340549176782,0.150552407132968,-0.0784688443989982,0,0,0,0,0,0.0238701027455769
DXY.Curncy,-0.0249896084692699,0,0.027847761239684,0.0198285425614365,-0.0361350205063084,0,-0.0443219449500209,-8.67361737988404e-19,-0.0564436891371041,0.0675174357692896,0.0368228269101374,0,0.0108817415508377,0.0285418613755767,-0.0303015894243343,0,0,0,-0.0597346508683493,0.0120944025578147
SPX.Index,0.0116973132242408,0,-0.00832328605389223,-0.00403196084493507,2.16840434497101e-19,0,0.0521395223728655,0,0,0,0,0,0.0641104901347626,0,-0.108743685930755,0,0,0,0,-0.0638209072356139
VIX.Index,-0.0165054064695043,-0.681872647494119,-0.202647574133499,0.206540305318986,0.583466980342929,0,0.939401119542355,0,-1.71461217581983,-0.185276751492696,-1.41986881957345,0.340360547522349,1.46314577585003,0.718340676491564,0,-0.838125069155115,0,0,-8.07010534628601,0
