,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,EOS,XMR,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0632819523098973,0.267368805930474,0,-0.160153978049597,0.0358683950758039,0.0302831553160284,0.216914771518656,0.030170285228674,0.00710249202014004,1.73472347597681e-18,-0.160108270704678,0.192515249807885,0,0.556208573311056,0,0,0.0313235616823651
ETH,0,0,0.126953404165863,0,0.0194484477211763,0,0.160654340419879,0,0.0106231288883298,0.444833953664565,0,0.0129387856190144,0.27035836586691,0,-0.108357424596591,0,0,0,0,0.101744065597241
XRP,0,0,0,0,0.0905375731467145,0,0,0.139158855849401,0.0112273108763411,0,0.197257008864236,-0.000813222679227452,0,0.166519034570553,0,0,0,0,0,0
LTC,0.530699338265254,-0.989124377396509,-0.491122324474642,0,0.591937059445169,0,0.654097160640789,-0.163367886614382,0.117628589989232,-0.0155584106613505,0.516675035640389,0.0488655664793516,1.06608993966348,0.625577163639901,-0.635654210095134,0,0,0,0,-0.0965378322044191
ETC,0,0.159529906191864,-0.0331407383300427,0.179499496229748,0,0,0,0.0305796631585573,0,0,0,0,0,0,0.159618520730104,0,0,0,0,0
XEM,0,0.100625483536159,0,0,0.257310219628283,0,0.117535693195556,0.0219246705976143,0.0916315630670563,0,6.93889390390723e-18,-0.00303847526944407,0,0,0.198681025851614,0,0,0,0,0
DASH,-0.20225792151289,0.329080396955431,0,0,0.282941495625132,0,0,-0.0101364201502525,-0.0112033496501304,0.329968578162797,0,0.0342230453362967,-0.299473134896757,0,0.337362625496201,0,0,0,0,-0.202662610206728
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132649663202307,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.185785674556273,0,0,0.24036634671524,0,0.0719552750430175,0,0.0400004566594176,0,0,-0.00849694016520217,0,0,0.185951958448479,0,0,0,0,0
ZEC,0,0.219198016816485,0.14786303072955,0,-0.0557226600620805,0,0,0,0,0,0,5.42101086242752e-20,0,0.375080644736645,0,0,0,0,0,0
NEO,0,0,-1.69234934364744,1.08155535235919,0,0,0.741851868863364,0.271843810530809,-0.163098835906822,0,1.27233601085144,0,-0.829966716453069,0,0,0,0,0,0,-0.501562840339147
DOGE,-0.457472450308458,0.359219789600686,0.224842670592368,0.400734450501655,0,0.0414612414215678,-0.303748107345485,-0.00147523298261261,-0.0828846733580958,0,-0.26461520689919,-0.0447382453645376,0,0.0377079692054684,0.335168646728776,0,0,0,0,0.106798605710682
XLM,-0.480968333620403,0,0.29758007617229,0.0489188729628698,0,0.280498421667905,-0.00117892986856839,0.00407187046894015,0.0434232322417779,0.543067781733997,0.23550612807948,0,0.273034569567322,0,0,0,0,0,0,-0.0822805257554871
DGB,0.842290512655727,0,0,0,-0.471452239643694,0,0.628984949196822,0,0.0060197195488746,0.620578803124173,0,-0.00759521793188782,0,0.0468522186486861,0,0,0,0,0,0.0221209728085979
BV010082.Index,0,0.0138057552761383,0.118418217352297,0.011255535598976,-0.0271890511000091,-0.0226403850339291,-0.0691486940401201,0.0236850491187146,0.0112337634891893,0,0.072503230463993,0.000570248903149783,0.0689718955608762,-0.10089170282321,-0.0217853417670139,0,0,0,0,0.15238996840059
CVIX.Index,0,0,0,0,-0.0287008866726949,0,0,0,0.00192093922758505,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0647526895696477,-0.0240070257307259,0.0487921361435115,0,2.16840434497101e-19,-0.0277050791172752,0,-0.016715337909306,0.0036400667045325,-0.0180446883287773,-0.0233209720597349,0,-0.0155082309949274,-0.00172217018806247,0.0195686508208205,0,0,0,0,-0.0133795227342897
SPX.Index,0,0,0,0,-0.00338896530580709,0,0,-0.00271591569186005,0.00146616587946162,0,0,0,0,-0.00600153524685959,0.00258561621344617,0,0,0,0,-0.0572428420205133
VIX.Index,0,0.183772062685942,0,0.0530532920574377,0,-0.413565608481128,0,-0.132297209804946,0.0176628677648507,0,-0.0897646915877095,0,0.0229726076901848,0.243134793970252,0.36760627046512,1.45994435258439,0,0,0,0
