,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0716520686873474,0,-0.100329489250579,0.161328329382144,0.163976609405785,0.0545541932085633,0,0.057179823599507,0,0,0,-1.73472347597681e-18,0,0,0,0,0
ETH,0,0,-0.0879211563657114,0,0.093937367581763,0,0.233425794818218,0,0,0,0.113492470189156,0.0703102554488547,0,0,0,0,0,0,0.0730064565851464
XRP,0,0,0,0,-0.201239193350273,0,0.29728522255176,0,0.575815812799198,0,0,-0.0847847477951181,0.0939369451243964,0,0,0,0,0,0
XEM,0.322386374753797,0,0.300599371547303,0,-0.134361355917804,0.122417051864509,0,0,-2.77555756156289e-17,-0.0934173720023573,0,0.425014900433583,0,0.0833869814632133,0,0,0,0,0
ETC,0,0,-0.272165131697683,0,0,0,0,0,0,-0.0837381487734244,0,0,0,0.374767198862183,0,0,0,0,0
LTC,0,0,0,0.388430019523621,0,0,0,0.653884434791232,-0.220184279371424,0.0506031744051412,-0.205666084695726,0,0.090537121360224,0.347578966469542,0,0,0,0,0.415354304045272
DASH,0.293797820752786,0.293320036445464,0.384350436909632,-0.0646700338196258,0,0,0,0.160853446718583,-0.151856889150342,0,0.243625016246847,0,-0.0364496819058176,0.145683674982115,0,0,0,0,0
XMR,0,0.3149941922229,-0.507074769445976,0.0238618364937414,-0.361518794587499,0.902322514276493,0.518631332056882,0,0.546247041481423,-0.0527902132863168,0.122648128593303,-0.0919236938205646,0,-0.212760366526459,0,0,0,0,-0.395601916377507
XLM,0,0,0.818047460980381,0,0.204108969238131,0,0,0.249205748256388,0,0.0132087278716959,-0.297486280517553,0.271304165397026,0,-0.0492858382793046,0,0,0,0,0.131635239749985
DGB,0,1.44730137895319,0.167491331998107,0,0,1.54528803915661,0.178171082983287,-1.16430068175453,0.762504146853241,0,-0.074812902074873,0,-0.213886735710195,-0.744357826921489,0,0,0,0,-2.84841496610471
ZEC,0,0.174845260131354,0,0,0,0.289247202786587,0,0.182855038198028,0,0,0,-1.73472347597681e-18,0,0.0227301977680782,0,0,0,0,0
DOGE,0,0,0,0.356587649167692,0,0,0,0,0,0.246900597185637,0.144732562267531,0,0,0.162225107675302,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0.226700601722947,0,-1.14451596460631,0.828854994178767,0.296687292471367,0.958998499969164,1.44110423108889,-1.36207524120198,1.42706015726543,-0.372688258773599,0.0353873344627156,-0.488558911217123,-0.0408654394683918,0,3.811390324079,0,0,0,-2.01597639182758
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.00250229391911582,0,0,0.0174681289055739,0,0,0,0,0
CVIX.Index,0,0,-0.0291776945381601,0,-0.00217939154279672,0.081845950783418,0,-0.0465419192090046,0,0.0153518694061294,0.0215630889086964,8.67361737988404e-19,0.00806069204489174,0,0,0,0,0,0.0937007228894736
DXY.Curncy,0,0.00691423496982177,-0.00195482539240762,0,0.00492465601156529,0,0,-0.000434846760516639,0,-0.00959851374538466,-0.00376788168942473,0,0,0,0,0,0,0,0
SPX.Index,0,-4.7237933726458e-05,0,0,0,0,0,0.00118543457285119,-0.00181743086988855,0.00143251944353853,0,0,0.000435050325059051,0,0,0,0,0,-0.0311449739984541
VIX.Index,0,0.366266843606178,0,0.0901166384363288,0,0.356004222830911,0.0922341820479413,-0.358901385707896,0.267656034049342,-0.24734472065024,0,-0.0435081149422288,-0.0482075902678883,-0.200692677639262,0,0,0,0,0
