,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0758986663771951,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.111767646247021,0,0,0,0,-0.0106996626267855,0,0.0766929767911066,0,0,0.00234655915126855,0,0,0,0,0.147396976237549
XRP,0,-0.860326218680933,0,0,-0.329210229858018,0,0,0.118873395588855,-0.48681175103976,0,0,0.133283345703663,1.02979800456015,0,0,0,0,0.255385846960767
XEM,0,0,0,0,0,0,0,0,0,0.247637929836818,0,-0.0479116361656541,0,0,0,0,0,0
LTC,0,0,0,0.0926590548429318,0,0,0,0,0.283655558081034,-1.73472347597681e-18,0,-0.0200637581436241,0,0,0,0,0,0
ETC,0,0.724587354803385,-0.0818846514889954,0.182098318447198,0,0,0,0,0,-0.00301933608107047,0,-0.0280042622723885,0,0,0,0,0,0
DASH,0,0.249530685458348,0,0,0,0.0113846812505342,0,0.0414638401598647,0.618174341261673,-0.0208698156194829,0,0.00288968045580098,-0.0382898587530953,0,0,0,0,0
XLM,0,0,0.697794081596524,-0.215510693533561,-0.217853483306985,0.737995777592053,0,0,1.18215911868441,0,0,0.0570079550452152,0.131803727126284,0,0,0,0,0
XMR,-0.0150857742673623,-0.174715051033373,-0.147390737029048,0.0831259351196217,0.073740516385321,0,0.522425592822209,0.0343984358872771,0,0,0,0.0137334397544679,0.17178099323934,0,0.354808390086732,0,0,0
DOGE,0,0,0,0.131507839472439,0,0,0,0.234127830207228,0,0,0,0,0.238002123161959,0,0,0,0,0
ZEC,0,0.0867717669045498,0,0,-0.0994531506369065,0.112938394410136,0,0,0,0.150146675893753,0,-0.00348452056945372,0.193639760976553,0,0,0,0,0
DGB,0,0,0.0954349500036222,-0.413775274808677,-0.163503321386376,0,0,0,0,0.827655652175851,0,0,0.094889984372936,0,0,0,0,0
NEO,0,-6.93889390390723e-18,0,-0.26826224168991,0.17100500850261,-0.146328189178746,0,-0.0858054812559567,0.758721025142436,0,0.791745118264004,0.0601393288372052,0,0,0,0,0,0.22397463420135
BV010082.Index,0,0,0,-0.0268199604544133,0,0,0,0.012503517659539,0,0,0,0.00234942748315324,0,0,0,0,0,-0.0388104485594869
CVIX.Index,0,-0.0217166975756475,0,0.039067782107478,-0.103168299534607,0,0,-0.00950528637796308,0.184046299580741,0.0134836190954787,0,0.0360974130971669,0,0,0,0,0,0.175792012917423
DXY.Curncy,-0.0160801321690228,0.0181376236169988,0,0,0,0.0143804247415528,-0.0101302838045783,0.0058526861131765,0,-0.0116102461211789,0,-0.00204115835823881,-0.00857903588468109,0.0369957956538649,-0.032418867264419,0,0,0
SPX.Index,0,0,0,-0.0100104447497813,0,0,0,0.00285421161822951,0,0,0,0.00384901188792903,0,0,0,0,0,-0.028370066211029
VIX.Index,0,0,0.126289087498334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
