,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.07342470446107,0,0,0.121093511453536,0,-0.152255236521823,-0.108801284605207,0.173477652865268,0,0.223433975157558,0,0,0,0,-0.116008865687015
ETH,0,0,0.0338162565267289,-0.100413891595744,5.42101086242752e-20,0.746563294103082,0.240809019287644,-0.106848977186806,-0.500620587401693,0,-1.73472347597681e-18,-0.0520582442886269,0,0,0,0,0,0
XRP,0,0,0,0,-0.152551729019648,0,0.278677734352086,0,0.299835927412909,0,1.31699090883173,0,-0.989549050566858,0,0,0,0,0
DASH,-0.119165189467781,0,-0.0882706383466971,0,0,0,0,0.0345614527861904,0.419383026710817,0,-0.0815622273479757,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.29705066437001,0.332853275410148,0,-0.0655486115762202,0,0,-0.249373207643516,0.206029669292244,0.13788812896197,-0.0807805982546854,0,0,0.0275424206383649,0,0,0,0,0
ETC,-0.0962602135675838,0.450874735318171,0.0279603894885911,0,0.22827749240654,0,0,-0.0435050880828411,0.347653889966882,-0.164666705163789,0,-0.161387493964587,0.183650456689504,0,-0.760476050617813,0,0,0
XEM,0,0,0,0,0,0,0,0,0,-0.105476497301454,0,0.149278651306667,0.337255613679679,0,0,0,0,0
ZEC,0,-0.0939916825268627,0.150352984679209,0.0524710965112373,0,0,0,0,0,0.155364686746864,-0.373765601741523,0,0,0,0,0,0,0
DOGE,0,0,0.0133256343044284,0,0.0575143252916585,0,0.172059544667153,0,0.127889757508961,0,0.368295330254965,0,0,0,0,0,0,0
XLM,0.109484766093897,0,0.429903124621969,-0.0979787204539429,0.258961244464322,0,0,-0.497649689639886,0,1.38777878078145e-17,0,0,0.686161992252954,0,0,0,0,-0.276831140456062
NEO,0,0,-0.0314692686676657,0,0,0,0,0,0,0.160559278696269,0,0,0,0,0,0,0,0
DGB,-0.0761183364697842,0,-0.199354695603694,0.0316926244934557,-0.266530600309895,0,0.377708162779519,0.232410850387997,-0.206763851420968,-0.00270787850925085,0.403857146100006,0.192109859457966,0,0,0,0,0,-0.31131098774278
BV010082.Index,0.00930103859345763,0.0298531487489655,0,-0.0119567934848863,-0.00953994761574788,0,-0.0649386132882089,0,0,0,0,-0.0139299403279063,0.0281201431025808,0,0,0,0,-0.139310133859439
CVIX.Index,0,0,0,0.0212111451421017,0.0188151434217704,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,5.42101086242752e-20,-0.014917030084214,0.00638792909975376,0,0.00251203062699866,0.00273810999455801,0,-0.00182729834325512,-0.00234922517812653,-0.02001434584903,0,0,0,0,0,-0.0107966553582693
SPX.Index,0,0,0.0009188835299192,-0.0127748514385888,0.00231933880852471,0.000532899579157424,-0.00231659042267738,0.00368061105493163,0.00301923264637483,-0.00699012633648341,0,-0.0064978141219405,-0.00357757182143329,0,0,0,0,-0.0450323574020701
VIX.Index,0.102962332905756,0.113512435171744,-0.0249938932628421,-0.0360020137861651,-0.049119457540184,-0.192261569329148,-0.14859698550904,0.0382961738440474,0,0.0389993035548028,0,-0.101589760006527,-0.0328726887586916,-2.10280408926496,0.178565025635885,0,0,0
