,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00159166975348929,0,0.144514579537196,0,0,0,0.0463802277825134,0,0.0135257057247629,0.0835238926414301,0,0,0,0.0624036203474259,0,0,0,0,-0.0495298146911695
ETH,0,0,0,0,0.22104576337322,0.0417238563363567,0,0.0548181164114517,0,0.021896163014207,0.55128608790235,-0.0224463774642592,0,0,0.0535067846373792,0,0,0,0,0.101381765465635
XRP,0,0.118108929719993,0,-0.125534218395264,0,0.122052221698922,0.252387360125973,0,0.0463927403459877,0.0139241075353583,0.18965888476481,-0.0744966049550101,0.213582862093974,0,-0.0354714894362496,0,0,0,0,0
LTC,0.407007808632735,0.0883780717364844,-0.592137821295668,0,0.400485216021099,0,0.327285806154646,-0.336947609721457,-0.0137954307687019,0.0201454522551343,0,0,0,0.576212219818846,-0.167751480804611,0,0,0,0,0.0397380289843477
ETC,0,0.0217261355814844,0,0.0963440151865407,0,0.0817703511768864,-3.46944695195361e-18,0.3575245367138,0,0,0,-0.0303325129959818,0,0,0,0,0,0,0,0
DASH,0,0.0603942247024057,0,0,0,0,0.337588358075971,0,0,0.00412266076039785,0,0,0,0.218255456891605,0,0,0,0,0,0
XEM,0,0.370005186620609,0,0.165660395440555,0.211350306132655,0,0,0,0.178290306183842,0.080737273794554,0,0.0569348892407608,-0.146839315413253,0,-0.00763667843829871,0,0,0,0,0.0210503117821783
XMR,0,0,0,0.153999744591547,0.195451003219316,0.0431591897025761,0.111610027909026,0,0,0,0.220314148750678,0.00763100504538951,0,0.304688071492846,-0.0957281842134809,0,0,0,0,0
MIOTA,0,0,2.03697232774257,0,0,-0.406478653480794,0.124430200179131,-0.647817273812815,0,-0.0636118525118201,0.0893020507019565,0.0349348957832038,0,0.534726314622577,0.0294297283308859,0,0,0,0,-0.639927200129711
EOS,0,0,0,-0.43298093813536,0,0,0,0,0,0,0,0.354113798676887,0,0.223735974542692,0.187496624360873,0,0,0,0,0
ZEC,0,0.524385707259663,0,0,0,0,-0.0684431162120626,0.119839174353925,0.221668027085892,0.0135964261651338,0,0.0267715095112953,0,0,0.0555392762410941,0,0,0,0,0.0446872589437579
NEO,0,0,0,0,0,0,0,0.378002489546996,0.0909653882771017,0.0671746966738477,0,0,0,0,0,0,0,0,0,0
DOGE,0,-0.0488159031181677,0.954347357250959,0.431318035920885,0,-0.104980674676986,-0.870280777401915,0,0.255089540671532,-0.0155092180241386,0,0.107744776927449,0,0.318190454318141,-0.0874764410974366,0,0,0,0,0.248090159916015
XLM,0,0,0,0.0812619135640927,0,0.163901072827308,0,0.457509016927903,0.139644444151019,0.016559743104471,0,0,0.322895911907934,0,0.234700588250631,0,0,0,0,0
DGB,1.00906579129151,0,0,-0.465067294081222,0,-0.0186976459865273,0,0,0.365097421338682,0.0337925275831498,0.0379813039739645,-0.00215744705651039,0,0.688179721336999,0,0,-0.928078661141667,0,0,0.166941284188769
BV010082.Index,0,0,0,0.0326723291988065,0,0.000609649644086167,0,0,-0.00370530285007532,0.00758792019434613,0,-0.0102684500571406,0.0664535459095842,0,-0.0454590866790014,0,-0.0944208339656578,0,0,0
CVIX.Index,0,0,0,-0.0701074242700827,0,0,0,0.0321164614252027,0,0.00930415982617839,0.0705057484769654,0.00728805192304574,0.0419883265688563,0,-0.074467313044162,0,0,0,0,0
DXY.Curncy,0.0315204987625882,-0.0651307438356767,0,0.0195178249634007,0.00850842458761906,0.0128926012264221,0,0.00808012766464969,-0.010693627016459,0.000342315148344138,0.070989216078413,-0.00971106220555773,0,-0.0281001293059732,0,0,-0.108911304798761,0,0,-0.027496347133789
SPX.Index,0,0,0,0,0,0,0,0.00534515684795582,-0.00830514615955785,0.00152822280202937,0.00648553320585818,0,0.00994084024608907,-0.00900300611529826,0,0.0222415469392942,0,0,0,-0.0726174777451587
VIX.Index,0,0,0.669452754036455,0,0,0,0.0713549422687526,-0.214043543485562,-0.362468325653946,0.000239557519645131,0,-0.046235630318677,0.00692770990610712,0,0.0789323750573115,0,0,0,0,0
