,BTC,ETH,XRP,DASH,LTC,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.126185470741846,-0.00294776933690651,-0.0735235456944981,0,-1.73472347597681e-18,0,-0.0599846460270789,-0.0464525879794787,0.0292797181394879,-0.0152601239887499,0.0411832582133014,-0.0764902961784966,0,0,0,0,0
ETH,0,0,-0.0165418912100977,0.36434924370823,0,-0.148314219590996,0.373868147970549,0.158940855380111,-0.190815774920762,-0.138373834824668,0.286834936857956,-0.0149083381556198,0.463035540572571,0.699058159778596,0,0,0,0.548262526799637
XRP,0,0,0,-0.297081481304452,-0.212241619316459,-0.544498236771053,0,0,0,0,1.39067342275004,-0.149145176214993,0,0,0,0,0,0
DASH,-2.55253431617282,0.0361023805923269,0,0,3.46944695195361e-18,0.0145493241450862,0,-0.165187494411192,0.132912888830456,0.244827056928869,-0.445807578124332,0.111223928115517,-0.653029510664602,0,0,0,0,-0.00225059953756857
LTC,0,0,0,0,0,0,0,0,0,0.259473764484182,0.168466560344772,0.126462491549438,0,0,0,0,0,0
XEM,0,0,-0.0574613389689072,0,-0.0756942487833259,0,0,0,0.445203776203302,0,0,0.135334863850605,0.292836657812966,0,0,0,0,-0.31698067321313
XMR,0.477184566402219,0.573007901887137,0,-0.23314914768745,0,0.326512076816651,0,-0.108381361253734,0.159667757764534,-0.0707678016932709,0,0.109512275423393,0,0,0,0,0,0.0956927989918745
ETC,0,0,0,0.165888196875686,0.0710034566877164,0,0,0,0,0,0,-0.0559999937805008,0,0,0,0,0,0
ZEC,0.59120740324398,0,0.0435259390674359,0,-0.127494322660105,0,0.188675271492625,0.310640141990084,0,-0.00524516670968142,0,0,-0.0106037641299047,0,2.50217303115608,0,0,0
DOGE,0,0,0.201248797261687,0,0.144631811861548,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.945547664339704,0.299809122866852,-0.202379559564019,0.236237670132339,0,0,0,0,0,0,0.116686053941842,0.165721584846354,0,0,0,0,0
DGB,0,-0.816288257438904,-0.3407630873588,0,-0.159539887537587,0.313694870240907,0.988764667330592,0,-0.609096980749775,0.944122449373453,0.12957190745732,0,0.403005937324846,2.27937331618537,0,0,0,-1.16672561602195
NEO,0,0,-0.0910412703857891,-0.111737167307266,0.00189152493088591,0.143621793481494,-0.30270956442982,0,0,0.00169861151819596,0.201298134806981,-0.0911585499340881,0,0,0,0,0,0
BV010082.Index,0,0,0.00038431656977931,-0.00999914952079887,-0.00811317397015698,-0.00488914825975321,0,-0.0674745105270712,0,0,0,0.0236116063792656,0,0,0,0,0,-0.102690116551126
CVIX.Index,0,0,-0.000481521146836356,0.0198281825823238,0.0176324333548009,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413662208166235
DXY.Curncy,0,0.00435033111941383,0.0126035474527901,-0.0121325133336038,0.0147566784343269,-0.00158778536950313,0.0314563345291974,-0.0201007509732973,0,-0.00231737249634031,-0.0303403258777201,-0.00227021858625896,-0.0120880115490057,0.107413685676311,0,0,0,0
SPX.Index,0.11024778291808,0.0581432323742746,0.010348983394052,-0.00824072726267662,0.00248469259901999,-0.00706230246247075,0,0.0225543330999563,-0.00770628430213761,-0.0256551956102808,-0.00129920101412433,0.0103720762431511,0,0,0,0,0,-0.03186665887838
VIX.Index,0,6.93889390390723e-18,0,0.0796631069608054,0.103633241108386,0.0629609699646454,0,-0.574937196777828,0.138423092469686,0,-0.0166754837632689,-0.122119139294419,0.103260614474442,-2.13044895724738,0,0,0,0
