,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,XMR,MIOTA,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.148765259892824,0,0.0918036788707561,0,0.34868134483015,0,0,0.0698840015794697,0.00534301825298887,0.131244301794466,0,0,0,0,0,0,0,-0.041850429904313
ETH,0,0,0,0,0.138533577412071,0,0.0662677250995618,0,0,0.219349398704981,0.0401452729443197,0,0,0.10379326554999,0.184167144277721,0,0,0,0,0
XRP,2.77555756156289e-17,0,0,0,0,0.18435619623179,0,0,0.256203920666758,0,0.0626223591740128,0.220094193283292,0,0,0.189307042171221,0,0,0,0,0
BCH,0,0,0,0,0.134451263847135,0,0.315237808921872,0,0,0.434023443092118,0,0,0,0.0705373976909831,0.0193694492663103,0,0,0,0,-0.0705169696155351
LTC,0,0.220091169132705,0,0.0886812242395446,0,0,0,0,0,0,-0.17096835082673,0.427053346672934,0.0249272127432136,0.16802595930027,0.0259329837786011,0,0,0,0,0.0618673221484087
ADA,0,0,0.369868690169373,0,-0.0436010559852034,0,0,0.265791594360596,0,0,0.0198975588622279,0,0.306306345733302,0,0,0,0,0,0,-0.0186351729918833
NEO,0.49961279438832,0,-0.0411924748476381,0.0355376573679583,-3.46944695195361e-18,-0.568524003417666,0,0,0,0.342035382588013,0.0647589932103023,0,0.596684885055116,0.106774398088827,0,0,0,0,0,0.0092839700376785
XLM,0,0.300113401005623,0.192023848606773,0.0440409966388369,0,0.284103494276346,0,0,-0.0834102000403975,-6.93889390390723e-18,-3.46944695195361e-18,0,0.0908390566236095,0,0.130540422851754,0,0,0,0,-0.00626611350223421
EOS,0,0,0.0212309003859177,0,0,0,0.108196488413171,0,0,0,0.0972998158727204,0,0.28296476647073,0.373245839594894,0,0,0,0,0,0.0172430432236417
DASH,0,0,0,0.0253143155684767,0.0869933018629103,0.0517297068147768,0.227856011008909,0.0816469318644976,0,0,0.416016545141472,0.106692307301187,0,0,0,0,0,0,0,0
XMR,0.348068477691562,0,0,0,0,0,0.057449858441997,0,0,0.62406885170156,0,0,0,0,0,0,0,0,0,0.0343568685195827
MIOTA,0,0,0.109269569796681,0.111165511685708,0.20642650239229,0,0,0.0733612113746348,0.459997152592207,0,0.0677870019605183,0,0,-2.71050543121376e-20,0,0,0,0,0,-0.016574539398125
XEM,0,0,0.137260338046589,-0.106166817586406,-0.0360981176549747,0.604137880847702,0.426616392003463,0.202747727077461,0,0,0,2.77555756156289e-17,0,-0.1339452060681,0,0,0,0,0,0.0684473420725073
ETC,0,0.389171837842581,0,0.392665017488914,-0.24681188727658,0,1.38777878078145e-17,0,0.641945808515365,0,0,0,-0.184889286631974,0,-1.73472347597681e-18,0,0,0,0,0.0711958312919164
TRX,0,0.305055325328293,0.20980195471296,0.125119700174445,-0.169360377061325,0.528827717001058,0,0.101181141925313,0,0.147562795673854,0,0,0,0,0,0,0,0,0,0.0684005834546175
BV010082.Index,-0.0993397092477067,0,-0.0689707912340978,0,0.0195669825119512,0,-0.00363229259093878,0,0,0,0.143914342404472,0,0,0,0,0,0,0,0,-0.0553241100717466
CVIX.Index,0,-0.0402743229005862,0,-0.0202853744152117,0.0483815518402124,0,0,-0.0472753793241985,0,0,-0.0653950956762926,0,0.187835670525834,-0.0713684730089149,0,0,0,0,0,0.0145563415333612
DXY.Curncy,0,0.00510965093941159,0.0324305543156577,0,-0.0185664875395408,0.0137464967846483,-0.0362629091935204,0.00687060639808058,-0.122176499852319,0,0.0646988658714651,0,0,0.051616691473141,-0.00755469690505156,0,0,0,0,0.0195995018884474
SPX.Index,0.0143952975233203,0,0,0,0,0,0.0381356914538427,0.0518509388986384,-0.0434028713545703,0,0,0,0.0397625608003761,0,-0.0918086795862301,0,0,0,0,-0.0697104128375228
VIX.Index,-0.445952948420966,0.0330491455093892,-0.957911041070279,0.274374529117451,0.275184909791002,0,0.315645568244898,0,0,0.704089599219636,-0.161814688666258,-1.37325450777123,1.58806694253692,0.166639663459007,-0.155162885976508,-3.33666585294309,0,0,-6.66173365750604,0
