,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0360223281936992,-0.048288744427558,0,-0.0698649270975523,0,0,-0.00420794803020282,0.147008550664201,-0.00486214752051538,0.0494670294807363,0.292479230756844,0,0.127024823922214,0.0587442393241537,0,-0.305407731748912,-0.193687285977782,-0.00639005848784865
ETH,0,0,0.113362311973833,0.0974642688538125,0.235601005560018,-0.0441147456982397,0,0,0,0.0495672918992253,0.204163526724923,0,0,0,0.0846552986999465,0.0265673203347078,0,0,0,0.00870125468547616
XRP,0,0,0,0,0.192682251999192,0,0,0,0,0,0,0.417634328817596,0,0,0,0,0,0,0,0.025692837376428
BCH,0,0.846207142906818,-0.059433505581404,0,0,0,0,0,0,0.0552239049883034,0,0,0,0.131052257977778,0.163201600126213,0,0,0,0,0.0393075762832901
EOS,0,0,0.110845388724737,-0.0875067815655967,0,0,0.121328800728082,0,0.329083885410861,0.327390870040618,0,0,0,0.346631978530024,-0.0860991944354027,0,0,0,0,0
XLM,0,0,0.425801663478105,0.16192433891435,0,0,0,0,0,0,0,0,0,0,0.117318966890962,0,0,0,0,1.0842021724855e-19
LTC,0,0,0,0.204088752833062,0.234027014288547,0,0,0.160417655823168,-0.0703274826599156,0.0745035108343739,0,0.273897829836989,0,0,-0.0549382131040564,0.0473027230294917,0,0,0,0.0219806799707092
ADA,0,0,0,0.0942398344164226,0.233448259900597,0.0290449543915853,0.455939343867157,0,-0.233859506976161,0,0,0.201061257669781,0,0.0836842926990561,0.334760917851318,-0.061092080663315,0,0,0,0.00373908405534974
XMR,0,0,0,0.315405890741136,0,-0.102256437075861,0,-0.208873915592712,0,0,0,0.223116938279047,0.308142455084825,0,0,0,-0.192234011652594,0,-0.0846265220886257,-0.00230100395744248
TRX,0.540115202179951,0,-6.93889390390723e-18,0.0289365901670372,0.0235809979912089,0,0.565421485813796,0,-0.252386490530093,0,0,0.192882116567897,0,0,0,0.0536531160881663,0,0,0.104612682179089,0
DASH,0,0,0.24034689099934,0.201959060604618,0,0,0,0,0,0,0,0.0884397300131927,0,0,0,0,0,0,0,0.0268478648650647
MIOTA,0,0,0,-0.110658160963474,0,0,0,0.17627833212406,0.518501523653578,0.412079356013064,0.372563161956685,0,0,0.0513956582393491,0,0,0,0,0,-0.00240765008513562
BNB,0.385318752145515,0,0.0628812911001143,-0.0132792789126842,0,0,0,0,0.240260310711761,0,0.037642351073145,-0.0111337700174196,0,0,0.0748394628480868,-0.0566955759354751,0,0,0,-0.00409643579528207
NEO,0,0,-0.230398358745645,0.117265931804895,0.340443912426861,0.240837099765073,0.108178365536232,0,0,-0.416094564995751,0,0.218476411403518,0,0,0.408607599504246,0,0.197860197291569,0,0,-0.0341062549206721
ETC,0,0,0.0996406211687213,0,0,0.0229592639660776,0,0.291034499122512,0,0.261005602984821,0,0.0896848212473302,0,0.129203626252152,0,0,0,0,0,0
BV010082.Index,0,0,0.105657638016809,-0.0413246743076123,0,-0.0788673304233578,0,0,0.204249676441259,0,0.210859376818757,-0.306446293360201,0,0,0.0783572763047018,0,-0.197382700997522,0.653541969755277,0.86293242625723,0
CVIX.Index,0,0,0.269814287528993,0,0,-0.408996956502036,0,0,0.101188945587462,0,0,-0.162393805844753,0,0.296390920161141,-0.0471826132205867,-0.382029674798277,0,0,0.19218740492723,0.00357323200678942
DXY.Curncy,0,0,-0.00377301711897447,-0.0332041626847756,0,0,0,0,0.0116876058611837,0,0,0.0211320415750327,0,0,0,0.130463176438622,0,0,0,0.0311067847228631
SPX.Index,0,0,0,0.00931150564613756,0,0,0,0,0,0.0696306464904991,0,0,0,0,0,0,0,0,0,-0.134632843147594
VIX.Index,0,0,0,0.462690424737353,0,-0.384683000525248,0,0,0,0,1.02587181331002,5.55111512312578e-17,0,-1.85056401136096,0,0,0,0,-1.89897406997084,0
