,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.279312641672183,0,0,0,0,0,0.223612653913278,0,0.120922508766651,0,0,0.152567392262403,0,0,0,0,0.00972174910717608
ETH,0,0,0.166872469444663,0.225893208195705,0.348408276998579,0,0,0,0,0,0,0,0,0.0825699802610049,0,0,0,0,0,0
XRP,0,0.242550347235277,0,0.173475096662297,0,0,0,0.0750646198396212,0.385855123661484,0,0,0,-0.0109116568085048,0.0330122595167914,0,0,0,0,0,-0.0689622347348477
BCH,0.271947214836781,0.317216357428488,0,0,0.436962655205648,0,0,0,0,0,0,0,0.12495008836776,0,0.142053979422647,0,0,0,0,0.0353631507499842
LTC,0,0.091630008862444,0,0.499943560622083,0,0.0625642362092968,0,0,0,0,0,0.410234356326937,-0.0732723704280482,0,0,0,0,0,0,0.0698537525583185
EOS,0,0,0,0,0.0379397961933111,0,0.440453950293094,-0.330866065582619,0.361312521760482,0,-0.0709477123414868,0,0,-0.0536461051669554,0.296929645134814,0,0,0,0,-0.283182017510096
ADA,0,0.390686791096668,0,-0.675502010173832,0,0.525571853841507,0,0.817617794470823,0,-0.340737994109401,0,0.0281698580341878,0.147893889982747,0.118908369919226,0,0,0,0,0,0
XLM,0,0,0.398452928041477,0,0,0,3.46944695195361e-18,0,0.195519471904905,0.0892068773819115,0.0672378550082535,0,0.113450265725615,0.156802447483141,0,0,0,0,0,0
NEO,0,0,0,0,0.0765736681595184,0.0584900447405467,0.0419192784622447,0.207727090238495,0,0.1399438963107,0.099609392246695,0.017284313091171,0,0.0674134523728066,0.196633997261203,0,0,0,0,0
XMR,0,0.119554645379269,0,0,0.234837615616718,0,-0.0317130875976299,0.178487785694013,1.38777878078145e-17,0,0.110470464325737,0.408377434016544,0,-0.0459299366030749,0,0,0,0,0,0
MIOTA,0,0,0,0.210059855896578,0,-0.0771937037311767,0,0.0660109955823309,0.590928216476446,0,0,0,0.136021459235237,0,0,0,0,0,0,-0.0343373470759211
DASH,0.213906229186724,0,0,0,0.132134326774705,-0.0442654393093588,0,0.282613320238354,0,-8.67361737988404e-19,0.0654975666299892,0,0.0666395173864678,0.00630618001808309,0.0969950775984451,0,0,0,0,0.119542251921358
TRX,0,0,0,0.458638434311186,0,0.0859962306715786,0,0,0,0,0,0,0,0.0496156160558529,0,0,0,0,0,0
XEM,0,0.219639270700242,0,-0.427458347877563,0,-0.165656049086911,0.143162643939081,0.61855929941524,0,0,-0.197703235969663,0,0.214678909331529,0,0.344865825486023,0,-1.23596091014803,0,0,0
ETC,0,0,0,0,0,0.128013681127367,0.146982933443441,0.194268769599326,0.222731245856148,0,0.212855403022823,0,0.0164283057364622,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325511116907168,0,0,0,0,0,0,0
CVIX.Index,0,0.0380082336795797,0,-0.133458802982977,0,-0.102180503262915,0.0874918291552427,0.0626538760032792,0,0,0,0,0.0491858753247517,-0.281316307309434,0.217514969655267,0,0,0,0,0.0167733059709977
DXY.Curncy,0,0,3.46944695195361e-18,-0.0287119552695055,0,0.0171275259678933,0,-0.0452759546386706,0,0,0.0180048641387342,0.0819664796983256,-0.0200329141486888,0,0,0,0,0,0,-0.00709608170179436
SPX.Index,0,0,0,0,0.0684752889672988,0.00888556013469192,0,0,0,-0.0601436859541539,0.0409941563412137,0,-0.04093507576753,0.0102605108679721,0,0,0,0,0,-0.075615108655324
VIX.Index,0.00233628907547047,-0.112022922995027,-0.777575683665553,0,0,0,0,0.489768249893262,0.431282663409217,-0.319998549398643,0,0.210270126852765,0,0,0,0,0,0,-4.44307187073144,0
