,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.030885358427933,0,0,0.0459564292523094,0.172008072255706,0.048198344031052,0,0.135785405300331,0.0708901742239924,0,2.16840434497101e-19,0,0.105421677423825,0,0,0,0,0
ETH,0.388655468271165,0,0,0,0,0,0.0101820494378172,0.187617341727102,0.2847700582925,0.0547978059270021,0.0689466251262665,0,0,0,0,0,0,0,0,0.0391177986890832
BCH,0,0,0,0,0.311634636565213,0,0.121946555831231,0,0.275777098873948,0.0973205542415456,0.230956551659917,0.112358835219251,-0.219100083991149,-0.102504456233823,0,0,0,0,0,0
XRP,0,0,0.0416523728025942,0,0,0.0816659909670685,0.165766917975989,0.0834031612078319,0.179308358729045,0,0,0,0.046297108469695,0,0,0,0,0,0,0.106797393460646
LTC,0,0,0.0677715860953691,0,0,0,0.0931338936625959,0,0.0464100081289408,0.631700496718065,0.0322611800167765,0,0.162725863861744,0,0,0,0,0,0,0
DASH,0,0,0.172158378684157,0,0,0,0.130652360948683,0,0,0.116330238547481,0,0.0623462267329021,0.234123261607345,0,0,0,0,0,0,0
XEM,0,0.249889774560197,0.118486814977673,0,0,0.207259256893071,0,0.00987263124693406,0.140206655968055,0,0,0,0.0270280710053888,0,0.0535751941893037,0,0,0,0,0
MIOTA,0,0.654482741693922,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.310747123011928,0,0,0.622704483194093,0,0,0,0,0,0.5682768792432
XMR,0,0,0,0,0.134608509251234,0.147803457858555,0.376953532653078,0,0,0,0,0,0.0983448329338419,0.109182791258241,0,0,0,0,0,0
ETC,0,0,0,-0.352182034616115,1.35081308975934,0.196495906424359,-0.163150267851122,0,0,0,-0.025494665129746,0.150091169060965,-0.194598458741363,-0.0625252310132259,0,0,0,0,0,0
NEO,0.733846201341797,1.60419877406588,1.06207705931555,-0.589932780303949,0,-0.858064910402355,-0.520190181612818,-0.661448136310953,0,-0.528958389550206,0,-0.639393028996947,0.863299647259827,0.62803721671042,0.0489310543558089,0,0,0,0,-0.191799147411839
ZEC,0,0.180393478312883,0,0,0,0,0.264699264803356,0,0.0778646193958752,0,0,0,0,0.254525300370532,0,0,0,0,0,0.249209899571677
BAT,0,-0.0487924891720945,-0.674777564291395,0,1.28902359295777,0.237758918900625,-0.118797385740429,0.0666177617117831,0.0555476435124283,-0.624693557892515,0,0.735829101180643,0,0,0,0,0,0,0,0.0496388102237851
EOS,0,0,0,0,0,0,0,0.305522197073556,0,0,0.204942710177564,0.210384748648946,0,0,0,0,0,0,0,0
XLM,0,0,0,0.183389559415018,0.511619275851111,0,0,0.191292257776636,0,0,-0.0161289280283707,0.132399200969102,0,-0.0340664840363224,0,0,0,0,0,0
BV010082.Index,0,0,-0.00561197663344543,0,0,0,0,0,0,-0.0157190067895651,0.0121827896815047,0,0,0,0,0,0,0,0,-0.0995491755498639
CVIX.Index,0,0,0,0,0,0,-0.0931257425862279,-0.0214662064709544,0,0,0.0537447219329589,0.00950104676740932,0.0578563227685347,-0.100612243178159,0.102958301500044,0,0,0,0,0.0798975882540007
DXY.Curncy,0,0,-0.00663628699025033,0,0,-0.016512114376288,0,0.0179421000352314,-0.0189047279520186,-0.000942715297188029,0.0077201459298125,0.036257468553866,-0.0167092516105658,0.00775549326057558,-0.0194953708149941,0.0863408472381021,0,0,0,-0.0137981986005399
SPX.Index,0,0,0,0,0,-0.00114727123789564,-0.00078308076323832,0,0,0,0,0,0,0.000649660916950621,0,0,0,0,0,-0.0398807828672083
VIX.Index,0,0.0764276760118037,0,0,0,0,0,0.136982415902979,0,-0.106567725170316,0,0.0511411341093298,0,-0.175099330755363,0,0,0,0,0,0
