,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.102760460642408,0,0.17543992302987,0.0367071392939399,0.0457384731071748,0.112515112928163,0,0.0593944613694472,0,0.120947767114193,0.0768609504380694,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.00378027111735477,0.0440325347047502,0.105250820356826,0,0,0.0763797973926396,0.390726738233793,0,0.197874193512759,0,0,0,0,0,0
XRP,0,0,0,0,0.191906849778074,0,0.105538287884184,0,0,0,0.106616623527412,0,0,0,0.343640566398881,0,0,0,0,0.0471402377268774
BCH,0,0,0,0,0,0,0.0739133775757118,0,0,0.121449132338776,2.77555756156289e-17,0.773380317825459,0,0,0,0,0,0,0,-0.0538048249796821
ADA,0,0,0,-0.0755668340273424,0,0.616946834909257,0.051317487053999,0.171883066336263,0.110438083624407,0.147037585847667,0.0272043553619331,0,0,0,0.0413308046552321,0,0,0,0,0
LTC,0,0.279388545831005,0,0.160723980596491,0.21619327120264,0,-0.027508543179212,-0.157407149185589,0.106131596043213,0,0.0822935877776805,0,0,0,0.0992102866519771,0,0,0,0,0.0580132635070261
NEO,0.655896184187737,0,0.0103962138507265,0,0,0,0,0.0848574524319854,0,0,0.0172803764435394,0,0.289759635022759,-3.46944695195361e-18,0,0,0,0,0,0
XLM,0,0,0,0,0.607068415673202,0,0,0,0.0484196844710208,0,0,0,0,0.0856045124920001,0.072035097323818,0,0,0,0,0
EOS,0,0,0.319393445130769,0.153243894233959,0,-0.257899349659246,-1.0842021724855e-19,0.410327626127139,0,0,0.0860231176266371,0,0.0958578181192112,0.192892919417005,0,0,0,0,0,0
MIOTA,0,0,0,0.112715557932712,0,0.404633654627672,0,-0.0730703594115865,0,0,0.169979287802131,0.273772520059899,-1.73472347597681e-18,0,0.133444507119545,0,0,0,0,-0.0304403409653515
XEM,0,0,0,0,0.13590672988246,0,0,0,0.403047571524999,0.13256290004389,0,0,0,0.141118171519188,0,0,0,0,0,0.149163923577026
DASH,0,0,0.0483692417357178,0.291430762205008,0.120657720125247,0,0.0169379107726728,0,0.112781734463766,0,0,0,0.276762409930083,0,0,0,0,0,0,0.0418098277844279
XMR,0,0,0,0.0356669157100578,0.119029833261111,0,0.137354672519185,0,-0.0669504054335107,0.034010307705784,0.0500217786449002,0.596474199020442,0,0,0.0424159161795369,0,0,0,0,0
TRX,0.215572319865183,-0.152523209437583,-0.236906864803082,0.0664177143674373,0,0,0.0587175806627657,0.223483785692361,3.46944695195361e-18,0,0.223221844861466,0,0.119648812072367,0,0.576659116147134,0,-0.117762677848121,0,0,0.0823722657009333
BTG,0,0,0.187883080681392,0.265417262907733,-4.33680868994202e-19,0,0.0590958765374078,0,0,0,0.00657984162374747,0,0,0.392666416145533,0,0,0,0,0,-0.0408541966171058
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429380540904956
CVIX.Index,0,0,0,-0.0699784189291616,0,0,0,0,0,0,0.0907507526084783,0,0,0,0,0,0,0,0,0.0154245369842611
DXY.Curncy,0,0,0,0,0,0,0,-0.00466052253629091,0,0,-0.00623947130091325,0,0,0,0,0,0,0,0,0.0104778084527516
SPX.Index,0,0,-0.0143128484188502,0.00422125675082072,0,0,0.0519848248092753,0,0,0,0.0438809955595589,0,0,-0.0672208664028584,-0.0184819649505633,0,0,0,0,-0.0608383745662507
VIX.Index,-0.636517491969274,-0.189346656780099,0,-0.143825293738403,0,0.743883670441584,0,0.181114417904481,-0.201610762855222,0.237308111134296,0.137967790346874,0,0,0.147777699207532,-0.109121204186974,-1.86470543971998,0,0,-3.54826840519879,0
