,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0471044901001961,0,0.120193610312341,0,0.0756322223703572,-0.0528959554593954,0,0,-0.171043836743365,0.0159876775231963,0.0320918156371551,0.106083011155238,0,0,0,0,-0.0623383471570154
ETH,0,0,-0.101635746625782,-0.0716882836536193,-0.180058108712384,0,-0.11335752137051,1.77917562002268,-0.0844552657273159,-0.0526715717842705,0.117560172372409,0,-0.124129528905987,0,0,0,0,0.0688148011622697
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,-0.134700086035664,0,0,0,0,-0.0903087403607011,0,0,0,0,0,-0.103122341920819,0,0,0,0,0
DASH,0,0,0,0,0,-0.17946046047145,0,0,0,0,0,0.0413419362069349,0,0,0,0,0,0
ETC,0.692700338413576,0,-0.254188065825877,0,0.339881450887887,0,0.0536423930157062,0,0,0,-0.153044024566321,0.396993677183892,-0.119490669366703,0,-0.526598458620674,0,0,0.0567240115080987
XEM,0,0,-0.0995174470478861,0,0,0.0489117074824568,0,0,0.138664402752475,-0.225839289930253,0.0353875900149279,0,0,0,-1.17103617042352,0,0,-0.614395338907239
XMR,0.292695835992432,0.21212719840288,0.16249973069635,0.0761768079869111,0.0396411710370215,-0.0488039004424773,0.0941455049034999,0,-0.053644529183853,0.184955725362808,-0.12275684645568,0.101532104937852,0.0554865497931343,-0.185230928725109,0.106579278147136,0,0,0
ZEC,0,0,0.194759594848675,-0.331490095343523,0.517709390108506,0,0.0662946490647714,0,0,0.132893973432732,0,0.0106896629801871,-0.100873828704055,0,-0.0962565193628924,0,0,-0.0897813285254802
DOGE,0,0,0.221267616136966,0,0,0,0,0,0.0895299654609032,0,0,0.102323615453774,-0.0357372686605263,0,0,0,0,0
XLM,0,0.183927648228825,0.162260619895641,0.305796735200635,0.0421777227417187,0.348673691875075,0.266298506344253,0,0.553954142390033,0,0,-0.264428254397596,0,0,0.47485281969733,0,0,0.104619679448869
NEO,0,0,0,0,0.275580881630522,0,0,0,0.489472776750194,0.366733634573652,0,0,0.163004558564095,0,0,0,0,0
DGB,2.77555756156289e-17,-0.906582165589062,0,-0.667544429424952,-0.0116291102628183,-0.594810894259358,0,1.23501232950221,-0.682169850324374,-0.0564923840759969,0.325836940100183,0.521750008970784,0,0,-0.427144668460776,0,0,0.241536304745279
BV010082.Index,0,-0.0603720647317339,0,-0.0175889328788898,0,0,0,0,0,0,0,0,0.0081630155637265,0,0,0,0,-0.0898138518265798
CVIX.Index,0,0,-0.0457636670058314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0179142279150629,0.00843769751189079,0,-0.00348556396210976,0.00827998894591533,-0.0129616816471198,0,0,0,0,-0.00616558677009476,0,0,0,0,0,0.0195626531451862
SPX.Index,0,0.026154149154223,0,0.00959992322990509,0,0.000784358324248728,0.00844804134245753,0.0104076531467669,-0.0288859441874126,0.00496747667381007,0,-0.013605481001161,0.00560913538177217,0,-0.00942359740796227,0,0,-0.0469044701144759
VIX.Index,0,0,-0.0489791443582949,0.301852510244433,0.483203235268489,0.113587899689099,-0.441758113325177,-0.425660771653872,0,-8.67361737988404e-19,0,0,0.254447033276538,-3.14213501049186,-0.988337405821887,0,0,0
