,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XLM,XMR,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0381340964667696,0,0,0.313105455439434,0,0,0,-0.0126255503599846,0.218076990857097,0,0,0.0666381426370183,0,0,0,0,0,0,0
ETH,0.1816673679484,0,0,0,0,0,0.381328955299425,0.23311738297784,-0.00141742325579281,0.110495955196458,0.0130428443025964,0,0.00162454767168644,0,0,0.0490392878676096,0.0116386854852562,0,0,0.0539721870359758
XRP,0,0,0,-6.93889390390723e-18,0,0,0,0.782215633100423,-0.00749074886927209,0,-0.0762670251504035,0,0,0,0,-0.0720962282687798,-0.0801577506528004,0,0.112526697536928,0.126943230586137
BCH,0,0.18322952199868,0.168588614476173,0,0.435376718361897,0,0,0.0441483488478826,-0.00346444631409306,0,-0.0495138172484139,0,0,0,0.192679145071015,0,-0.070228371291065,0,-0.0670916816961117,0.0760350616492996
BSV,0.532600895395831,0,0,0.328710304573515,0,0,1.38777878078145e-17,0.0358771130955164,-0.00662584018292498,0,0.109302700725066,0,0.0877532799313675,-6.93889390390723e-18,0,-0.0593200993981149,0.148739619587637,0,0.0267075007342594,0
LTC,0,0,0.168552924383722,0.185845715942755,0,0,0.196003862754903,1.38777878078145e-17,0.00056679118212721,0.146378170808341,-0.0421680135127634,0,0,0,0.17985161168311,0,0,0,0,0
EOS,0,0.845434660354993,0,0,0,0.234564567281735,0,-1.73472347597681e-18,-0.00557939024438836,0,1.0842021724855e-19,0.100169361670326,0,0,-0.148303174903288,0,-0.0188952365832614,0,0,-0.024371439712605
BNB,0,6.93889390390723e-18,0.0838127006218039,0,0.305435772307318,0,0,0,0.00483100451980188,0,0,0,0.336796115876793,0.215542262767625,0.0882101675215252,0.0230129978310303,-0.0547937027607433,0.379850236790568,0,0
INNBCL,0,0,0,-3.70673237480892,-2.00623153665318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0.302251835142302,0.0962334523766519,0,0,0,0,0,0,0,0,0.0418506628309739,0,0,0.297716587493801,0.434816450609321,0,0.0988012532712499,0,0,0.0727084537198769
TAGZ5,0,0,0,0,0.284546902922426,0,0.428581031265856,0,-0.00542573624900713,0,0,0,0,0,0,0,-0.162524999935251,0,0,0
LEO,0,-0.037150347699129,0,0,0.212403906455864,0,0,0,0.00102800872300842,-0.0838290243137557,0,0,0,0,0,0,-0.0142675812059452,0,0.0164139029251768,0.0180222709908035
XLM,0.0929247670467191,0.0301211557310786,0.397489470247076,0,0,0,0,0.296362726635587,-4.92226542145635e-05,0.0667599239264174,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.178584473145766,0,-0.0304866406161833,0,0,0.699172087687034,-2.16840434497101e-19,0,0.0557624740712583,0,0,0,-0.0903043917636691,-0.118010563540482,0,0,0,-0.120830867821575
LINK,0,0,0,0,0,0.280632311492552,0,0,-0.00401124373383484,0.588623608116667,0.0733040251199599,0,0,0,0,0,0,0,0,-0.0452565245519272
BV010082.Index,1.1605483223384,0.31758302106632,-0.417680703525592,0,-0.393210072430472,0,0,0,-0.00165875698634028,0,0,0,0,-0.556827900914337,0,0,-0.0799249666638776,0,0.188503547064124,0
CVIX.Index,-0.593397504350587,2.81766169269943,0,0,0.384741275011101,5.39906641967297,-3.79597441345946,-0.867539462550054,0.0227976784463049,0.847439015671081,-0.0328430730954593,0,0,-0.994868501054853,-2.53975075757474,0.550895195253164,0,0,-0.557235094497238,-1.19377215043956
DXY.Curncy,-0.0741001640717375,0,-0.190707802726378,0,0,0,-0.0170685312773926,0.226714412269707,-0.000283549554168996,0.00272933871173769,0.0350916275750607,0,0,-0.0529717475102108,0.0753821352157676,0,0.0223650024025676,0,-0.030561517692129,-0.043574083790631
SPX.Index,0,0,0.231176749795545,-0.609126459968442,0,0,-0.314020476004464,0,0.00676301801088742,0.285543751339928,0,1.04458263139575,0.0152494046361964,-0.0942523629593208,0.190811643865281,0.262611850062472,0,0,0,-0.182513234244891
VIX.Index,0.737215466266991,0.230780568439007,0.160476471220143,0,0,0,0,-1.29984328555094,0.0130056061663036,1.31990149232125,0,0,0.703743256133384,-0.903407596313922,-1.07664049443799,0.0229298718693158,-0.239945027281292,0,0,0
