,BTC,ETH,XRP,LTC,BCH,BNB,ADA,DOT,LINK,XLM,BSV,XMR,WBTC,EOS,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00118538719792869,0,0,0,0,0,0,0.000231864385978315,0,0,0.973028466166091,0,0.0085011432840747,0,0,0,0,-0.00239085523047328
ETH,0,0,-0.0415889010856832,0.119970864360208,0,0,0,0.194830325423764,0.300188312570784,0.0880114073575794,0,0.0394178197190958,0.14518610798408,0,0,0,0,0,0,0
XRP,0,0,0,0.178250753455856,-1.01989681651652,0,0,0,-0.112173188695664,0,0,-0.402601159854601,0,3.21812293830558,-0.386700730263234,0,0.474908404473889,0,0,0.0734030345466193
LTC,0,0.334168166893215,0.101924741148826,0,-0.417453534197108,0.768585158637655,0,0,0.126704960107195,0,0,0,0.493126752706123,0,0.112725412251034,0,0,0,0,-0.300073294974943
BCH,0,0,0,-6.93889390390723e-18,0,0.36147025111621,0,0,0.0603717983913788,-0.0716755566207569,0.641014956204604,0.0255881360076357,0.15589260084942,0.287637478390084,0.00125458800021511,0,0,0,0,-0.0782115979165123
BNB,0,0,-0.0432993726950818,0.0597446559261777,0.0978861706502575,0,0.385112781738507,0,0,0,0,0.195757594924021,0,0,0.0347338519752486,0,0,0,0,0
ADA,0,0.0602738162859867,-0.053682136991326,-3.46944695195361e-18,0,0.24951157955908,0,0,0,0.482078532779185,0,0.152168055090317,0,0,0.0232537233636908,0,0,0,0,0.00741703882053739
DOT,0,0,-0.0036111721001396,0.11802165470221,0.00217547873220189,0,0.426505122748925,0,0,0,0,0,0,0,0.0719828885489416,0,-0.14483213201146,0,0,0
LINK,0,0.650672916579732,0,0.00367204109323542,0,0.228131979882289,0,0,0,0.0498258524510003,0.172179926703937,0,0,0,0.0800006574121428,0,0,0,0,0.144938592921915
XLM,0,0.442419817502572,0.168654375621748,-0.251917345103719,0,0,0.0786759589305137,0,0.736295815461162,0,0,-0.247799735689082,0,0.186249512873058,0,0,0,0,0,0
BSV,0,0,0.0219486072211035,0,0.509006145601146,0,0,0,0,0,0,0,0,0,0.0495794650204668,0,0,0,0,-0.0762535977838354
XMR,0,0,0,0,0,0,0.158957459503898,-0.0812617305800567,0,0,0.0361793339621286,0,0.367432610366282,0,0,0,0,0,0,-0.0967871269440344
WBTC,0.974091766663642,0,0.00226381059518214,0.010433939962427,0,0,0,0,0.00340980058126033,0,0,0.00259200757081919,0,0,0,0,0,0,0,0
EOS,0,0,0.203238518712971,-0.0624909398825402,0.300291792407784,0.169412449386689,0.247053631273286,0,0,0,0.128702758276256,0.1528507215223,-0.229391964469673,0,0.106179062421314,0,0,0,0,-0.0605168024756683
XEM,0,0,0.200250863535194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0.0444169526469476,-0.0430508771166785,-0.018787607853171,0.0192053215533324,0,-0.0156214642095489,0,0,-0.0463477936944494,0.0553437743202684,0.0318339235244887,-0.0512277458172328,0,0,0,0,0,0,0,-0.0392585908812259
CVIX.Index,0,0,0.0458054566453166,0.19950081203039,0,-0.165725748147737,-0.297117180043374,-0.195770953202605,-0.298493098616641,-1.38777878078145e-17,0.488741524137832,0.15413773857377,0,0,0.0925986971496958,0,0,0,0,0.417376403788315
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.00461433358758387,0,0,0,0,0,0,0,0,0,0.0111316815858824
SPX.Index,0,-0.0378748224305456,0,0,0,-0.030493787520008,0,-0.023364109303979,0,0,0,0,0.0398683153557867,0.0317049366111462,0,0,0.0165217405413222,0,0,-0.0608867266332934
VIX.Index,0,0,-0.0666678375531277,-0.0536578623741146,0,0.327500231124278,0.189616966295852,-0.326159890085979,0,0,0,0,0,0,0,0,0.948454392736695,0,0,0
